$ LITTLE GOOSE_OUTFLOW.npt based on $//LITTLE GOOSE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
676.000000,641.654
677.000000,570.674
678.000000,563.331
679.000000,586.566
680.000000,617.638
681.000000,654.983
682.000000,546.522
683.000000,422.652
684.000000,510.021
685.000000,515.701
686.000000,639.541
687.000000,688.046
688.000000,615.349
689.000000,531.357
690.000000,517.621
691.000000,625.709
692.000000,786.376
693.000000,671.808
694.000000,527.301
695.000000,554.816
696.000000,631.529
697.000000,531.553
698.000000,577.375
699.000000,625.558
700.000000,680.649
701.000000,739.976
702.000000,664.478
703.000000,796.96
704.000000,989.836
705.000000,997.572
706.000000,926.382
707.000000,1113.758
708.000000,1076.467
709.000000,1078.325
710.000000,920.555
711.000000,877.975
712.000000,774.995
713.000000,905.43
714.000000,851.459
715.000000,798.446
716.000000,928.151
717.000000,685.902
718.000000,604.417
719.000000,687.113
720.000000,786.009
721.000000,617.307
722.000000,647.473
723.000000,634.738
724.000000,815.635
725.000000,693.684
726.000000,619.722
727.000000,633.085
728.000000,662.055
729.000000,692.02
730.000000,762.733
731.000000,778.623
732.000000,645.552
733.000000,749.768
734.000000,658.175
735.000000,600.412
736.000000,765.109
737.000000,668.347
738.000000,538.308
739.000000,588.872
740.000000,551.308
741.000000,653.032
742.000000,675.638
743.000000,751.228
744.000000,703.27
745.000000,791.26
746.000000,595.597
747.000000,684.029
748.000000,803.151
749.000000,768.777
750.000000,618.478
751.000000,689.984
752.000000,639.914
753.000000,449.223
754.000000,587.141
755.000000,619.877
756.000000,597.332
757.000000,617.122
758.000000,528.481
759.000000,564.781
760.000000,597.61
761.000000,709.95
762.000000,607.984
763.000000,675.677
764.000000,729.46
765.000000,809.698
766.000000,811.881
767.000000,666.12
768.000000,791.045
769.000000,805.978
770.000000,776.487
771.000000,792.444
772.000000,824.684
773.000000,781.914
774.000000,815.791
775.000000,684.36
776.000000,693.936
777.000000,794.564
778.000000,837.785
779.000000,710.243
780.000000,756.548
781.000000,814.799
782.000000,690.601
783.000000,802.146
784.000000,733.943
785.000000,712.204
786.000000,648.259
787.000000,633.484
788.000000,638.922
789.000000,728.389
790.000000,699.904
791.000000,733.148
792.000000,602.348
793.000000,680.58
794.000000,832.279
795.000000,852.838
796.000000,917.096
797.000000,875.587
798.000000,923.172
799.000000,775.606
800.000000,744.877
801.000000,763.141
802.000000,662.176
803.000000,700.541
804.000000,860.104
805.000000,909.058
806.000000,965.429
807.000000,1038.733
808.000000,1085.335
809.000000,1007.731
810.000000,996.117
811.000000,978.945
812.000000,1154.372
813.000000,1020.053
814.000000,921.478
815.000000,1012.428
816.000000,817.903
817.000000,838.001
818.000000,857.795
819.000000,787.435
820.000000,720.041
821.000000,1034.522
822.000000,1139.745
823.000000,1180.611
824.000000,1514.803
825.000000,1718.883
826.000000,1661.886
827.000000,1868.536
828.000000,2175.611
829.000000,2084.733
830.000000,2127.566
831.000000,1888.727
832.000000,1745.753
833.000000,1741.569
834.000000,1640.509
835.000000,1738.986
836.000000,1658.037
837.000000,1532.695
838.000000,1572.816
839.000000,1368.825
840.000000,1342.293
841.000000,1360.344
842.000000,1333.816
843.000000,1475.246
844.000000,1511.492
845.000000,1504.766
846.000000,1384.416
847.000000,1293.666
848.000000,1276.819
849.000000,1445.836
850.000000,1517.119
851.000000,1726.871
852.000000,1869.204
853.000000,1763.136
854.000000,1624.323
855.000000,1505.909
856.000000,1572.828
857.000000,1573.179
858.000000,1709.304
859.000000,1897.074
860.000000,2236.006
861.000000,2458.115
862.000000,2775.563
863.000000,2984.585
864.000000,3061.959
865.000000,3324.52
866.000000,3607.86
867.000000,3647.137
868.000000,3210.705
869.000000,2821.971
870.000000,2584.933
871.000000,2524.291
872.000000,2299.986
873.000000,2143.713
874.000000,2205.947
875.000000,2086.25
876.000000,1989.114
877.000000,1866.746
878.000000,1814.968
879.000000,1719.708
880.000000,1710.43
881.000000,1753.164
882.000000,1915.526
883.000000,1994.531
884.000000,1930.867
885.000000,1886.174
886.000000,1703.211
887.000000,1710.648
888.000000,1762.464
889.000000,1766.153
890.000000,1796.84
891.000000,1939.814
892.000000,2032.499
893.000000,2037.577
894.000000,1954.69
895.000000,1830.954
896.000000,1638.035
897.000000,1607.24
898.000000,1496.494
899.000000,1351.413
900.000000,1213.707
901.000000,1236.436
902.000000,1364.217
903.000000,1433.349
904.000000,1469.337
905.000000,1460.369
906.000000,1240.104
907.000000,1156.215
908.000000,1190.067
909.000000,1274.215
910.000000,1254.306
911.000000,1252.113
912.000000,1257.083
913.000000,1296.7
914.000000,1287.112
915.000000,1323.478
916.000000,1265.917
917.000000,1252.38
918.000000,1145.064
919.000000,1161.475
920.000000,1024.66
921.000000,1084.963
922.000000,1019.103
923.000000,1015.207
924.000000,1005.672
925.000000,896.5
926.000000,931.972
927.000000,864.129
928.000000,822.966
929.000000,945.824
930.000000,910.517
931.000000,864.795
932.000000,866.131
933.000000,821.529
934.000000,863.943
935.000000,770.03
936.000000,778.043
937.000000,760.494
938.000000,755.001
939.000000,827.831
940.000000,799.744
941.000000,664.151
942.000000,744.239
943.000000,761.791
944.000000,684.566
945.000000,757.972
946.000000,744.074
947.000000,740.281
948.000000,812.436
949.000000,718.143
950.000000,740.361
951.000000,793.886
952.000000,702.454
953.000000,698.16
954.000000,703.786
955.000000,714.125
956.000000,660.547
957.000000,653.693
958.000000,705.361
959.000000,683.796
960.000000,642.565
961.000000,642.714
962.000000,640.575
963.000000,619.587
964.000000,552.786
965.000000,624.267
966.000000,566.867
967.000000,512.826
968.000000,577.796
969.000000,547.867
970.000000,591.625
971.000000,620.95
972.000000,611.039
973.000000,616.514
974.000000,623.076
975.000000,587.223
976.000000,565.633
977.000000,443.656
978.000000,438.746
979.000000,470.885
980.000000,449.019
981.000000,566.958
982.000000,713.107
983.000000,521.356
984.000000,595.824
985.000000,601.024
986.000000,732.989
987.000000,559.571
988.000000,573.179
989.000000,549.795
990.000000,534.52
991.000000,535.906
992.000000,530.239
993.000000,499.772
994.000000,411.427
995.000000,541.503
996.000000,680.315
997.000000,428.911
998.000000,347.742
999.000000,402.114
1000.000000,477.67
1001.000000,461.441
1002.000000,498.175
1003.000000,508.383
1004.000000,619.963
1005.000000,630.474
1006.000000,734.411
1007.000000,944.973
1008.000000,752.014
1009.000000,827.614
1010.000000,727.973
1011.000000,747.572
1012.000000,680.413
1013.000000,682.089
1014.000000,807.323
1015.000000,709.721
1016.000000,675.469
1017.000000,716.042
