$ Bathymetry: Lower Monumental.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,152.971,263.088,160.908,198.704,213.518,277.339,349.941,323.618,370.058,391.428,524.822,486.252,660.141,0,,33,7516263.068,78588611.59,63712.919,140.022,459.389,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,152.471,262.588,160.408,198.204,213.018,276.839,349.441,323.118,369.558,390.928,524.322,485.752,659.641,0,,34,7503701.568,71072348.52,57619.376,139.022,456.108,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,152.471,262.588,160.408,198.204,213.018,276.839,349.441,323.118,369.558,390.928,524.322,485.752,659.641,0,,35,7503701.568,63568646.96,51536.018,138.022,452.828,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,152.471,262.588,160.408,198.204,213.018,276.839,349.441,323.118,369.558,390.928,524.322,485.752,659.641,0,,36,7503701.568,56064945.39,45452.659,137.022,449.547,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.209,152.471,262.588,160.408,198.204,213.018,276.839,349.441,323.118,369.558,390.928,524.322,485.752,659.641,0,,37,7502297.418,48561243.82,39369.3,136.022,446.266,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.157,139.353,251.941,154.813,190.671,207.953,266.918,337.861,321.376,367.75,388.963,522.736,484.966,659.383,0,,38,7354736.089,41058946.4,33287.079,135.022,442.985,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.105,126.235,241.294,149.218,183.137,202.887,256.996,326.281,319.634,365.943,386.997,521.15,484.181,659.125,0,,39,7207174.761,33704210.31,27324.489,134.022,439.704,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.052,113.118,230.647,143.623,175.604,197.822,247.074,314.701,317.892,364.136,385.031,519.563,483.395,658.867,0,,40,7059613.432,26497035.55,21481.528,133.022,436.423,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,220,138.027,168.071,192.757,237.153,303.121,316.15,362.328,383.066,517.977,482.61,658.608,0,,41,6912052.103,19437422.12,15758.198,132.022,433.143,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,85,100,132.432,160.538,187.692,227.231,291.542,314.408,360.521,381.1,516.391,481.825,658.35,0,,42,6477211.796,12525370.02,10154.498,131.022,429.862,1.85,1.03
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33.3,50,128.575,155.863,182.225,220.613,283.05,305.25,350.02,370,501.35,467.791,639.175,0,,43,6048158.222,6048158.222,4903.329,130.022,426.581,1.85,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44,0,0,0,129.02184,423.3,1.8,
