$ QGT_LMN_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LMN_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER MONUMENTAL_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41141, 41921, 42296 that are  3, 4, 14 days long
"JDAY","POW","SPB1","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8.RSW","MISC"
246.000000,937.635,0,0,0,0,0,0,0,0,29.412
247.000000,709.345,0,0,0,0,0,0,0,0,15.172
248.000000,754.632,0,0,0,0,0,0,0,0,16.935
249.000000,872.816,0,0,0,0,0,0,0,0,15.857
250.000000,1053.534,0,0,0,0,0,0,0,0,27.624
251.000000,1139.441,0,0,0,0,0,0,0,0,25.125
252.000000,953.003,0,0,0,0,0,0,0,0,16.111
253.000000,1035.499,0,0,0,0,0,0,0,0,18.938
254.000000,1113.414,0,0,0,0,0,0,0,0,29.55
255.000000,1222.416,0,0,0,0,0,0,0,0,18.975
256.000000,903.579,0,0,0,0,0,0,0,3.932,18.007
257.000000,1044.234,0,0,0,0,0,0,0,2.888,20.326
258.000000,1121.9,0,0,0,0,0,0,0,0,22.228
259.000000,1078.167,0,0,0,0,0,0,0,0,18.272
260.000000,1148.091,0,0,0,0,0,0,0,0,18.441
261.000000,1150.908,0,0,0,0,0,0,0,0,20.169
262.000000,1225.905,0,0,0,0,0,0,0,0,24.846
263.000000,1191.439,0,0,0,0,0,0,0,0,32.025
264.000000,1099.812,0,0,0,0,0,0,0,0,26.532
265.000000,949.991,0,0,0,0,0,0,0,0,27.699
266.000000,887.74,0,0,0,0,0,0,0,0,25.099
267.000000,878.566,0,0,0,0,0,0,0,0,26.646
268.000000,709.001,0,0,0,0,0,0,0,0,25.49
269.000000,782.154,0,0,0,0,0,0,0,0,18.182
270.000000,472.342,0,0,0,0,0,0,0,0,12.708
271.000000,810.387,0,0,0,0,0,0,0,0,18.253
272.000000,829.797,0,0,0,0,0,0,0,0,17.093
273.000000,851.795,0,0,0,0,0,0,0,0,19.971
274.000000,878.342,0,0,0,0,0,0,0,0,22.122
275.000000,949.348,0,0,0,0,0,0,0,0,22.866
276.000000,815.707,0,0,0,0,0,0,0,0,19.694
277.000000,736.368,0,0,0,0,0,0,0,0,23.951
278.000000,825.076,0,0,0,0,0,0,0,0,22.655
279.000000,874.274,0,0,0,0,0,0,0,0,19.689
280.000000,819.751,0,0,0,0,0,0,0,0,20.055
281.000000,915.069,0,0,0,0,0,0,0,0,23.431
282.000000,951.207,0,0,0,0,0,0,0,0,23.836
283.000000,953.755,0,0,0,0,0,0,0,0,18.755
284.000000,723.249,0,0,0,0,0,0,0,0,24.6
285.000000,744.96,0,0,0,0,0,0,0,0,19.459
286.000000,753.96,0,0,0,0,0,0,0,0,24.074
287.000000,745.827,0,0,0,0,0,0,0,0,26.724
288.000000,723.638,0,0,0,0,0,0,0,0,16.3
289.000000,543.354,0,0,0,0,0,0,0,0,14.687
290.000000,746.594,0,0,0,0,0,0,0,0,16.02
291.000000,773.435,0,0,0,0,0,0,0,0,26.454
292.000000,875.091,0,0,0,0,0,0,0,0,26.93
293.000000,767.066,0,0,0,0,0,0,0,0,28.695
294.000000,723.08,0,0,0,0,0,0,0,0,20.457
295.000000,662.898,0,0,0,0,0,0,0,0,18.688
296.000000,632.162,0,0,0,0,0,0,0,0,20.59
297.000000,730.017,0,0,0,0,0,0,0,0,18.584
