$ LOWER MONUMENTAL-POOLELEV.npt based on $//LOWER MONUMENTAL-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41398,164.824
41399,164.888
41400,164.857
41401,164.818
41402,164.86
41403,164.836
41404,164.79
41405,164.851
41406,164.842
41407,164.848
41408,164.857
41409,164.869
41410,164.882
41411,164.86
41412,164.872
41413,164.833
41414,164.86
41415,164.815
41416,164.772
41417,164.854
41418,164.885
41419,164.854
41420,164.866
41421,164.869
41422,164.83
41423,164.854
41424,164.888
41425,164.83
41426,164.793
41427,164.815
41428,164.793
41429,164.869
41430,164.833
41431,164.821
41432,164.796
41433,164.851
41434,164.842
41435,164.857
41436,164.793
41437,164.802
41438,164.818
41439,164.833
41440,164.845
41441,164.866
41442,164.821
41443,164.866
41444,164.894
41445,164.86
41446,164.833
41447,164.848
41448,164.857
41449,164.872
41450,164.845
41451,164.875
41452,164.869
41453,164.879
41454,164.857
41455,164.851
41456,164.836
41457,164.854
41458,164.818
41459,164.875
41460,164.827
41461,164.839
41462,164.842
41463,164.86
41464,164.824
41465,164.863
41466,164.824
41467,164.833
41468,164.885
41469,164.857
41470,164.851
41471,164.76
41472,164.872
41473,164.863
41474,164.885
41475,164.851
41476,164.857
41477,164.802
41478,164.784
41479,164.805
41480,164.854
41481,164.796
41482,164.833
41483,164.772
41484,164.79
41485,164.885
41486,164.869
41487,164.827
41488,164.879
41489,164.848
41490,164.857
41491,164.882
41492,164.839
41493,164.875
41494,164.845
41495,164.842
41496,164.888
41497,164.836
41498,164.839
41499,164.811
41500,164.863
41501,164.793
41502,164.757
41503,164.79
41504,164.811
41505,164.836
41506,164.802
41507,164.781
41508,164.833
41509,164.793
41510,164.811
41511,164.872
41512,164.845
41513,164.836
41514,164.897
41515,164.821
41516,164.769
41517,164.787
41518,164.79
41519,164.808
41520,164.912
41521,165.153
41522,165.333
41523,165.348
41524,165.363
41525,165.427
41526,165.348
41527,165.369
41528,165.384
41529,165.394
41530,165.433
41531,165.448
41532,165.375
41533,165.269
41534,165.32
41535,165.415
41536,165.43
41537,165.369
41538,165.308
41539,165.116
41540,164.939
41541,165
41542,165.174
41543,165.372
41544,165.348
41545,165.32
41546,165.293
41547,165.345
41548,165.336
41549,165.305
41550,165.351
41551,165.369
41552,165.205
41553,165.278
41554,165.324
41555,165.336
41556,165.354
41557,165.336
41558,165.311
41559,165.287
41560,165.272
41561,165.266
41562,165.272
41563,165.296
41564,165.269
41565,165.281
41566,165.214
41567,165.388
41568,165.372
41569,165.339
41570,165.357
41571,165.281
41572,165.314
41573,165.342
41574,165.317
41575,165.333
41576,165.348
41577,165.317
41578,165.339
41579,165.33
41580,165.272
41581,165.33
41582,165.357
41583,165.342
41584,165.351
41585,165.389
41586,165.382
41587,165.352
41588,165.377
41589,165.329
41590,165.347
41591,165.357
41592,165.363
41593,165.34
41594,165.245
41595,165.215
41596,165.275
41597,165.319
41598,165.388
41599,165.277
41600,165.251
41601,165.262
41602,165.271
41603,165.228
41604,165.15
41605,165.228
41606,165.288
41607,165.308
41608,165.285
41609,165.182
41610,165.195
41611,165.236
41612,165.297
41613,165.439
41614,165.378
41615,165.346
41616,165.38
41617,165.355
41618,165.263
41619,165.306
41620,165.343
41621,165.348
41622,165.263
41623,165.181
41624,165.168
41625,165.165
41626,165.209
41627,165.292
41628,165.255
41629,165.233
41630,165.267
41631,165.318
41632,165.265
41633,165.298
41634,165.267
41635,165.289
41636,165.378
41637,165.399
41638,165.324
41639,165.32
41640,165.324
41641,165.23
41642,165.276
41643,165.324
41644,165.315
41645,165.341
41646,165.368
41647,165.375
41648,165.329
41649,165.283
41650,165.327
41651,165.35
41652,165.415
41653,165.345
41654,165.33
41655,165.306
41656,165.358
41657,165.322
41658,165.347
41659,165.371
41660,165.326
41661,165.327
41662,165.347
41663,165.38
41664,165.335
41665,165.33
41666,165.35
41667,165.342
41668,165.213
41669,165.146
41670,165.249
41671,165.338
41672,165.295
41673,165.416
41674,165.421
41675,165.398
41676,165.21
41677,165.277
41678,165.287
41679,165.272
41680,165.365
41681,165.346
41682,165.371
41683,165.337
41684,165.295
41685,165.363
41686,165.369
41687,165.325
41688,165.411
41689,165.342
41690,165.38
41691,165.332
41692,165.335
41693,165.312
41694,165.326
41695,165.28
41696,165.178
41697,165.075
41698,165.22
41699,165.381
41700,165.426
41701,165.474
41702,165.417
41703,165.243
41704,165.34
41705,165.38
41706,165.428
41707,165.465
41708,165.327
41709,165.336
41710,165.36
41711,165.436
41712,165.217
41713,165.403
41714,165.296
41715,164.985
41716,165.122
41717,165.016
41718,165.229
41719,165.388
41720,165.348
41721,165.223
41722,165.253
41723,165.336
41724,165.229
41725,165.122
41726,165.159
41727,165.156
41728,165.317
41729,165.226
