$ DWR Tailwater Elevation - 2011-2015; NAVD88 (NGVD29+3.3); FEET,
See 'Dworshak-SystemModel-Flows-2015-BOT-v7.xlsm',
JDAY,TW-ELEV
40942.00,973.90
40943.00,973.94
40944.00,974.00
40945.00,974.00
40946.00,974.00
40947.00,974.03
40948.00,973.99
40949.00,973.90
40950.00,973.90
40951.00,973.90
40952.00,973.90
40953.00,973.90
40954.00,973.90
40955.00,973.92
40956.00,974.00
40957.00,974.00
40958.00,974.00
40959.00,974.00
40960.00,974.00
40961.00,974.00
40962.00,974.02
40963.00,974.34
40964.00,974.03
40965.00,974.00
40966.00,974.00
40967.00,974.45
40968.00,978.36
40969.00,978.30
40970.00,978.30
40971.00,978.32
40972.00,978.30
40973.00,978.30
40974.00,978.30
40975.00,978.30
40976.00,978.30
40977.00,978.30
40978.00,976.01
40979.00,974.12
40979.96,974.10
40980.00,974.10
40980.96,980.12
40981.00,980.12
40981.96,980.30
40982.00,980.30
40982.96,980.30
40983.00,980.30
40983.96,980.30
40984.00,980.30
40984.96,980.30
40985.00,980.30
40985.96,980.30
40986.00,980.30
40986.96,980.33
40987.00,980.33
40987.96,981.76
40988.00,981.76
40988.96,981.70
40989.00,981.70
40989.96,981.70
40990.00,981.70
40990.96,981.77
40991.00,981.77
40991.96,981.80
40992.00,981.80
40992.96,981.80
40993.00,981.80
40993.96,981.79
40994.00,981.79
40994.96,981.80
40995.00,981.80
40995.96,981.77
40996.00,981.77
40996.96,982.25
40997.00,982.25
40997.96,983.58
40998.00,983.58
40998.96,983.60
40999.00,983.60
40999.96,983.81
41000.00,983.81
41000.96,983.80
41001.00,983.80
41001.96,983.80
41002.00,983.80
41002.96,983.80
41003.00,983.80
41003.96,984.12
41004.00,984.12
41004.96,985.45
41005.00,985.45
41005.96,986.30
41006.00,986.30
41006.96,986.30
41007.00,986.30
41007.96,986.30
41008.00,986.30
41008.96,986.17
41009.00,986.17
41009.96,985.82
41010.00,985.82
41010.96,985.85
41011.00,985.85
41011.96,986.00
41012.00,986.00
41012.96,986.00
41013.00,986.00
41013.96,986.00
41014.00,986.00
41014.96,986.00
41015.00,986.00
41015.96,985.85
41016.00,985.85
41016.96,985.96
41017.00,985.96
41017.96,986.00
41018.00,986.00
41018.96,986.00
41019.00,986.00
41019.96,986.00
41020.00,986.00
41020.96,986.00
41021.00,986.00
41021.96,986.00
41022.00,986.00
41022.96,985.11
41023.00,985.11
41023.96,984.00
41024.00,984.00
41024.96,984.13
41025.00,984.13
41025.96,984.16
41026.00,984.16
41026.96,984.44
41027.00,984.44
41027.96,984.12
41028.00,984.12
41028.96,984.10
41029.00,984.10
41029.96,983.92
41030.00,983.92
41030.96,983.90
41031.00,983.90
41031.96,983.90
41032.00,983.90
41032.96,983.86
41033.00,983.86
41033.96,981.81
41034.00,981.81
41034.96,976.05
41035.00,976.05
41035.96,975.76
41036.00,975.76
41036.96,980.30
41037.00,980.30
41037.96,980.30
41038.00,980.30
41038.96,980.30
41039.00,980.30
41039.96,980.30
41040.00,980.30
41040.96,980.30
41041.00,980.30
41041.96,975.74
41042.00,975.74
41042.96,975.72
41043.00,975.72
41043.96,980.19
41044.00,980.19
41044.96,980.20
41045.00,980.20
41045.96,980.33
41046.00,980.33
41046.96,980.60
41047.00,980.60
41047.96,980.58
41048.00,980.58
41048.96,976.32
41049.00,976.32
41049.96,975.90
41050.00,975.90
41050.96,978.59
41051.00,978.59
41051.96,978.80
41052.00,978.80
41052.96,979.19
41053.00,979.19
41053.96,978.10
41054.00,978.10
41054.96,976.07
41055.00,976.07
41055.96,975.74
41056.00,975.74
41056.96,975.53
41057.00,975.53
41057.96,975.46
41058.00,975.46
41058.96,976.96
41059.00,976.96
41059.96,977.52
41060.00,977.52
41060.96,977.47
41061.00,977.47
41061.96,975.51
41062.00,975.51
41062.96,975.60
41063.00,975.60
41063.96,976.13
41064.00,976.13
41064.96,977.63
41065.00,977.63
41065.96,981.50
41066.00,981.50
41066.96,981.23
41067.00,981.23
41067.96,981.36
41068.00,981.36
41068.96,981.05
41069.00,981.05
41069.96,980.96
41070.00,980.96
41070.96,981.10
41071.00,981.10
41071.96,981.30
41072.00,981.30
41072.96,981.27
41073.00,981.27
41073.96,980.74
41074.00,980.74
41074.96,980.98
41075.00,980.98
41075.96,981.20
41076.00,981.20
41076.96,979.86
41077.00,979.86
41077.96,979.68
41078.00,979.68
41078.96,980.15
41079.00,980.15
41079.96,981.90
41080.00,981.90
41080.96,981.89
41081.00,981.89
41081.96,981.10
41082.00,981.10
41082.96,980.94
41083.00,980.94
41083.96,981.14
41084.00,981.14
41084.96,981.10
41085.00,981.10
41085.96,981.10
41086.00,981.10
41086.96,982.05
41087.00,982.05
41087.96,982.34
41088.00,982.34
41088.96,980.82
41089.00,980.82
41089.96,980.20
41090.00,980.20
41090.96,979.30
41091.00,979.30
41091.96,980.79
41092.00,980.79
41092.96,981.12
41093.00,981.12
41093.96,981.07
41094.00,981.07
41094.96,979.94
41095.00,979.94
41095.96,979.26
41096.00,979.26
41096.96,979.30
41097.00,979.30
41097.96,979.30
41098.00,979.30
41098.96,979.30
41099.00,979.30
41099.96,980.71
41100.00,980.71
41100.96,982.63
41101.00,982.63
41101.96,982.90
41102.00,982.90
41102.96,982.90
41103.00,982.90
41103.96,982.82
41104.00,982.82
