Seg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,,,,,,,
DLX,1948.3,1948.3,1912.3,1883.7,2028.4,2269.5,2038.2,2047.6,2308.9,2166.7,2560,1914.3,1674.9,1301.1,1502.1,1731,1545.3,1234.3,1259.1,1622.8,1768.4,1779.4,1999.8,1721.2,2223.6,2217.4,3033.4,2953.4,2920.8,3812.1,2044.7,1909.4,1888.8,2022.8,3075.2,1724.3,2050,2185.1,1225.4,1548.1,1939.7,2500,1350,700,600,9.9,9.9,2037.6,1829.2,1797.7,1498.1,2425.9,1170.1,1616.4,1456,1645.9,1643.5,1232.1,1362.5,9.9,9.9,5522.1,3950.6,9.9,,,,,,,
ELWS,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,465.706,,,,,,,
PHIO,2.237,2.443460953,1.308996939,2.094395102,1.658062789,1.221730476,1.745329252,1.584758961,1.396263402,0.872664626,0.733038286,1.134464014,1.047197551,0.872664626,0.74,0.698131701,0.174532925,0.535,6.021385919,0.34906585,0.903,0.698131701,0.261799388,5.410520681,6.108652382,0.404,0.948,0.523598776,1.308996939,1.696,0.872664626,1.907,1.946,1.745329252,1.584758961,0.785398163,5.585053606,5.793,5.585053606,0.087266463,1.584758961,0.698131701,5.585053606,0.087266463,0.436332313,0,1.689,1.8,1.317,1.33,0.957,1.022,0.523598776,1.396263402,0.436332313,0.698131701,5.934119457,0.174532925,6.108652382,0,0.745,5.934119457,0.785398163,0,,,,,,,
FRICT,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,0.029613068,,,,,,,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,,,,,BR3,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft)
1,0,0,0,118.1347391,193.3113913,328.8339275,283.7279362,444.8207622,374.9627304,598.2425013,501.6890869,369.8486724,464.7655883,446.7641043,584.1277013,411.1702608,411.1702608,493.6088753,436.0245825,427.6375274,504.4506782,577.5817071,553.13651,553.13651,676.0784636,1649.69282,971.6710143,920.5304346,725.8893883,771.7113477,771.7113477,719.8898527,777.2345303,1304.084782,1431.936232,1519.047921,1508.647101,1483.076811,1483.076811,1534.728797,1891.280918,718.1199052,1044.538044,1958.508832,1958.508832,0,0,0,0,0,21.7,25.7,47.2,95.6,274.5,527.1,440.6,296.1,527.1,0,0,249.5,696.4,0,,16,66336276.14,3720514695,3016274.844,480.52584,1576.528346
1,0,0,0,118.1347391,193.3113913,328.8339275,283.7279362,444.8207622,374.9627304,598.2425013,501.6890869,369.8486724,464.7655883,446.7641043,584.1277013,411.1702608,411.1702608,493.6088753,436.0245825,427.6375274,504.4506782,577.5817071,553.13651,553.13651,676.0784636,1649.69282,971.6710143,920.5304346,725.8893883,771.7113477,771.7113477,719.8898527,777.2345303,1304.084782,1431.936232,1519.047921,1508.647101,1483.076811,1483.076811,1534.728797,1891.280918,696.5763081,1013.201903,1899.753567,1899.753567,0,0,0,0,0,21.7,25.7,47.2,95.6,274.5,527.1,440.6,296.1,527.1,0,0,249.5,696.4,0,,17,66163731.51,3654178419,2962495.07,479.52584,1573.247507
1,0,0,0,20.3,96.9,328.5050935,283.4442082,444.3759415,374.5877676,597.6442588,501.1873978,369.4788237,464.3008227,446.3173401,583.5435736,410.7590905,410.7590905,493.1152664,435.5885579,427.2098899,503.9462275,577.0041254,552.5833735,552.5833735,675.4023852,1648.043127,970.6993433,919.6099042,725.1634989,770.9396363,770.9396363,719.8898527,776.4572957,1302.780698,1430.504295,1519.047921,1507.138454,1481.593734,1481.593734,1533.194068,1889.389638,675.6790188,982.8058455,1842.76096,1842.76096,0,0,0,0,0,12.2,20.6,41.1,92.1,269.8,512.1,433.8,291.4,512.1,0,0,243.5,688.6,0,,18,65560534.76,3588014687,2908855.18,478.52584,1569.966667
1,0,0,0,20.3,96.9,328.5050935,283.4442082,444.3759415,374.5877676,597.6442588,501.1873978,369.4788237,464.3008227,446.3173401,583.5435736,410.7590905,410.7590905,493.1152664,435.5885579,427.2098899,503.9462275,577.0041254,552.5833735,552.5833735,675.4023852,1648.043127,970.6993433,919.6099042,725.1634989,770.9396363,770.9396363,719.8898527,776.4572957,1302.780698,1430.504295,1519.047921,1507.138454,1481.593734,1481.593734,1533.194068,1889.389638,655.4086482,953.3216702,1787.478132,1787.478132,0,0,0,0,0,12.2,20.6,41.1,92.1,269.8,512.1,433.8,291.4,512.1,0,0,243.5,688.6,0,,19,65398187.52,3522454153,2855704.31,477.52584,1566.685827
1,0,0,0,16.2,79,328.1765884,283.160764,443.9315655,374.2131799,597.0466146,500.6862104,369.1093449,463.8365219,446.3173401,582.9600301,410.3483314,410.3483314,492.6221511,435.1529694,426.78268,503.4422812,576.4271213,552.0307901,552.0307901,674.7269828,1646.395084,969.7286439,918.6902942,724.4383354,770.1686967,770.1686967,719.8898527,775.6808384,1301.477917,1429.073791,1512.980838,1505.631316,1480.112141,1480.112141,1531.660874,1887.500248,635.7463888,924.7220201,1733.853788,1733.853788,0,0,0,0,0,0,19.3,34.7,88.6,265.1,497.4,426.9,286.8,497.4,0,0,237.7,680.9,0,,20,65130878.08,3457055965,2802685.058,476.52584,1563.404987
1,0,0,0,16.2,79,328.1765884,283.160764,443.9315655,374.2131799,597.0466146,500.6862104,369.1093449,463.8365219,446.3173401,582.9600301,410.3483314,410.3483314,492.6221511,435.1529694,426.78268,503.4422812,576.4271213,552.0307901,552.0307901,674.7269828,1646.395084,969.7286439,918.6902942,724.4383354,770.1686967,770.1686967,719.8898527,775.6808384,1301.477917,1429.073791,1512.980838,1505.631316,1480.112141,1480.112141,1531.660874,1887.500248,616.6739971,896.9803595,1681.838174,1681.838174,0,0,0,0,0,0,19.3,34.7,88.6,265.1,497.4,426.9,286.8,497.4,0,0,237.7,680.9,0,,21,64978125.56,3391925087,2749882.517,475.52584,1560.124147
1,0,0,0,0,60.6,255.9,213,348.8,315.8,511.9,399.8,308.9,462.6017535,430.1732444,513.4302506,376.2758576,376.2758576,416.0707516,403.6501636,372.6839821,475.3412924,514.7582925,514.7201147,514.7201147,629.1168653,1514.311773,867.6700288,877.2187288,697.8053122,716.0334729,716.0334729,719.8898527,775.055976,1194.418307,1429.073791,1512.980838,1413.697156,1060.684244,1413.671323,1463.53715,1887.500248,598.1737772,870.0709487,1631.383029,1631.383029,0,0,0,0,0,0,0,32.9,85,260.4,483,420,282.3,483,0,0,231.8,673.6,0,,22,60077265.65,3326946961,2697203.815,474.52584,1556.843307
1,0,0,0,0,60.6,255.9,213,348.8,315.8,511.9,399.8,308.9,462.6017535,430.1732444,513.4302506,376.2758576,376.2758576,416.0707516,403.6501636,372.6839821,475.3412924,514.7582925,514.7201147,514.7201147,629.1168653,1514.311773,867.6700288,877.2187288,697.8053122,716.0334729,716.0334729,719.8898527,775.055976,1194.418307,1429.073791,1512.980838,1413.697156,1060.684244,1413.671323,1463.53715,1887.500248,580.2285639,843.9688202,1582.441538,1582.441538,0,0,0,0,0,0,0,32.9,85,260.4,483,420,282.3,483,0,0,231.8,673.6,0,,23,59933540.81,3266869696,2648498.31,473.52584,1553.562467
1,0,0,0,0,37.4,248,207.1,341.5,311.8,506.8,393.8,304.8,462.6017535,430.1732444,507.6632756,373.7034434,373.7034434,409.4178267,401.38518,368.1423803,473.5554217,509.7641217,512.1121262,512.1121262,625.9285519,1504.45295,859.4370317,874.9406016,696.6158434,712.1868202,712.1868202,719.8898527,775.055976,1186.360138,1406.901445,1512.980838,1407.566872,1021.752669,1410.038455,1459.840865,1867.405004,562.821707,818.6497556,1534.968292,1534.968292,0,0,0,0,0,0,0,26.3,81.4,255.8,468.8,413,277.7,468.8,0,0,225.9,665.7,0,,24,59283469.63,3206936155,2599909.326,472.52584,1550.281627
1,0,0,0,0,37.4,248,207.1,341.5,311.8,506.8,393.8,304.8,462.6017535,430.1732444,507.6632756,373.7034434,373.7034434,409.4178267,401.38518,368.1423803,473.5554217,509.7641217,512.1121262,512.1121262,625.9285519,1504.45295,859.4370317,874.9406016,696.6158434,712.1868202,712.1868202,719.8898527,775.055976,1186.360138,1406.901445,1512.980838,1407.566872,1021.752669,1410.038455,1459.840865,1867.405004,545.9370558,794.0902629,1488.919243,1488.919243,0,0,0,0,0,0,0,26.3,81.4,255.8,468.8,413,277.7,468.8,0,0,225.9,665.7,0,,25,59148238.93,3147652685,2551847.363,471.52584,1547.000787
1,0,0,0,0,25,240.1,201.1,334.4,307.8,501.8,388,300.7,441.3542179,430.1732444,483.4888339,355.9080413,355.9080413,389.9217397,382.2716,350.6117907,451.0051635,485.4896397,487.7258344,487.7258344,596.1224304,1432.812333,818.5114588,833.2767635,663.4436604,678.2731621,678.2731621,687.2179409,739.5919748,1129.866798,1339.906138,1497.308896,1340.539878,973.0977797,1342.893767,1390.324634,1778.480957,529.5589441,770.2675551,1444.251666,1444.251666,0,0,0,0,0,0,0,0,77.8,251.4,455,406,273.2,455,0,0,220.1,657.7,0,,26,56673220.69,3088504446,2503895.034,470.52584,1543.719948
