$ DLS 2011 2017-11-16 by 1_CWMS_weather_station_read_plot_v3.py,,,,,,
CWMS paths:,DLS.Temp-Air.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Temp-DewPoint.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Speed-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.Dir-Wind.Inst.1Hour.0.METAR-COMPUTED-REV,DLS.%-CloudCover.Inst.1Hour.0.METAR-COMPUTED-REV,TDA.Pres-Air.Inst.1Hour.0.GOES-REV; fill with JHAW/JDA linTrend of TDDO
JDAY,TAIR_C,TDEW_C,WIND_ms,PHI_rad,CLOUD_0_10,BP_mmHg
9.333330,0,-3.9,1.34,2.61,10,759.252569
9.375000,-0.6,-3.9,1.34,1.39,4.4,760.215669
9.416670,2.2,-2.2,0,0,7.5,760.215669
9.458330,2.2,-2.8,0,0,10,760.215669
9.500000,3.9,-1.1,0,0,10,760.215669
9.541670,4.4,0,0,0,7.5,759.252569
9.583330,4.4,0.6,1.34,2.61,0,759.252569
9.625000,5.6,0,0,0,0,760.215669
9.666670,5.6,-0.6,0,0,10,760.215669
9.708330,3.3,-1.1,2.23,0.52,10,761.178769
9.750000,2.2,-1.1,5.81,1.22,7.5,761.178769
9.791670,2.2,-1.7,0,0,7.5,762.141869
9.833330,2.2,-1.7,1.34,1.74,10,763.104969
9.875000,1.7,-2.8,3.12,1.57,10,763.104969
9.916670,1.1,-2.2,4.02,1.39,10,764.068069
9.958330,1.1,-2.2,3.12,1.92,10,765.031169
10.000000,0,-1.7,0,0,10,765.031169
10.041670,0,-2.2,0,0,10,765.031169
10.083330,0.6,-2.8,2.23,1.57,10,765.994269
10.125000,0.6,-2.8,2.68,1.39,10,765.994269
10.166670,0.6,-2.8,4.02,1.04,10,765.994269
10.208330,0.6,-3.3,3.12,1.04,10,765.994269
10.250000,0.6,-3.9,3.12,1.57,10,766.957369
10.291670,0.6,-3.3,3.57,1.39,10,766.957369
10.333330,0.6,-3.3,2.23,1.39,10,767.920469
10.375000,0.6,-3.3,3.12,1.92,10,767.920469
10.416670,1.1,-3.9,2.68,1.92,10,767.920469
10.458330,0.6,-5.6,1.34,1.92,10,767.920469
10.500000,1.1,-6.1,3.57,1.39,10,767.920469
