$ THE DALLES-POOLELEV.npt based on $//THE DALLES-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
42351,49.365
42352,49.462
42353,49.498
42354,49.517
42355,49.36
42356,49.359
42357,49.432
42358,49.406
42359,49.335
42360,49.446
42361,49.465
42362,49.571
42363,49.392
42364,49.539
42365,49.51
42366,49.444
42367,49.424
42368,49.485
42369,49.312
42370,49.439
