"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate2_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate2_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate3_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate3_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate3_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate3_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate3_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate4_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate4_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate4_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate4_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate4_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate5_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate5_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate5_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate5_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 derived constituents","41","Oxygen % Gas Saturation","","1/1","dwo_gate5_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 flow","41","QWD","m^3/s","1/1","qwo_gate6_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 temperature","41","T","Celsius","1/1","two_gate6_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","N2","g/m^3","1/2","cwo_gate6_seg41.opt",    0.041667
"GATE WITHDRAWAL AT SEG41 constituents","41","DO","g/m^3","2/2","cwo_gate6_seg41.opt",    0.041667
