$ QGT_TDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_TDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from THE DALLES_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41558, 41678, 41754, 41769, 41867, 41904, 41958, 42024, 42286, 42296 that are  1009, 2, 2, 3, 2, 2, 2, 2, 3, 2, 29 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","SB21","SB22","SB23","MISC"
75.000000,5211.678,0,89.932,89.932,89.932,89.932,89.932,89.932,89.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.000000,5267.342,0,56.011,56.011,56.011,56.011,56.011,56.011,56.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77.000000,5777.369,0,57.353,57.353,57.353,57.353,57.353,89.474,89.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.000000,6528.354,0,37.176,37.176,37.176,37.176,36.863,43.178,41.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79.000000,6569.585,0,21.16,21.16,21.16,21.16,21.16,47.346,47.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.000000,6334.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.000000,5270.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.000000,6137.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.000000,7098.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.000000,6874.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.000000,6593.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.000000,6041.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.000000,7469.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.000000,6359.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.000000,6578.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.000000,6487.34,1.346,31.907,31.971,31.971,31.971,30.967,89.093,89.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.000000,6974.701,45.205,45.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.000000,7571.082,110.761,110.761,88.09,88.09,88.09,88.09,88.09,88.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
