FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft)
1,0,0,0,59.81,90.51,0,0,0,57.89,62.29,0,0,0,0,0,0,0,0,0,0,0,57.96,135.2,65.1,87.08,184.22,58.2,345.7,325.99,362.24,245.46,170.91,401.88,617.4,1033.02,1178.56,920.01,603.19,270.91,406.87,184.48,0,,21,7835170.358,137748088.2,111674.3589,36,118.1102362
1,0,0,0,59.81,90.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.96,120.52,56.92,72.83,184.22,58.2,345.7,302.15,329.57,196.8,147.9,333.53,586.82,1028.93,1176.51,918.51,600.74,249.28,387.69,141.61,0,,22,7362413.243,129912917.8,105322.2734,35,114.8293963
1,0,0,0,59.81,90.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.96,103.36,53.73,0,184.22,58.2,345.7,281.38,304.91,156.39,139.54,287.07,561,1026.07,1174.45,917,596.61,232.64,375.01,125.75,0,,23,7050583.571,122550504.6,99353.45897,34,111.5485564
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,345.7,257.51,275.33,111.72,132,266.53,538.34,1024.07,1172.4,915.48,591.3,213.32,356.81,115.52,0,,24,6375690.829,115499921,93637.44933,33,108.2677165
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,345.7,229.36,244.18,84.14,128.57,248.07,519.56,1022.1,1170.36,913.97,584.24,191.43,336.72,89.48,0,,25,6169897.087,109124230.2,88468.58495,32,104.9868766
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,345.7,195.24,193.25,67.31,128.57,228.51,497.15,1020.17,1168.34,912.46,573.81,171.87,322.55,62.69,0,,26,5952130.43,102954333.1,83466.56053,31,101.7060367
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,345.7,143.75,140.83,67.31,128.57,207.6,465.05,1018.27,1166.34,910.94,564.45,156.72,312.39,57.42,0,,27,5752140.24,97002202.65,78641.08267,30,98.42519685
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,345.7,85.79,140.83,67.31,128.57,182.99,422.48,1016.34,1164.34,909.41,558.24,141.52,296.86,57.42,0,,28,5586496.793,91250062.41,73977.73974,29,95.14435696
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,345.7,66.75,140.83,0,128.57,158.04,386.45,1014.38,1162.36,907.84,554.54,123.06,278.26,57.42,0,,29,5395088.345,85663565.62,69448.68633,28,91.86351706
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,0,0,0,0,128.57,136.66,363.69,1012.34,1160.37,906.24,552.33,110.39,264.69,57.42,0,,30,4770736.925,80268477.27,65074.81051,27,88.58267717
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,0,0,0,0,128.57,116.34,340.38,1007.64,1153.65,904.3,547.68,103.83,253.19,57.42,0,,31,4691939.129,75497740.35,61207.10538,26,85.30183727
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.87,51.79,0,0,0,0,0,0,0,128.57,96.75,311.38,995.58,1139.13,887.1,539.63,97.63,236.57,57.42,0,,32,4570094.206,70805801.22,57403.28276,25,82.02099738
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.57,75.3,259.34,971.14,1097.82,862,531.45,93.05,217.92,57.42,0,,33,4245401.807,66235707.01,53698.24157,24,78.74015748
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.57,62.2,213.71,941.16,1018.92,845.08,520.63,89.32,210.91,57.42,0,,34,4041644.746,61990305.21,50256.43319,23,75.45931759
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.57,62.2,194.15,913.44,933.99,819.21,506.99,85.7,210.91,57.42,0,,35,3868289.594,57948660.46,46979.81359,22,72.17847769
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.72,885.41,862.29,780.07,489.63,81.64,210.91,57.42,0,,36,3508914.301,54080370.87,43843.7355,21,68.8976378
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.12,857.45,808.58,743.65,449.33,76.89,210.91,57.42,0,,37,3342084.438,50571456.57,40999.00814,20,65.6167979
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.8,824.68,777.5,715.49,405.29,71.94,210.91,57.42,0,,38,3191488.7,47229372.13,38289.53216,19,62.33595801
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.33,792.27,756.68,686.92,380.43,65.57,210.91,57.42,0,,39,3068398.04,44037883.43,35702.14631,18,59.05511811
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.21,750.72,735.47,663.08,356.88,60.53,210.91,57.42,0,,40,2949449.95,40969485.39,33214.55183,17,55.77427822
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.12,702.57,709.2,646.48,328.51,58.28,210.91,57.42,0,,41,2825143.213,38020035.44,30823.39028,16,52.49343832
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.02,623.8,678.42,629.87,288.92,56.36,210.91,57.42,0,,42,2650374.25,35194892.22,28533.00599,15,49.21259843
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.89,508.42,644.77,615.31,250.64,53.33,210.91,57.42,0,,43,2424925.549,32544517.98,26384.30941,14,45.93175853
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.12,429.84,602.13,602.49,225.96,51.78,210.91,57.42,0,,44,2243957.562,30119592.43,24418.38735,13,42.65091864
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.08,395.52,565.31,589.81,200.4,51.78,210.91,57.42,0,,45,2122923.356,27875634.86,22599.17864,12,39.37007874
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.39,379.95,547.6,577.06,177.41,51.78,210.91,57.42,0,,46,2048070.394,25752711.51,20878.0941,11,36.08923885
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.03,372.63,536.09,564.5,161.24,51.78,210.91,57.42,0,,47,1999704.168,23704641.11,19217.69393,10,32.80839895
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.89,365.04,525.98,552.5,142.33,51.78,210.91,57.42,0,,48,1950517.338,21704936.95,17596.50497,9,29.52755906
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.91,357.82,518.07,540.51,127.35,51.78,210.91,57.42,0,,49,1907925.004,19754419.61,16015.19247,8,26.24671916
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,349.32,509,527.49,121.02,51.78,210.91,57.42,0,,50,1870325.503,17846494.6,14468.41019,7,22.96587927
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.08,338.76,497.17,513.91,120.12,51.78,210.91,57.42,0,,51,1832172.342,15976169.1,12952.11037,6,19.68503937
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.55,322.32,482.67,500.42,120.12,51.78,210.91,57.42,0,,52,1785743.929,14143996.76,11466.74187,5,16.40419948
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.79,302.87,456.95,486.03,120.12,51.78,210.91,57.42,0,,53,1724129.392,12358252.83,10019.01355,4,13.12335958
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.44,284.95,420.66,471.88,120.12,51.78,210.91,57.42,0,,54,1654219.829,10634123.44,8621.237019,3,9.842519685
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,268.53,383.48,458.36,120.12,51.78,210.91,57.42,0,,55,1585941.588,8979903.61,7280.137181,2,6.56167979
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.65,251.97,354.43,444.15,120.12,51.78,210.91,57.42,0,,56,1524969.692,7393962.022,5994.391495,1,3.280839895
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.68,226.8,335.62,423.9,120.12,51.78,210.91,57.42,0,,57,1460507.756,5868992.329,4758.076604,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.68,200.2,299.45,396.85,120.12,0,0,57.42,0,,58,1111988.17,4408484.573,3574.021932,-1,-3.280839895
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.68,172.29,231.07,340.4,120.12,0,0,57.42,0,,59,960977.1864,3296496.403,2672.517109,-2,-6.56167979
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.68,142.4,150.6,215.86,120.12,0,0,57.42,0,,60,728736.2544,2335519.217,1893.439064,-3,-9.842519685
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.68,110.38,85.24,92.63,120.12,0,0,57.42,0,,61,510623.5596,1606782.962,1302.642088,-4,-13.12335958
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.65,61.78,57.95,120.12,0,0,57.42,0,,62,375619.3056,1096159.403,888.6722142,-5,-16.40419948
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,61.78,57.95,120.12,0,0,57.42,0,,63,359750.9916,720540.0972,584.1522337,-6,-19.68503937
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.26,61.78,0,0,0,0,57.42,0,,64,180394.5528,360789.1056,292.4969238,-7,-22.96587927
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.26,61.78,0,0,0,0,57.42,0,,65,180394.5528,180394.5528,146.2484619,-8,-26.24671916
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,66,0,0,0,-9,-29.52755906
