FRICT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,
LAYER,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),scale
1,0,0,0,70.602,69.337,0,0,0,108.367,137.85775,0,0,0,0,0,80.262,50.904,117.0323212,108.64,114.9740242,110.82725,123.55275,146.328,161.658,186.011,215.7035364,83.629,256.6663591,274.8753333,299.65675,337.62625,268.64875,403.67075,413.0556667,577.9045682,653.8531579,509.7345909,339.2629048,224.223,268.831,216.698875,0,,23,6851941.532,111598189.2,90474.25919,33.5,109.9081365,
1,0,0,0,41.867,63.357,0,0,0,68.222,126.847,0,0,0,0,0,80.262,35.721,115.717,104.496,112.469,101.045,108.115,129.633,124.929,149.954,207.228,56.266,249.3281796,270.9556667,294.2945,311.136,246.386,403.13,412.5993333,577.8746364,653.8498158,509.3111818,338.0263095,222.4455,267.777,213.73325,0,,24,6522297.612,104746247.7,84919.29151,32.5,106.6272966,
1,0,0,0,41.867,63.357,0,0,0,40.523,70.077,0,0,0,0,0,0,0,115.717,89.915,109.886,70.147,76.713,115.955,79.912,118.37,170.177,40.74,241.99,267.036,288.93225,260.589,203.245,362.908,412.143,577.8447045,653.8464737,508.8877727,336.7897143,220.668,266.723,210.767625,0,,25,5947628.516,98223950.08,79631.5709,31.5,103.3464567,
1,0,0,0,41.867,63.357,0,0,0,40.523,43.603,0,0,0,0,0,0,0,115.717,89.915,109.886,48.3,50.862,103.894,55.279,91.49,135.051,40.74,241.99,247.38,283.57,214.193,157.57,324.877,411.6866667,577.8147727,653.8431316,508.4643636,335.553119,206.794,265.669,207.802,0,,26,5603532.791,92276321.56,74809.74281,30.5,100.0656168,
1,0,0,0,41.867,63.357,0,0,0,40.523,43.603,0,0,0,0,0,0,0,0,0,0,0,40.572,94.64,45.57,60.956,128.954,40.74,241.99,228.193,253.568,171.822,119.637,281.316,411.2303333,577.7848409,653.8397895,508.0409545,334.3165238,189.637,264.615,129.136,0,,27,4909694.358,86672788.77,70266.87808,29.5,96.7847769,
1,0,0,0,41.867,63.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.572,84.364,39.844,50.981,128.954,40.74,241.99,211.505,230.699,137.76,103.53,233.471,410.774,577.7549091,653.8364474,507.6175455,333.0799286,174.496,263.561,99.127,0,,28,4617017.78,81763094.41,66286.51816,28.5,93.50393701,
1,0,0,0,41.867,63.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.572,72.352,37.611,0,128.954,40.74,241.99,196.966,213.437,109.473,97.678,200.949,392.7,577.7249773,653.8331053,507.1941364,331.8433333,162.848,262.507,88.025,0,,29,4412104.676,77146076.64,62543.43535,27.5,90.22309711,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,241.99,180.257,192.731,78.204,92.4,186.571,376.838,577.6950455,653.8297632,506.7707273,330.6067381,149.324,249.767,80.864,0,,30,3945535.434,72733971.96,58966.47855,26.5,86.94225722,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,241.99,160.552,170.926,58.898,89.999,173.649,363.692,577.6651136,653.8264211,506.3473182,329.3701429,134.001,235.704,62.636,0,,31,3808512.02,68788436.53,55767.77615,25.5,83.66141732,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.609,36.253,0,0,0,241.99,136.668,135.275,47.117,89.999,159.957,348.005,577.6351818,653.8230789,505.9239091,328.1335476,120.309,225.785,43.883,0,,32,3665398.337,64979924.5,52680.16061,24.5,80.38057743,
