$ MCNARY-POOLELEV.npt based on $//MCNARY-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41794,104.418
41795,104.242
41796,104.214
41797,104.248
41798,104.214
41799,104.376
41800,104.333
41801,104.321
41802,104.342
41803,104.376
41804,104.36
41805,104.522
41806,104.428
41807,104.428
41808,104.373
41809,104.333
41810,104.171
41811,104.19
41812,104.29
41813,104.418
41814,104.336
41815,104.126
41816,104.101
41817,104.092
41818,104.159
41819,104.22
41820,104.315
41821,104.415
41822,104.376
41823,104.181
41824,104.141
41825,104.126
41826,104.275
41827,104.171
41828,104.147
41829,104.171
41830,104.306
41831,104.165
41832,104.175
41833,104.153
41834,104.028
41835,104.135
41836,104.184
41837,104.171
41838,104.303
41839,104.388
41840,104.443
41841,104.421
41842,104.126
41843,104.165
41844,104.187
41845,104.22
41846,104.379
41847,104.458
41848,104.528
41849,104.562
41850,104.382
41851,104.431
41852,104.354
41853,104.19
41854,104.178
41855,104.217
41856,104.367
41857,104.452
41858,104.354
41859,104.312
41860,104.4
41861,104.394
41862,104.421
41863,104.434
41864,104.479
41865,104.476
41866,104.473
41867,104.452
41868,104.473
41869,104.513
41870,104.391
41871,104.309
41872,104.266
41873,104.318
41874,104.412
41875,104.4
41876,104.455
41877,104.385
41878,104.165
41879,104.129
41880,104.123
41881,104.339
41882,104.348
41883,104.37
41884,104.251
41885,104.293
41886,104.281
41887,104.44
41888,104.418
41889,104.495
41890,104.321
41891,104.3
41892,104.214
41893,104.144
41894,104.214
41895,104.348
41896,104.44
41897,104.394
41898,104.421
41899,104.336
41900,104.36
41901,104.367
41902,104.412
41903,104.293
41904,104.342
41905,104.382
41906,104.412
41907,104.437
41908,104.412
41909,104.153
41910,104.132
41911,104.165
41912,104.229
41913,104.242
41914,104.336
41915,104.406
41916,104.29
41917,104.293
41918,104.345
41919,104.336
41920,104.354
41921,104.254
41922,104.284
41923,104.236
41924,104.278
41925,104.251
41926,104.248
41927,104.217
41928,104.272
41929,104.382
41930,104.342
41931,104.397
41932,104.342
41933,104.275
41934,104.248
41935,104.354
41936,104.406
41937,104.3
41938,104.33
41939,104.333
41940,104.434
41941,104.376
41942,104.321
41943,104.394
41944,104.345
41945,104.309
41946,104.327
41947,104.418
41948,104.316
41949,104.259
41950,104.266
41951,104.316
41952,104.426
41953,104.357
41954,104.428
41955,104.413
41956,104.319
41957,104.218
41958,104.15
41959,104.179
41960,104.16
41961,104.159
41962,104.063
41963,104.173
41964,104.122
41965,104.228
41966,104.221
41967,104.287
41968,104.293
41969,104.293
41970,104.396
41971,104.345
41972,104.398
41973,104.38
41974,104.399
41975,104.45
41976,104.54
41977,104.239
41978,104.124
41979,104.137
41980,104.261
41981,104.272
41982,104.222
41983,104.197
41984,104.269
41985,104.31
41986,104.256
41987,104.222
41988,104.179
41989,104.148
41990,104.065
41991,104.001
41992,104.047
41993,104.12
41994,104.047
41995,104.075
41996,104.127
41997,104.105
41998,104.21
41999,104.235
42000,104.317
42001,104.367
42002,104.273
42003,104.284
42004,104.214
42005,104.214
42006,104.255
42007,104.345
42008,104.459
42009,104.414
42010,104.421
42011,104.156
42012,104.15
42013,104.404
42014,104.509
42015,104.457
42016,104.443
42017,104.469
42018,104.28
42019,104.17
42020,104.189
42021,104.222
42022,104.25
42023,104.315
42024,104.218
42025,104.188
42026,104.406
42027,104.453
42028,104.297
42029,104.279
42030,104.339
42031,104.222
42032,104.246
42033,104.297
42034,104.288
42035,104.346
42036,104.453
42037,104.478
42038,104.412
42039,104.281
42040,104.231
42041,104.115
42042,104.055
42043,104.015
42044,103.958
42045,104.049
42046,104.316
42047,104.493
42048,104.498
42049,104.366
42050,104.305
42051,104.32
42052,104.35
42053,104.322
42054,104.376
42055,104.271
42056,104.26
42057,104.201
42058,104.164
42059,104.127
42060,104.321
42061,104.391
42062,104.277
42063,104.164
42064,104.285
42065,104.252
42066,104.172
42067,104.122
42068,104.12
42069,104.134
42070,104.325
42071,104.371
42072,104.159
42073,104.196
42074,104.126
42075,104.175
42076,103.986
42077,103.973
42078,103.989
42079,104.104
42080,104.129
42081,104.074
42082,104.281
42083,104.278
42084,103.995
42085,103.94
42086,104.053
42087,104.062
42088,104.181
42089,104.306
42090,104.245
42091,104.4
42092,104.443
42093,104.501
42094,104.44
42095,104.403
42096,104.421
42097,104.29
42098,104.504
42099,104.522
42100,104.528
42101,104.525
42102,104.403
42103,104.36
42104,104.36
42105,104.19
42106,104.239
42107,104.36
42108,104.33
42109,104.217
42110,104.031
42111,104.031
42112,103.998
42113,104.092
42114,104.284
42115,104.37
42116,104.327
42117,104.278
42118,104.324
42119,104.266
42120,104.232
42121,104.336
