$ COLUMBIA+YAKIMAFLOW.npt based on $//COLUMBIA+YAKIMA/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
579.000000,6281.447
580.000000,6156.168
581.000000,5746.834
582.000000,5211.861
583.000000,5099.928
584.000000,5047.893
585.000000,4950.107
586.000000,5032.208
587.000000,5188.705
588.000000,5012.227
589.000000,5202.213
590.000000,5190.382
591.000000,4979.71
592.000000,5080.203
593.000000,4832.451
594.000000,4451.58
595.000000,4067.721
596.000000,4048.503
597.000000,4146.438
598.000000,4418.387
599.000000,4479.682
600.000000,4364.767
601.000000,4267.132
602.000000,4178.915
603.000000,4199.881
604.000000,3982.852
605.000000,3730.531
606.000000,3800.467
607.000000,3583.63
608.000000,3161.415
609.000000,3230.844
610.000000,3561.662
611.000000,3459.439
612.000000,2551.332
613.000000,2261.38
614.000000,3175.93
615.000000,3200.021
616.000000,2579.018
617.000000,2424.96
618.000000,2328.707
619.000000,2191.397
620.000000,2278.752
621.000000,2739.36
622.000000,2555.338
623.000000,2379.994
624.000000,2686.076
625.000000,2630.851
626.000000,2216.982
627.000000,2524.98
628.000000,2907.232
629.000000,2679.705
630.000000,2269.687
631.000000,2289.437
632.000000,2353.406
633.000000,2175.737
634.000000,2446.766
635.000000,2492.929
636.000000,2532.984
637.000000,2584.361
638.000000,2493.175
639.000000,2258.986
640.000000,1564.188
641.000000,1436.922
642.000000,1868.127
643.000000,2105.479
644.000000,2402.693
645.000000,2252.835
646.000000,2042.336
647.000000,1838.229
648.000000,1917.25
649.000000,2329.044
650.000000,2356.437
651.000000,2333.046
652.000000,2273.767
653.000000,1863.472
654.000000,1599.297
655.000000,1833.051
656.000000,1959.704
657.000000,1844.506
658.000000,1885.704
659.000000,1720.458
660.000000,1811.765
661.000000,2039.556
662.000000,2079.322
663.000000,2010.259
664.000000,2462.497
665.000000,2912.077
666.000000,3018.816
667.000000,2979.393
668.000000,2467.412
669.000000,2149.335
670.000000,2322.464
671.000000,2250.121
672.000000,2396.655
673.000000,2736.886
674.000000,2656.107
675.000000,2485.522
676.000000,2198.547
677.000000,2413.293
678.000000,2672.664
679.000000,2772.514
680.000000,2644.771
681.000000,2601.418
682.000000,2775.012
683.000000,2971.162
684.000000,3028.641
685.000000,2808.928
686.000000,2796.259
687.000000,2923.74
688.000000,2995.211
689.000000,2949.139
690.000000,3040.146
691.000000,3366.96
692.000000,3030.913
693.000000,2342.463
694.000000,2126.454
695.000000,2129.163
696.000000,2282.248
697.000000,3009.308
698.000000,3352.023
699.000000,2826.626
700.000000,2950.25
701.000000,3563.064
702.000000,3527.992
703.000000,3520.223
704.000000,3580.484
705.000000,3437.369
706.000000,3355.707
707.000000,3658.823
708.000000,3857.021
709.000000,3823.737
710.000000,3899.71
711.000000,3965.987
712.000000,4162.561
713.000000,4194.897
714.000000,4331.368
715.000000,4572.827
716.000000,4489.714
717.000000,4418.759
718.000000,4321.881
719.000000,4446.824
720.000000,4482.394
721.000000,4187.875
722.000000,3980.986
723.000000,3675.71
724.000000,3258.656
725.000000,3273.511
726.000000,3396.521
727.000000,3392.366
728.000000,3487.678
729.000000,3698.826
730.000000,4297.37
731.000000,4499.162
732.000000,4410.292
733.000000,4380.601
734.000000,4329.915
735.000000,3920.395
736.000000,3860.707
737.000000,4366.417
738.000000,4638.341
739.000000,4706.951
740.000000,4636.882
741.000000,4052.964
742.000000,3592.49
743.000000,3924.781
744.000000,4347.031
745.000000,4181.726
746.000000,3969.918
747.000000,4063.692
748.000000,4253.388
749.000000,4467.045
750.000000,4529.831
751.000000,4402.667
752.000000,4418.937
753.000000,4249.894
754.000000,4240.481
755.000000,4518.505
756.000000,4538.44
757.000000,4424.033
758.000000,4125.928
759.000000,3719.859
760.000000,3173.932
761.000000,3056.087
762.000000,3342.447
763.000000,3184.272
764.000000,2861.119
765.000000,2727.723
766.000000,2697.05
767.000000,2630.473
768.000000,2526.347
769.000000,2538.072
770.000000,3074.264
771.000000,3857.705
772.000000,3801.066
773.000000,2982.943
774.000000,2637.241
775.000000,2605.648
776.000000,2375.785
777.000000,2570.966
778.000000,3071.859
779.000000,3037.868
780.000000,2445.141
781.000000,2596.014
782.000000,3201.455
783.000000,3317.65
784.000000,3192.377
785.000000,2997.902
786.000000,2752.973
787.000000,2638.771
788.000000,2699.568
789.000000,2429.948
790.000000,2372.055
791.000000,2516.24
792.000000,2415.587
793.000000,2067.171
794.000000,1824.159
795.000000,1963.856
796.000000,1888.471
797.000000,1791.263
798.000000,2232.29
799.000000,2418.518
800.000000,2506.16
801.000000,2818.027
802.000000,2796.773
803.000000,2169.759
804.000000,1883.965
805.000000,2148.967
806.000000,2238.813
807.000000,2315.358
808.000000,2386.932
809.000000,2411.879
810.000000,2434.795
811.000000,2137.351
812.000000,2178.171
813.000000,2387.129
814.000000,2223.871
815.000000,2204.352
816.000000,2410.62
817.000000,2409.811
818.000000,2348.73
819.000000,2721.761
820.000000,3205.236
821.000000,3167.359
822.000000,3052.961
823.000000,3004.094
824.000000,2702.46
825.000000,2669.526
826.000000,3383.287
827.000000,3995.697
828.000000,4230.924
829.000000,4353.009
830.000000,4395.774
831.000000,4671.591
832.000000,4998.851
833.000000,5479.87
834.000000,5494.819
835.000000,5366.022
836.000000,5592.584
837.000000,5639.331
838.000000,5587.38
839.000000,5540.972
840.000000,5250.953
841.000000,4807.568
842.000000,4830.945
843.000000,4783.767
844.000000,4288.57
845.000000,4132.575
846.000000,4465.552
847.000000,4577.717
848.000000,4567.316
849.000000,4643.761
850.000000,4646.779
851.000000,4334.302
852.000000,4079.68
853.000000,4307.589
854.000000,4559.923
855.000000,4567.538
856.000000,4504.438
857.000000,4624.751
858.000000,4527.361
859.000000,4649.186
860.000000,5551.366
861.000000,6093.427
862.000000,6675.15
863.000000,7087.113
864.000000,6528.1
865.000000,6339.929
866.000000,6143.269
867.000000,5973.712
868.000000,5889.033
869.000000,5975.688
870.000000,6243.81
871.000000,6362.473
872.000000,6192.904
873.000000,6009.664
874.000000,6141.08
875.000000,6652.264
876.000000,6598.782
877.000000,6257.748
878.000000,6087.09
879.000000,6086.468
880.000000,6126.507
