$ ICE HARBOR_OUTFLOW.npt based on $//ICE HARBOR_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
447.000000,1995.549
448.000000,2097.246
449.000000,2431.225
450.000000,2223.8
451.000000,2322.617
452.000000,2539.044
453.000000,2363.298
454.000000,2685.707
455.000000,2865.399
456.000000,3093.152
457.000000,3053.526
458.000000,3841.415
459.000000,4004.383
460.000000,3662.701
461.000000,3390.229
462.000000,2915.391
463.000000,3074.12
464.000000,3043.096
465.000000,2951.617
466.000000,2827.621
467.000000,2737.428
468.000000,2720.753
469.000000,2991.604
470.000000,3102.905
471.000000,3284.187
472.000000,3088.716
473.000000,3001.982
474.000000,2864.861
475.000000,2982.058
476.000000,3068.024
477.000000,3045.293
478.000000,2999.71
479.000000,3314.194
480.000000,3565.099
481.000000,4108.958
482.000000,4500.201
483.000000,4971.633
484.000000,5104.968
485.000000,4970.774
486.000000,4890.702
487.000000,4209.117
488.000000,3937.439
489.000000,3671.559
490.000000,3642.529
491.000000,3532.085
492.000000,3315.342
493.000000,2896.765
494.000000,2844.889
495.000000,2635.062
496.000000,2673.218
497.000000,2753.103
498.000000,2719.124
499.000000,2891.132
500.000000,2861.013
501.000000,2792.867
502.000000,2861.791
503.000000,3172.825
504.000000,3490.359
505.000000,3731.19
506.000000,3580.364
507.000000,3280.425
508.000000,2882.227
509.000000,3245.25
510.000000,3263.134
511.000000,3842.869
512.000000,3489.627
513.000000,2778.344
514.000000,2610.846
515.000000,2285.601
516.000000,2124.585
517.000000,2273.181
518.000000,2309.987
519.000000,2327.809
520.000000,2500.691
521.000000,2734
522.000000,2956.963
523.000000,3119.383
524.000000,3215.871
525.000000,3631.92
526.000000,3027.266
527.000000,2680.771
528.000000,2745.864
529.000000,2475.793
530.000000,2674.351
531.000000,2226.839
532.000000,2584.24
533.000000,2659.232
534.000000,2630.997
535.000000,2359.329
536.000000,2586.762
537.000000,2180.748
538.000000,2721.573
539.000000,2283.54
540.000000,2433.487
541.000000,2237.373
542.000000,2568.5
543.000000,2333.336
544.000000,2445.521
545.000000,2276.585
546.000000,2379.544
547.000000,2060.16
548.000000,1879.903
549.000000,1763.328
550.000000,1806.236
551.000000,1815.092
552.000000,1629.835
553.000000,1637.779
554.000000,1625.31
555.000000,1310.108
556.000000,1534.008
557.000000,1264.087
558.000000,1202.387
559.000000,1507.571
560.000000,1490.314
561.000000,1410.405
562.000000,1386.291
563.000000,1341.414
564.000000,1111.656
565.000000,1477.06
566.000000,1330.503
567.000000,1351.825
568.000000,1269.692
569.000000,1161.98
570.000000,1156.055
571.000000,1367.435
572.000000,992.067
573.000000,1106.35
574.000000,1017.118
575.000000,1175.482
576.000000,1299.183
577.000000,1123.756
578.000000,965.138
579.000000,956.09
580.000000,1087.776
581.000000,1084.765
582.000000,892.252
583.000000,1015.412
584.000000,976.773
585.000000,874.761
586.000000,796.965
587.000000,897.459
588.000000,1026.157
589.000000,653.31
590.000000,896.333
591.000000,873.312
592.000000,914.838
593.000000,763.565
594.000000,804.303
595.000000,824.559
596.000000,748.071
597.000000,717.894
598.000000,849.382
599.000000,734.63
600.000000,697.018
601.000000,748.129
602.000000,773.379
603.000000,781.35
604.000000,679.161
605.000000,719.562
606.000000,765.453
607.000000,768.626
608.000000,735.616
609.000000,600.046
610.000000,797.088
611.000000,852.275
612.000000,502.351
613.000000,475.162
614.000000,491.824
615.000000,250.544
616.000000,611.299
617.000000,1048.218
618.000000,945.385
619.000000,667.596
620.000000,711.869
621.000000,772.401
622.000000,912.564
623.000000,730.071
624.000000,786.156
625.000000,717.623
626.000000,573.104
627.000000,511.852
628.000000,826.086
629.000000,645.653
630.000000,706.031
631.000000,710.326
632.000000,513.258
633.000000,259.386
634.000000,506.742
635.000000,625.736
636.000000,488.701
637.000000,505.319
638.000000,350.215
639.000000,313.578
640.000000,383.932
641.000000,396.429
642.000000,1003.898
643.000000,449.03
644.000000,418.428
645.000000,678.688
646.000000,620.674
647.000000,432.01
648.000000,452.295
649.000000,459.545
650.000000,340.477
651.000000,636.094
652.000000,429.092
653.000000,583.239
654.000000,359.811
655.000000,384.382
656.000000,434.187
657.000000,353.089
658.000000,524.989
659.000000,625.489
660.000000,616.191
661.000000,404.989
662.000000,383.103
663.000000,604.77
664.000000,436.099
665.000000,586.404
666.000000,517.594
667.000000,579.548
668.000000,479.116
669.000000,672.013
670.000000,678.449
671.000000,843.904
672.000000,757.166
673.000000,829.746
674.000000,553.362
675.000000,539.036
676.000000,630.4
