$MCN Elev-Tailwater CBT-REV [m=>ft},,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
40969,264.5899035,
40970,264.8392473,
40971,264.8786174,
40972,264.7112946,
40973,264.1305859,
40974,263.2086698,
40975,264.1207434,
40976,264.4685124,
40977,264.5111633,
40978,264.2815045,
40979,264.4914783,
40980,264.2290111,
40981,264.8097198,
40982,264.6916095,
40983,264.0813733,
40984,263.9402972,
40985,264.2388536,
40986,265.009851,
40987,264.8589324,
40988,265.1902972,
40989,265.2198248,
40990,265.6988274,
40991,265.2296673,
40992,265.8891161,
40993,266.2007959,
40994,266.4796673,
40995,266.669956,
40996,267.2605072,
40997,267.7591949,
40998,267.860901,
40999,267.8707435,
41000,268.2316359,
41001,269.540691,
41002,268.681111,
41003,267.860901,
41004,267.490166,
41005,267.0702185,
41006,267.5590637,
41007,267.6115571,
41008,266.9094574,
41009,266.5813734,
41010,266.8897723,
41011,267.5492212,
41012,267.1916096,
41013,267.5098511,
41014,267.2998773,
41015,267.4311109,
41016,267.2309797,
41017,267.2998773,
41018,267.5885912,
41019,267.5098511,
41020,267.6607697,
41021,267.8313734,
41022,268.0511897,
41023,268.2808485,
41024,268.9501398,
41025,270.8792738,
41026,269.7801924,
41027,270.1804548,
41028,270.0393787,
41029,269.6489588,
41030,269.84909,
41031,270.2296674,
41032,270.2690375,
41033,270.2296674,
41034,270.1509273,
41035,269.84909,
41036,269.009195,
41037,268.7696936,
41038,268.6712684,
41039,268.7992212,
41040,268.6909535,
41041,269.1010585,
41042,268.9402973,
41043,267.6706122,
41044,268.2513209,
41045,268.7401661,
41046,268.5794049,
41047,269.0387225,
41048,269.9409535,
41049,269.2191687,
41050,269.0387225,
41051,269.2290112,
41052,269.45867,
41053,269.7605073,
41054,269.4488275,
41055,269.1404286,
41056,268.188985,
41057,268.7893787,
41058,267.9790112,
41059,267.9396411,
41060,267.6607697,
41061,267.4606385,
41062,267.3490899,
41063,267.6312422,
41064,267.368775,
41065,268.1791424,
41066,268.6614259,
41067,268.59909,
41068,269.1502711,
41069,268.9698249,
41070,269.048565,
41071,268.8385913,
41072,268.9993524,
41073,268.6614259,
41074,269.02888,
41075,268.7795362,
41076,268.700796,
41077,267.8412159,
41078,268.9402973,
41079,268.9107698,
41080,269.1404286,
41081,268.8385913,
41082,268.9009272,
41083,269.501321,
41084,269.2093262,
41085,269.1404286,
41086,269.9606386,
41087,270.360901,
41088,270.4494837,
41089,270.1509273,
41090,270.1213997,
41091,270.0098512,
41092,270.1410848,
41093,269.2815047,
41094,269.130586,
41095,268.9304548,
41096,269.1699561,
41097,268.9895099,
41098,268.1692999,
41099,267.9199561,
41100,268.4908222,
41101,268.4088012,
41102,268.3202186,
41103,268.3792737,
41104,268.63846,
41105,268.2414784,
41106,268.681111,
41107,268.9402973,
41108,268.2611634,
41109,267.3097198,
41110,267.3392474,
41111,268.20867,
41112,268.4809797,
41113,268.3694312,
41114,268.1791424,
41115,267.6213996,
41116,267.0013209,
41117,267.5984338,
41118,267.2703498,
41119,266.4599823,
41120,267.0308484,
41121,266.9094574,
41122,266.8504022,
41123,266.4599823,
41124,266.0794048,
41125,266.548565,
41126,265.5807172,
41127,265.8989586,
41128,265.6791424,
41129,265.5708746,
41130,266.0400348,
41131,265.5511896,
41132,265.4790111,
41133,265.7710059,
41134,265.7808484,
41135,265.2395098,
41136,265.0689061,
41137,265.2198248,
41138,264.6784862,
41139,265.3609009,
41140,264.9803234,
41141,264.8786174,
41142,265.419956,
41143,265.0590636,
41144,265.400271,
41145,265.2001397,
41146,265.111557,
41147,264.7900347,
41148,264.4291423,
41149,264.8392473,
41150,264.3504022,
41151,264.5308484,
41152,264.4291423,
41153,265.2985649,
41154,264.9212683,
41155,263.881242,
41156,263.9009271,
41157,264.1994835,
41158,264.5210058,
41159,264.6292736,
41160,264.0715308,
41161,264.2683812,
41162,264.5111633,
41163,264.6489586,
41164,264.1502709,
41165,264.0813733,
41166,263.7106384,
41167,264.0091948,
41168,263.881242,
41169,263.8287486,
41170,263.9402972,
41171,264.2388536,
41172,264.0715308,
41173,263.9009271,
41174,264.3504022,
41175,263.9402972,
41176,263.7007958,
41177,263.9698247,
41178,264.0190373,
41179,264.0387224,
41180,264.1010583,
41181,264.3307171,
41182,264.2388536,
41183,263.9402972,
41184,263.799221,
41185,264.2486961,
41186,264.189641,
41187,263.9698247,
41188,264.189641,
41189,264.169956,
41190,264.3405596,
41191,264.4914783,
41192,264.8195623,
41193,264.7703497,
41194,264.7408221,
41195,265.0787486,
41196,264.8392473,
41197,264.5899035,
41198,264.6391161,
41199,265.0492211,
41200,264.9015833,
41201,265.1509271,
41202,265.1804547,
41203,265.2001397,
41204,264.7408221,
41205,264.8490898,
41206,265.0787486,
41207,265.2395098,
41208,265.4101135,
41209,265.009851,
41210,264.990166,
41211,265.419956,
41212,265.6200872,
41213,265.3609009,
41214,265.3412158,
41215,265.009851,
41216,265.0492211,
41217,265.0000085,
41218,264.9606384,
41219,264.6391161,
41220,264.8097198,
41221,265.5610321,
41222,265.810376,
41223,265.1213996,
41224,265.0492211,
41225,265.400271,
41226,265.0492211,
41227,265.3084074,
41228,264.7506646,
41229,264.8294048,
41230,265.0393786,
