$ BONNEVILLE-POOLELEV.npt based on $//BONNEVILLE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41295,23.757
41296,23.635
41297,23.657
41298,23.765
41299,23.67
41300,23.675
41301,23.633
41302,23.614
41303,23.682
41304,23.853
41305,23.804
41306,23.788
41307,23.599
41308,23.784
41309,23.53
41310,23.454
41311,23.552
41312,23.389
41313,23.491
41314,23.546
41315,23.627
41316,23.892
41317,23.596
41318,23.597
41319,23.784
41320,23.598
41321,23.456
41322,23.414
41323,23.445
41324,23.418
41325,23.447
41326,23.471
41327,23.529
41328,23.496
41329,23.48
41330,23.351
41331,23.466
41332,23.401
41333,23.477
41334,23.466
41335,23.801
41336,23.796
41337,24.008
41338,24.112
41339,24.01
41340,23.802
41341,23.871
41342,23.601
41343,23.449
41344,23.799
41345,23.531
41346,23.497
41347,23.645
41348,23.64
41349,23.491
41350,23.464
41351,23.354
41352,23.273
41353,23.756
41354,23.744
41355,23.593
41356,23.849
41357,23.878
41358,23.743
41359,23.615
41360,23.618
41361,23.419
41362,23.749
41363,23.684
41364,23.633
41365,23.365
41366,23.211
41367,23.118
41368,23.405
41369,23.56
41370,23.501
41371,23.66
41372,23.863
41373,23.842
41374,23.766
41375,23.677
41376,23.503
41377,23.675
41378,23.588
41379,23.467
41380,23.677
41381,23.712
41382,23.626
41383,23.548
41384,23.568
41385,23.575
41386,23.628
41387,23.709
41388,23.559
41389,23.427
41390,23.546
41391,23.693
41392,23.813
41393,23.95
41394,23.774
41395,23.778
41396,23.719
41397,23.609
41398,23.569
41399,23.613
41400,23.729
41401,23.515
41402,23.38
41403,23.106
41404,23.108
41405,23.221
41406,23.551
41407,23.724
41408,23.753
41409,23.545
41410,23.574
41411,23.527
41412,23.578
41413,23.599
41414,23.673
41415,23.626
41416,23.626
41417,23.605
41418,23.67
41419,23.559
41420,23.585
41421,23.593
41422,23.618
41423,23.525
41424,23.491
41425,23.564
41426,23.631
41427,23.355
41428,23.332
41429,23.45
41430,23.628
41431,23.585
41432,23.524
41433,23.699
41434,23.575
41435,23.612
41436,23.533
41437,23.495
41438,23.333
41439,23.496
41440,23.656
41441,23.572
41442,23.536
41443,23.493
41444,23.426
41445,23.42
41446,23.48
41447,23.464
41448,23.245
41449,23.536
41450,23.59
41451,23.542
41452,23.548
41453,23.485
41454,23.383
41455,23.297
41456,23.751
41457,23.713
41458,23.764
41459,23.848
41460,23.989
41461,24.054
41462,23.429
41463,23.223
41464,23.443
41465,23.443
41466,23.4
41467,23.477
41468,23.277
41469,23.632
41470,23.55
41471,23.634
41472,23.55
41473,23.571
41474,23.578
41475,23.593
41476,23.823
41477,23.91
41478,23.797
41479,23.633
41480,23.568
41481,23.656
41482,23.924
41483,23.978
41484,23.929
41485,23.77
41486,23.877
41487,23.784
41488,23.946
41489,23.826
41490,23.727
41491,23.627
41492,23.813
41493,23.713
41494,23.867
41495,23.53
41496,23.727
41497,24.144
41498,23.954
41499,23.411
41500,23.803
41501,23.929
41502,23.7
41503,23.609
41504,23.754
41505,23.819
41506,23.76
41507,23.777
41508,23.713
41509,23.612
41510,23.541
41511,23.565
41512,23.754
41513,23.68
41514,23.954
41515,23.873
41516,23.912
41517,23.921
41518,23.983
41519,23.853
41520,23.871
41521,23.784
41522,23.804
41523,23.83
41524,24.008
41525,23.993
41526,24.098
41527,23.999
41528,24.026
41529,24.005
41530,23.98
41531,23.99
41532,24.02
41533,23.965
41534,23.771
41535,23.822
41536,23.88
41537,23.884
41538,23.821
41539,23.98
41540,23.854
41541,23.938
41542,23.891
41543,23.931
41544,23.913
41545,23.854
41546,23.902
41547,24.037
41548,23.911
41549,23.865
41550,23.909
41551,23.955
41552,23.892
41553,23.839
41554,23.764
41555,23.609
41556,23.565
41557,23.792
41558,23.762
41559,23.884
41560,23.856
41561,23.762
41562,23.593
41563,23.595
41564,23.552
41565,23.706
41566,23.529
41567,23.129
41568,23.15
41569,23.199
41570,23.283
41571,23.288
41572,23.292
41573,23.259
41574,23.295
41575,23.134
41576,23.242
41577,23.419
41578,23.25
41579,23.171
41580,23.452
41581,23.707
41582,23.811
41583,23.661
41584,23.674
41585,23.519
41586,23.3
41587,23.329
41588,23.35
41589,23.484
41590,23.637
41591,23.529
41592,23.315
41593,23.462
41594,23.402
41595,23.445
41596,23.532
41597,23.513
41598,23.727
41599,23.779
41600,23.753
41601,23.712
41602,23.89
41603,23.615
41604,23.393
41605,23.664
41606,23.639
41607,23.694
41608,23.722
41609,23.684
41610,23.532
41611,23.713
41612,23.398
41613,23.481
41614,23.573
41615,23.287
41616,23.313
41617,23.357
41618,23.333
41619,23.338
41620,23.287
41621,23.307
41622,23.313
41623,23.567
