"Name","Segment","Parameter","Units","Data_Column","Filename","Output_Timestep"
"Time Series File 6 Segment 76 Depth 20.00 m","76","EvapF","W/m^2","16/20","BON_tsr_6_seg76.opt",    0.041670
"Time Series File 6 Segment 76 Depth 20.00 m","76","ConducF","W/m^2","17/20","BON_tsr_6_seg76.opt",    0.041670
"Time Series File 6 Segment 76 Depth 20.00 m","76","N2","g/m^3","18/20","BON_tsr_6_seg76.opt",    0.041670
"Time Series File 6 Segment 76 Depth 20.00 m","76","DO","g/m^3","19/20","BON_tsr_6_seg76.opt",    0.041670
"Time Series File 6 Segment 76 Depth 20.00 m","76","Oxygen % Gas Saturation","","20/20","BON_tsr_6_seg76.opt",    0.041670
"Segment 76 Withdrawal flow","76","QWD","m^3/s","1/1","qwo_76.opt",    0.041667
"Segment 76 Withdrawal Temperature","76","T","Celsius","1/1","two_76.opt",    0.041667
"Segment 76 Withdrawal constituent","76","N2","g/m^3","1/2","cwo_76.opt",    0.041667
"Segment 76 Withdrawal constituent","76","DO","g/m^3","2/2","cwo_76.opt",    0.041667
"Segment 76 Withdrawal Derived Constituent","76","Oxygen % Gas Saturation","","1/1","dwo_76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate1_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate1_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate1_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate1_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate1_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate2_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate2_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate2_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate2_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate2_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate3_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate3_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate3_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate3_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate3_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate4_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate4_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate4_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate4_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate4_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate5_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate5_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate5_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate5_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate5_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate6_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate6_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate6_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate6_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate6_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate7_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate7_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate7_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate7_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate7_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate8_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate8_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate8_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate8_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate8_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate9_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate9_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate9_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate9_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate9_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 flow","76","QWD","m^3/s","1/1","qwo_gate10_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 temperature","76","T","Celsius","1/1","two_gate10_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","N2","g/m^3","1/2","cwo_gate10_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 constituents","76","DO","g/m^3","2/2","cwo_gate10_seg76.opt",    0.041667
"GATE WITHDRAWAL AT SEG76 derived constituents","76","Oxygen % Gas Saturation","","1/1","dwo_gate10_seg76.opt",    0.041667
