$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
679.000000,3593.913
680.000000,3476.462
681.000000,3676.217
682.000000,4002.071
683.000000,4025.885
684.000000,3859.936
685.000000,3736.321
686.000000,3984.267
687.000000,4177.55
688.000000,4055.614
689.000000,4281.64
690.000000,3645.739
691.000000,2426.798
692.000000,4091.491
693.000000,3665.923
694.000000,3632.237
695.000000,3186.452
696.000000,3097.289
697.000000,3684.926
698.000000,4517.845
699.000000,4055.615
700.000000,4246.006
701.000000,4535.604
702.000000,4485.295
703.000000,4686.348
704.000000,4608.368
705.000000,5096.72
706.000000,4782.669
707.000000,5348.01
708.000000,5293.293
709.000000,5545.978
710.000000,5366.008
711.000000,5005.452
712.000000,5152.921
713.000000,5715.885
714.000000,5971.198
715.000000,5726.94
716.000000,5834.602
717.000000,5015.159
718.000000,5152.826
719.000000,6107.17
720.000000,5371.053
721.000000,4709.882
722.000000,4678.804
723.000000,4967.883
724.000000,4851.789
725.000000,4364.955
726.000000,4036.008
727.000000,4472.728
728.000000,4391.426
729.000000,4837.964
730.000000,5248.045
731.000000,5823.269
732.000000,5656.991
733.000000,5528.847
734.000000,5955.369
735.000000,5601.01
736.000000,4943.17
737.000000,5255.433
738.000000,4997.244
739.000000,4581.085
740.000000,5144.489
741.000000,6077.704
742.000000,5474.309
743.000000,5112.158
744.000000,5436.176
745.000000,5524.641
746.000000,5068.472
747.000000,5456.806
748.000000,6219.719
749.000000,5998.381
750.000000,5055.083
751.000000,5490.838
752.000000,5088.233
753.000000,5280.746
754.000000,5730.319
755.000000,5543.494
756.000000,4999.883
757.000000,5591.892
758.000000,4492.559
759.000000,4455.126
760.000000,4361.251
761.000000,3810.255
762.000000,4135.433
763.000000,4834.963
764.000000,4129.909
765.000000,3864.011
766.000000,4077.511
767.000000,4365.618
768.000000,3966.194
769.000000,4189.377
770.000000,4200.223
771.000000,4118.881
772.000000,4188.621
773.000000,3782.696
774.000000,3967.952
775.000000,4424.37
776.000000,3895.177
777.000000,4169.057
778.000000,4552.379
779.000000,4038.499
780.000000,4120.283
781.000000,4164.792
782.000000,3967.396
783.000000,4224.562
784.000000,4146.701
785.000000,3975.12
786.000000,3837.245
787.000000,4024.158
788.000000,3696.921
789.000000,4006.072
790.000000,3300.084
791.000000,3970.322
792.000000,3141.831
793.000000,3568.721
794.000000,3252.507
795.000000,3144.373
796.000000,3141.425
797.000000,3336.257
798.000000,3248.085
799.000000,3294.247
800.000000,3673.691
801.000000,3470.279
802.000000,4185.995
803.000000,3662.362
804.000000,3064.475
805.000000,3224.673
806.000000,3311.232
807.000000,3279.544
808.000000,3670.999
809.000000,4084.248
810.000000,4104.165
811.000000,2920.806
812.000000,4065.688
813.000000,3892.565
814.000000,3815.634
815.000000,3706.795
816.000000,4160.534
817.000000,3966.811
818.000000,4157.485
819.000000,3934.583
820.000000,3454.083
821.000000,4622.484
822.000000,5010.377
823.000000,4800.455
824.000000,4500.696
825.000000,5288.285
826.000000,5433.474
827.000000,6220.894
828.000000,6430.259
829.000000,6925.499
830.000000,7021.627
831.000000,7971.074
832.000000,7112.546
833.000000,8009.086
834.000000,8115.826
835.000000,6982.877
836.000000,7365.453
837.000000,7794.791
838.000000,8161.055
839.000000,7225.172
840.000000,6986.646
841.000000,5930.556
842.000000,6729.315
843.000000,6596.072
844.000000,7251.44
845.000000,6260.281
846.000000,6129.239
847.000000,6119.509
848.000000,6037.262
849.000000,6421.749
850.000000,6483.567
851.000000,6333.644
852.000000,6240.772
853.000000,6796.842
854.000000,6437.737
855.000000,6870.736
856.000000,6391.146
857.000000,6238.075
858.000000,6648.071
859.000000,6841.622
860.000000,7665.965
861.000000,7980.756
862.000000,9343.899
863.000000,10358.49
864.000000,10067.29
865.000000,9638.759
866.000000,9587.659
867.000000,9682.703
868.000000,9966.449
869.000000,8696.438
870.000000,9405.984
871.000000,9342.761
872.000000,8805.296
873.000000,8207.173
874.000000,8293.513
875.000000,9207.848
876.000000,8614.564
877.000000,8234.315
878.000000,8374.412
879.000000,8533.387
880.000000,8173.536
881.000000,7723.246
882.000000,7195.326
883.000000,7577.698
884.000000,7274.466
885.000000,5841.056
886.000000,7586.67
887.000000,6904.164
888.000000,7134.397
889.000000,7589.631
890.000000,6559.096
891.000000,7003.717
892.000000,6997.713
893.000000,7434.471
894.000000,6213.637
895.000000,7124.196
896.000000,7196.997
897.000000,7028.442
898.000000,6730.677
899.000000,6093.761
900.000000,6048.766
901.000000,6195.492
902.000000,6376.356
903.000000,6680.581
904.000000,6768.534
905.000000,8483.153
906.000000,7685.462
907.000000,7350.726
908.000000,7459.011
909.000000,7703.681
910.000000,7489.873
911.000000,7500.531
912.000000,8573.279
913.000000,7875.125
914.000000,8350.634
915.000000,8093.432
916.000000,7889.219
917.000000,7969.696
918.000000,7627.678
919.000000,8042.678
920.000000,7348.671
921.000000,7546.718
922.000000,6421.61
923.000000,6204.146
924.000000,5959.819
925.000000,5859.271
926.000000,6074.688
927.000000,6170.43
928.000000,6177.296
929.000000,5845.595
930.000000,5614.169
931.000000,5456.458
932.000000,5564.478
933.000000,5558.109
934.000000,5251.467
935.000000,5929.36
936.000000,4969.708
937.000000,4457.316
938.000000,4848.457
939.000000,5596.054
940.000000,4734.394
941.000000,4398.102
942.000000,4872.228
943.000000,5044.525
944.000000,5448.245
945.000000,5277.964
946.000000,4952.627
947.000000,4995.504
948.000000,5120.637
949.000000,4533.813
950.000000,5005.361
951.000000,4876.596
952.000000,4680.479
953.000000,4727.458
954.000000,4354.881
955.000000,3488.596
956.000000,4386.841
957.000000,4913.018
958.000000,5079.176
959.000000,4233.081
960.000000,4811.289
961.000000,4319.13
962.000000,3961.532
963.000000,4293.535
964.000000,4372.857
965.000000,4213.848
966.000000,4296.978
967.000000,3827.335
968.000000,3639.311
969.000000,3065.394
970.000000,3625.831
971.000000,3296.341
972.000000,3485.261
973.000000,3618.976
974.000000,3757.081
975.000000,3697.957
976.000000,2998.54
977.000000,2671.217
978.000000,2847.159
