$ LOWER GRANITE-POOLELEV.npt based on $//LOWER GRANITE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41328,225.544
41329,225.61
41330,225.695
41331,225.663
41332,225.65
41333,225.629
41334,225.438
41335,225.62
41336,225.649
41337,225.699
41338,225.745
41339,225.686
41340,225.66
41341,225.51
41342,225.538
41343,225.572
41344,225.503
41345,225.619
41346,225.628
41347,225.586
41348,225.628
41349,225.592
41350,225.506
41351,225.573
41352,225.686
41353,225.461
41354,225.561
41355,225.409
41356,225.326
41357,225.372
41358,225.305
41359,225.476
41360,225.436
41361,225.378
41362,225.311
41363,225.345
41364,225.485
41365,225.43
41366,225.412
41367,225.473
41368,225.235
41369,225.034
41370,225.016
41371,225.119
41372,225.098
41373,225.016
41374,225.083
41375,225.086
41376,225.022
41377,225.046
41378,224.982
41379,225.022
41380,225.138
41381,224.994
41382,225.016
41383,225.055
41384,225.086
41385,225.238
41386,225.259
41387,225.256
41388,225.058
41389,225.037
41390,225.077
41391,225.223
41392,225.217
41393,225.156
41394,225.077
41395,225.037
41396,225.009
41397,225.061
41398,225.083
41399,225
41400,225.037
41401,225.049
41402,225.101
41403,225.058
41404,225.128
41405,224.936
41406,224.851
41407,224.888
41408,224.875
41409,224.86
41410,224.625
41411,224.589
41412,224.604
41413,224.836
41414,224.842
41415,224.86
41416,224.875
41417,224.909
41418,225.034
41419,225.028
41420,225.067
41421,224.982
41422,225.037
41423,225.07
41424,225.098
41425,225.077
41426,225.049
41427,225.031
41428,225.016
41429,225.08
41430,225.089
41431,225.077
41432,225.067
41433,225.098
41434,225.122
41435,225.092
41436,225.055
41437,225.022
41438,225.061
41439,225.077
41440,225.064
41441,225.055
41442,225
41443,225.156
41444,225.253
41445,225.15
41446,225.174
41447,225.223
41448,225.08
41449,225.07
41450,225.138
41451,225.165
41452,225.211
41453,225.208
41454,225.186
41455,225.217
41456,225.235
41457,225.214
41458,225.183
41459,225.235
41460,225.189
41461,225.171
41462,225.153
41463,225.189
41464,225.177
41465,225.183
41466,225.168
41467,225.174
41468,225.168
41469,225.174
41470,225.141
41471,225.171
41472,225.195
41473,225.198
41474,225.156
41475,225.141
41476,225.186
41477,225.119
41478,225.134
41479,225.208
41480,225.275
41481,225.229
41482,225.159
41483,225.159
41484,225.217
41485,225.165
41486,225.159
41487,225.278
41488,225.22
41489,225.229
41490,225.281
41491,225.253
41492,225.208
41493,225.223
41494,225.229
41495,225.205
41496,225.202
41497,225.15
41498,225.128
41499,225.186
41500,225.253
41501,225.275
41502,225.232
41503,225.22
41504,225.214
41505,225.159
41506,225.125
41507,225.144
41508,225.104
41509,225.107
41510,225.107
41511,225.141
41512,225.266
