FRICT,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,48.009,53.978,56.105,67.391,75.703,118.745,134.617,134.617,135.008,135.008,139.624,182.068,264.24,231.463,240.186,229.086,452.847,416.212,449.513,502.17,407.275,577.272,0,0,0,0,0,0,0,0,0,,33,8198985.692,86438050.62,70076.572,199.92,655.906,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34.565,39.227,33.663,44.395,59.927,104.353,121.875,121.875,123.757,123.757,129.783,168.894,248.697,217.848,227.063,217.509,439.204,409.966,449.513,496.374,387.881,563.819,0,0,0,0,0,0,0,0,0,,34,7668947.599,78239064.93,63429.537,198.92,652.625,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,21.122,24.476,11.221,21.398,44.151,89.961,109.133,109.133,112.507,112.507,119.943,155.719,233.153,204.232,213.94,205.932,439.204,409.966,449.513,496.374,368.487,563.819,0,0,0,0,0,0,0,0,0,,35,7181124.957,70570117.33,57212.21,197.92,649.344,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,29.952,79.767,101.747,101.747,106.881,106.881,116.22,150.464,229.699,201.206,211.974,205.152,439.204,409.966,449.513,496.374,368.487,563.819,0,0,0,0,0,0,0,0,0,,36,6909426.543,63388992.37,51390.369,196.92,646.063,0.95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,67.974,92.945,92.945,100.005,100.005,111.403,143.745,224.518,196.668,208.55,203.086,439.204,409.966,449.513,496.374,366.332,563.819,0,0,0,0,0,0,0,0,0,,37,6718430.968,56479565.83,45788.797,195.92,642.782,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,51.983,78.787,78.787,87.505,87.505,100.469,129.107,207.247,181.54,193.969,190.223,427.372,396.843,437.043,480.975,344.783,548.301,0,0,0,0,0,0,0,0,0,,38,6233292.858,49761134.86,40342.069,194.92,639.501,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35.991,64.63,64.63,75.004,75.004,89.536,114.468,189.977,166.411,179.388,177.36,412.214,383.72,424.574,465.577,323.234,532.782,0,0,0,0,0,0,0,0,0,,39,5771254.562,43527842,35288.648,193.92,636.22,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,47.949,47.949,59.378,59.378,74.672,94.838,164.071,143.719,156.567,156.272,377.203,352.067,391.499,427.67,286.601,491.4,0,0,0,0,0,0,0,0,0,,40,4993927.952,37756587.44,30609.809,192.92,632.94,0.95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34.499,34.499,47.502,47.502,64.285,80.932,147.664,129.347,142.716,144.051,362.803,339.601,379.653,413.041,266.129,476.657,0,0,0,0,0,0,0,0,0,,41,4594991.481,32762659.49,26561.16,191.92,629.659,0.95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,21.05,35.626,35.626,53.898,67.026,131.257,114.975,128.864,131.831,348.403,327.134,367.807,398.413,245.658,461.914,0,0,0,0,0,0,0,0,0,,42,4196055.009,28167668.01,22835.934,190.92,626.378,0.95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.511,53.119,114.849,100.603,115.012,119.611,334.002,314.667,355.961,383.784,225.186,447.171,0,0,0,0,0,0,0,0,0,,43,3707893.588,23971613,19434.132,189.92,623.097,0.95
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.381,37.149,93.261,81.693,95.836,101.739,302.781,286.295,326.003,349.727,193.941,409.669,0,0,0,0,0,0,0,0,0,,44,3204127.325,20263719.41,16428.089,188.92,619.816,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.54,23.974,77.718,68.077,82.713,90.162,289.139,274.485,314.781,335.868,174.546,395.702,0,0,0,0,0,0,0,0,0,,45,2895303.356,17059592.09,13830.457,187.92,616.535,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.174,54.462,69.591,78.585,275.496,262.674,303.558,322.01,155.152,381.735,0,0,0,0,0,0,0,0,0,,46,2513444.388,14164288.73,11483.193,186.92,613.255,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.631,40.846,58.672,67.008,261.854,250.864,292.336,308.151,135.758,367.768,0,0,0,0,0,0,0,0,0,,47,2285861.321,11650844.34,9445.507,185.92,609.974,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.087,27.231,58.672,55.431,248.212,239.053,281.113,294.293,116.364,353.801,0,0,0,0,0,0,0,0,0,,48,2089330.174,9364983.022,7592.327,184.92,606.693,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.223,43.854,234.569,227.242,269.89,280.434,96.97,339.835,0,0,0,0,0,0,0,0,0,,49,1724233.642,7275652.848,5898.477,183.92,603.412,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,32.277,230.316,226.246,262.47,266.576,77.576,331.038,0,0,0,0,0,0,0,0,0,,50,1616638.913,5551419.206,4500.615,182.92,600.131,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,230.316,226.246,262.47,265.398,64.647,331.038,0,0,0,0,0,0,0,0,0,,51,1544845.575,3934780.293,3189.983,181.92,596.85,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.158,213.123,262.47,265.398,43.098,331.038,0,0,0,0,0,0,0,0,0,,52,1436257.087,2389934.718,1937.554,180.92,593.57,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,175,175,40,220.863,0,0,0,0,0,0,0,0,0,,53,953677.631,953677.631,773.16,179.92,590.289,0.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54,0,0,0,178.92,587.008,0.7
