$ SNAKE+ASOTIN CKFLOW.npt based on $//SNAKE+ASOTIN CK/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
520.000000,1688.597
521.000000,1829.228
522.000000,1974.568
523.000000,2122.899
524.000000,2148.485
525.000000,2025.166
526.000000,1866.939
527.000000,1687.664
528.000000,1537.965
529.000000,1458.567
530.000000,1400.061
531.000000,1396.01
532.000000,1483.937
533.000000,1490.23
534.000000,1475.082
535.000000,1448.786
536.000000,1459.239
537.000000,1518.62
538.000000,1553.449
539.000000,1509.036
540.000000,1482.767
541.000000,1510.167
542.000000,1523.415
543.000000,1536.506
544.000000,1498.668
545.000000,1470.575
546.000000,1420.062
547.000000,1317.824
548.000000,1234.893
549.000000,1163.718
550.000000,1147.258
551.000000,1160.918
552.000000,1121.766
553.000000,1031.151
554.000000,987.544
555.000000,1003.307
556.000000,981.433
557.000000,914.791
558.000000,902.082
559.000000,939.768
560.000000,938.73
561.000000,877.752
562.000000,805.596
563.000000,762.909
564.000000,756.413
565.000000,773.388
566.000000,801.917
567.000000,819.659
568.000000,819.688
569.000000,769.356
570.000000,712.274
571.000000,657.557
572.000000,642.648
573.000000,656.993
574.000000,663.947
575.000000,690.926
576.000000,683.415
577.000000,641.158
578.000000,627.125
579.000000,652.544
580.000000,649.926
581.000000,610.419
582.000000,557.066
583.000000,507.76
584.000000,480.51
585.000000,500.92
586.000000,509.195
587.000000,471.004
588.000000,446.791
589.000000,434.901
590.000000,428.039
591.000000,420.705
592.000000,419.112
593.000000,417.791
594.000000,416.281
595.000000,412.368
596.000000,406.541
597.000000,402.375
598.000000,405.756
599.000000,406.845
600.000000,417.444
601.000000,424.285
602.000000,408.012
603.000000,412.929
604.000000,415.108
605.000000,405.484
606.000000,399.368
607.000000,413.417
608.000000,441.848
609.000000,432.074
610.000000,402.723
611.000000,401.893
612.000000,403.592
613.000000,403.413
614.000000,410.063
615.000000,425.221
616.000000,520.694
617.000000,579.941
618.000000,529.979
619.000000,499.403
620.000000,486.643
621.000000,484.891
622.000000,468.876
623.000000,504.373
624.000000,523.23
625.000000,494.518
626.000000,519.375
627.000000,542.46
628.000000,550.115
629.000000,545.797
630.000000,492.616
631.000000,473.866
632.000000,473.602
633.000000,464.199
634.000000,463.37
635.000000,457.309
636.000000,457.395
637.000000,459.879
638.000000,463.023
639.000000,478.78
640.000000,468.821
641.000000,436.459
642.000000,447.855
643.000000,462.717
644.000000,453.792
645.000000,451.102
646.000000,469.351
647.000000,469.162
648.000000,456.199
649.000000,428.046
650.000000,400.991
651.000000,403.362
652.000000,404.906
653.000000,406.221
654.000000,406.447
655.000000,407.536
656.000000,413.13
657.000000,421.392
658.000000,432.699
659.000000,437.521
660.000000,434.791
661.000000,433.268
662.000000,435.861
663.000000,437.562
664.000000,436.1
