$ QGT_LWG_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LWG_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LOWER GRANITE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41932, 41941, 41958, 42194, 42296 that are  3, 4, 2, 3, 21 days long
"JDAY","POW","SPB1.RSW","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
188.000000,2703.822,198.515,47.037,258.157,62.19,255.563,51.743,239.559,54.094,16.846
189.000000,2721.818,207.292,52.145,264.008,64.129,207.898,53.887,142.985,55.148,11.284
190.000000,2686.712,210.214,32.041,244.419,38.716,120.183,51.157,106.44,52.678,13.824
191.000000,2478.496,211.01,20.141,232.044,33.055,92.774,52.669,126.899,50.173,13.626
192.000000,2340.4,211.488,6.644,221.731,9.404,32.803,52.103,76.776,51.275,16.751
193.000000,2252.296,204.662,0,207.159,0,0,49.815,46.903,48.802,11.147
194.000000,2146.96,195.012,0,197.474,0,0,47.145,45.697,46.965,14.434
195.000000,1990.384,192.127,0,194.605,0,0,46.486,45.345,47.647,16.852
196.000000,1992.083,191.998,0,193.887,0,0,46.735,44.689,44.854,12.229
197.000000,1952.173,199.674,2.824,203.723,6.307,15.611,48.591,61.9,43.341,12.711
198.000000,1895.59,198.758,0,200.08,0,0,48.433,49.29,44.964,10.699
199.000000,1823.25,199.47,0,202.118,0,0,48.437,48.356,44.793,12.943
200.000000,1766.503,196.913,0,198.264,0,0,47.703,49.244,42.374,14.585
201.000000,1671.707,214.326,0,217.18,0,0,52.009,52.755,46.772,16.082
202.000000,1643.925,197.423,0,200.908,0,0,48.009,48.072,42.653,10.943
203.000000,1494.413,193.771,0,196.807,0,16.046,47.148,44.623,25.359,12.291
204.000000,1474.315,194.809,0,199.933,0,0,47.24,42.871,42.529,12.612
205.000000,1453.53,197.189,0,199.254,0,0,47.839,44.746,43.107,18.411
206.000000,1351.095,213.444,0,216.789,0,0,51.635,50.728,52.918,17.715
207.000000,1253.24,200.831,0,205.674,0,0,48.713,48.335,51.59,17.144
208.000000,1128.323,217.506,0,221.577,0,0,52.802,51.617,53.654,23.28
209.000000,1078.375,188.791,0,193.579,0,0,45.826,44.833,40.793,11.843
210.000000,1060.211,200.199,0,201.485,0,0,48.675,47.491,51.819,16.992
211.000000,958.651,207.557,0,208.327,0,0,50.469,48.69,51.703,15.797
212.000000,985.922,191.42,0,194.332,0,0,46.554,45.195,44.736,16.793
213.000000,308.087,213.124,42.887,254.447,108.564,201.656,62.596,174.613,55.314,20.353
214.000000,136.344,186.244,50.039,244.231,174.781,242.3,78.277,233.854,49.106,8.176
215.000000,135.034,184.943,49.711,242.129,207.218,241.037,69.266,238.104,47.977,10.011
216.000000,147.354,201.214,54.05,262.627,174.475,262.263,52.439,245.298,53.714,13.012
