$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31
"JDAY","ELEV"
"41420.00",291.724
"41421.00",291.694
"41422.00",291.633
"41423.00",291.633
"41424.00",291.45
"41425.00",291.663
"41426.00",291.694
"41427.00",291.328
"41428.00",292.059
"41429.00",291.541
"41430.00",291.907
"41431.00",291.663
"41432.00",291.511
"41433.00",291.633
"41434.00",291.785
"41435.00",291.541
"41436.00",291.572
"41437.00",291.755
"41438.00",291.846
"41439.00",291.602
"41440.00",291.389
"41441.00",291.511
"41442.00",291.572
"41443.00",291.694
"41444.00",291.755
"41445.00",291.633
"41446.00",291.877
"41447.00",291.572
"41448.00",291.816
"41449.00",291.816
"41450.00",291.937
"41451.00",291.877
"41452.00",291.755
"41453.00",291.541
"41454.00",291.694
"41455.00",291.541
"41456.00",291.846
"41457.00",291.846
"41458.00",291.846
"41459.00",291.998
"41460.00",292.12
"41461.00",292.12
"41462.00",292.12
"41463.00",291.937
"41464.00",291.785
"41465.00",291.816
"41466.00",291.633
"41467.00",291.968
"41468.00",292.029
"41469.00",291.755
"41470.00",291.663
"41471.00",291.633
"41472.00",291.511
"41473.00",291.877
"41474.00",291.846
"41475.00",291.877
"41476.00",291.724
"41477.00",291.968
"41478.00",291.846
"41479.00",291.937
"41480.00",291.724
"41481.00",291.937
"41482.00",291.541
"41483.00",291.724
"41484.00",291.785
"41485.00",291.816
"41486.00",292.12
"41487.00",291.907
"41488.00",291.785
"41489.00",291.968
"41490.00",291.785
"41491.00",291.785
"41492.00",291.755
"41493.00",291.968
"41494.00",292.059
"41495.00",291.907
"41496.00",291.907
"41497.00",291.968
"41498.00",291.724
"41499.00",291.937
"41500.00",291.937
"41501.00",291.968
"41502.00",291.907
"41503.00",291.877
"41504.00",291.877
"41505.00",291.907
"41506.00",291.816
"41507.00",291.816
"41508.00",291.907
"41509.00",291.785
"41510.00",291.694
"41511.00",292.12
"41512.00",292.029
"41513.00",291.755
"41514.00",292.029
"41515.00",291.968
"41516.00",291.907
"41517.00",291.755
"41518.00",291.633
"41519.00",291.602
"41520.00",291.785
"41521.00",291.755
"41522.00",291.389
"41523.00",291.602
"41524.00",291.877
"41525.00",292.09
"41526.00",291.998
"41527.00",291.877
"41528.00",291.572
"41529.00",291.328
"41530.00",291.48
"41531.00",291.419
"41532.00",291.816
"41533.00",291.572
"41534.00",291.633
"41535.00",291.541
"41536.00",291.541
"41537.00",291.541
"41538.00",291.877
"41539.00",291.998
"41540.00",292.029
"41541.00",292.029
"41542.00",292.181
"41543.00",292.059
"41544.00",291.937
"41545.00",291.694
"41546.00",291.755
"41547.00",291.846
"41548.00",291.785
"41549.00",291.694
"41550.00",291.694
"41551.00",291.816
"41552.00",291.755
"41553.00",291.633
"41554.00",291.785
"41555.00",291.541
"41556.00",291.937
"41557.00",291.907
"41558.00",291.816
"41559.00",291.846
"41560.00",291.602
"41561.00",291.755
"41562.00",291.755
"41563.00",291.846
"41564.00",291.785
"41565.00",291.663
"41566.00",291.602
"41567.00",291.816
"41568.00",291.602
"41569.00",291.755
"41570.00",291.816
"41571.00",291.907
"41572.00",291.877
"41573.00",291.907
"41574.00",291.846
"41575.00",291.785
"41576.00",291.633
"41577.00",291.846
"41578.00",291.724
"41579.00",291.998
"41580.00",292.151
"41581.00",292.334
"41582.00",291.937
"41583.00",291.382
"41584.00",291.738
"41585.00",291.725
"41586.00",292.075
"41587.00",292.002
"41588.00",291.736
"41589.00",291.783
"41590.00",291.668
"41591.00",291.838
"41592.00",292.051
"41593.00",292.03
"41594.00",291.766
"41595.00",291.842
"41596.00",292.051
"41597.00",292.089
"41598.00",292.002
"41599.00",292.115
"41600.00",291.887
"41601.00",291.935
"41602.00",292.054
"41603.00",291.797
"41604.00",292.019
"41605.00",292.117
"41606.00",291.945
"41607.00",291.762
"41608.00",291.901
"41609.00",292.053
"41610.00",292.001
"41611.00",291.94
"41612.00",291.821
"41613.00",292.02
"41614.00",292.029
"41615.00",291.708
"41616.00",292.132
"41617.00",291.625
"41618.00",291.661
"41619.00",292.131
"41620.00",292.122
"41621.00",292.296
"41622.00",292.07
"41623.00",292.059
"41624.00",291.943
"41625.00",291.791
"41626.00",291.814
"41627.00",291.874
"41628.00",291.73
"41629.00",291.987
"41630.00",291.823
"41631.00",291.962
"41632.00",291.88
"41633.00",291.672
"41634.00",291.955
"41635.00",291.91
"41636.00",292.053
"41637.00",292.059
"41638.00",292.147
"41639.00",292.034
"41640.00",292.058
"41641.00",292.059
"41642.00",291.884
"41643.00",291.993
"41644.00",291.706
"41645.00",291.898
"41646.00",291.878
"41647.00",291.847
"41648.00",291.934
"41649.00",291.879
"41650.00",291.789
"41651.00",291.756
"41652.00",291.93
"41653.00",291.908
"41654.00",292.082
"41655.00",292.178
"41656.00",291.889
"41657.00",291.877
"41658.00",291.906
"41659.00",291.819
"41660.00",292.02
"41661.00",291.824
"41662.00",291.845
"41663.00",291.992
"41664.00",291.911
"41665.00",292.024
"41666.00",291.912
"41667.00",291.936
"41668.00",291.762
"41669.00",291.959
"41670.00",291.88
"41671.00",291.789
"41672.00",291.697
"41673.00",291.577
"41674.00",291.572
"41675.00",291.689
"41676.00",291.781
"41677.00",291.464
"41678.00",291.771
"41679.00",291.902
"41680.00",291.703
"41681.00",291.811
"41682.00",291.874
"41683.00",291.877
"41684.00",291.877
"41685.00",291.935
"41686.00",291.733
"41687.00",292.045
"41688.00",291.943
"41689.00",291.908
"41690.00",291.79
"41691.00",291.785
"41692.00",291.668
"41693.00",291.546
"41694.00",291.892
"41695.00",292.228
"41696.00",292.213
"41697.00",292.066
"41698.00",291.826
"41699.00",291.874
"41700.00",291.818
"41701.00",291.903
"41702.00",291.849
"41703.00",292.051
"41704.00",292.03
"41705.00",291.708
"41706.00",291.752
"41707.00",291.755
"41708.00",291.784
"41709.00",291.633
"41710.00",291.846
"41711.00",291.785
"41712.00",291.724
"41713.00",291.937
"41714.00",291.419
"41715.00",291.907
"41716.00",291.846
"41717.00",291.755
"41718.00",291.785
"41719.00",291.816
"41720.00",291.785
"41721.00",291.724
"41722.00",291.694
"41723.00",291.907
"41724.00",292.12
"41725.00",291.724
"41726.00",291.419
"41727.00",292.029
"41728.00",292.09
"41729.00",291.694
"41730.00",291.755
