$ QGT_CHJ_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_CHJ_2011_2015_daily_ave.csv ; all outlets scaled to total flow from CHIEF JOSEPH_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 41604 that are  2 days long
"JDAY","POW","SPB","MISC"
653.000000,1741.316,0,0
654.000000,1641.468,0,0
655.000000,1951.44,0,0
656.000000,1324.047,0,0
657.000000,1703.676,0,0
658.000000,1566.08,0,0
659.000000,1637.949,0,0
660.000000,1821.855,0,0
661.000000,2125.529,0,0
662.000000,2032.295,0,0
663.000000,2081.046,0,0
664.000000,2821.104,0,0
665.000000,2593.517,0,0
666.000000,2768.882,0,0
667.000000,2194.532,0,0
668.000000,1449.435,0,0
669.000000,1949.953,0,0
670.000000,1981.038,0,0
671.000000,2292.342,0,0
672.000000,2301.87,0,0
673.000000,2392.799,0,0
674.000000,1855.124,0,0
675.000000,2044.926,0,0
676.000000,1862.282,0,0
677.000000,2277.237,0,0
678.000000,2269.4,0,0
679.000000,2312.895,0,0
680.000000,2453.602,0,0
681.000000,2457.34,0,0
682.000000,2600.887,0,0
683.000000,2389.4,0,0
684.000000,2526.384,0,0
685.000000,2572.14,0,0
686.000000,2776.46,0,0
687.000000,2909.308,0,0
688.000000,2791.325,0,0
689.000000,2736.952,0,0
690.000000,2922.77,0,0
691.000000,2024.343,0,0
692.000000,2142.286,0,0
693.000000,2089.955,0,0
694.000000,2076.182,0,0
695.000000,2238.662,0,0
696.000000,1946.384,0,0
697.000000,2865.557,0,0
698.000000,2445.086,0,0
699.000000,2844.675,0,0
700.000000,3123.807,0,0
701.000000,3425.208,0,0
702.000000,3106.918,0,0
703.000000,3248.492,0,0
704.000000,3250.585,0,0
705.000000,2673.691,0,0
706.000000,3427.742,0,0
707.000000,3174.359,0,0
708.000000,3875.567,0,0
709.000000,3564.561,0,0
710.000000,3478.91,0,0
711.000000,3716.604,0,0
712.000000,3863.057,0,0
713.000000,3829.4,0,0
714.000000,4012.325,0,0
715.000000,3887.748,0,0
716.000000,4280.513,0,0
717.000000,3940.35,0,0
718.000000,4154.62,0,0
719.000000,3961.95,0,0
720.000000,3978.058,0,0
721.000000,3702.819,0,0
722.000000,3325.549,0,0
723.000000,3182.995,0,0
724.000000,3124.62,0,0
725.000000,2969.153,0,0
726.000000,3304.907,0,0
727.000000,3077.876,0,0
728.000000,3020.883,0,0
729.000000,4094.142,0,0
730.000000,3858.213,0,0
731.000000,3986.283,0,0
732.000000,4323.632,0,0
733.000000,3461.357,0,0
734.000000,4082.316,0,0
735.000000,3488.867,0,0
736.000000,4268.634,0,0
737.000000,4145.179,0,0
738.000000,4317.691,0,0
739.000000,4088.315,0,0
740.000000,4078.27,0,0
741.000000,3169.429,0,0
742.000000,3788.07,0,0
743.000000,3748.978,0,0
744.000000,4109.533,0,0
745.000000,3537.318,0,0
746.000000,3831.706,0,0
747.000000,3989.452,0,0
748.000000,4255.579,0,0
749.000000,4166.481,0,0
750.000000,4205.757,0,0
751.000000,4177.979,0,0
752.000000,3707.321,0,0
753.000000,4140.658,0,0
754.000000,4078.394,0,0
755.000000,4418.792,0,0
756.000000,4088.001,0,0
757.000000,3914.56,0,0
758.000000,3658.372,0,0
759.000000,3151.323,0,0
760.000000,3653.026,0,0
761.000000,2827.103,0,0
762.000000,3195.335,0,0
763.000000,2826.501,0,0
764.000000,2575.396,0,0
765.000000,2455.39,0,0
766.000000,2242.851,0,0
767.000000,2727.708,0,0
768.000000,2463.015,0,0
769.000000,2741.007,0,0
770.000000,3022.043,0,0
771.000000,3468.277,0,0
772.000000,2541.168,0,0
773.000000,1920.38,0,0
774.000000,2398.315,0,0
775.000000,2400.406,0,0
776.000000,2648.973,0,0
777.000000,3020.982,0,0
778.000000,2868.69,0,0
779.000000,2709.362,0,0
780.000000,2137.346,0,0
781.000000,2961.354,0,0
782.000000,2777.202,0,0
783.000000,3144.59,0,0
784.000000,2778.36,0,0
785.000000,2646.356,0,0
786.000000,2084.115,0,0
787.000000,1886.33,0,0
788.000000,2314.391,0,0
789.000000,2146.369,0,0
790.000000,2571.591,0,0
791.000000,2655.915,0,0
792.000000,2120.754,0,0
793.000000,1132.859,0,0
794.000000,983.532,0,0
795.000000,1944.787,0,0
796.000000,1924.535,0,0
797.000000,2056.951,0,0
798.000000,2429.643,0,0
799.000000,2273.683,0,0
800.000000,1841.197,0,0
801.000000,1871.617,0,0
802.000000,2107.094,0,0
803.000000,1637.448,0,0
804.000000,2401.117,0,0
805.000000,2142.092,0,0
806.000000,2243.214,0,0
807.000000,1828.859,0,0
808.000000,1788.534,0,0
809.000000,2066.793,0,0
810.000000,1965.854,0,0
811.000000,1638.311,0,0
812.000000,2198.19,0,0
813.000000,1709.003,0,0
814.000000,1705.527,0,0
815.000000,1656.973,0,0
816.000000,2111.483,0,0
817.000000,2264.302,0,0
818.000000,2710.461,0,0
819.000000,3028.161,0,0
820.000000,2852.765,0,0
821.000000,2260.705,0,0
822.000000,2302.689,0,0
823.000000,2373.993,0,0
824.000000,1993.339,0,0
825.000000,3369.053,0,0
826.000000,3494.839,0,0
827.000000,3742.412,0,0
828.000000,3447.049,0,0
829.000000,3598.135,0,0
830.000000,3666.941,264.591,0
831.000000,3371.72,325.765,0
832.000000,4039.615,388.578,0
833.000000,3962.033,672.391,0
834.000000,4313.141,243.736,0
835.000000,4845.188,145.672,0
836.000000,4275.184,365.525,0
837.000000,4169.321,584.406,0
838.000000,4178.933,490.519,0
839.000000,4496.964,459.84,0
840.000000,4240.729,226.319,0
841.000000,4276.256,0,0
842.000000,4204.618,0,0
843.000000,3926.991,0,0
844.000000,3824.635,0,0
845.000000,4340.998,0,0
846.000000,4334.229,0,0
847.000000,4465.447,0,0
848.000000,4071.763,0,0
849.000000,3757.575,0,0
850.000000,3856.618,0,0
851.000000,3477.267,0,0
852.000000,3937.798,0,0
853.000000,3987.817,0,0
854.000000,4255.126,0,0
855.000000,3933.153,0,0
856.000000,3454.852,0,0
857.000000,3941.77,0,0
858.000000,3533.36,0,0
859.000000,4283.568,0,0
860.000000,4611.412,0,0
861.000000,4409.574,492.023,0
862.000000,4291.472,720.613,0
863.000000,4151.264,745.008,0
864.000000,3954.739,795.726,0
865.000000,3449.655,707.533,0
866.000000,3595.553,616.29,0
867.000000,3530.382,642.159,0
868.000000,3554.948,596.206,0
869.000000,3967.924,605.037,0
870.000000,3864.572,608.998,0
871.000000,4345.99,592.12,0
872.000000,4109.984,596.738,0
873.000000,4603.605,642.643,0
874.000000,4648.647,612.413,0
875.000000,4934.547,711.19,0
876.000000,4576.599,586.024,0
877.000000,4385.323,566.368,0
878.000000,4435.406,576.024,0
879.000000,4756.67,592.817,0
880.000000,4589.972,354.383,0
881.000000,4750.371,0,0
