$Grand Coulee Dam Outflow Temperature,
 ,
JDAY,TWO
26.916670,3.95
26.958340,3.95
27.000000,3.95
27.041670,3.96
27.083340,3.97
27.125000,3.98
27.166670,3.99
27.208340,4
27.250000,4
27.291670,3.98
27.333340,3.97
27.375000,3.96
27.416670,3.96
27.458340,3.97
27.500000,3.97
27.541670,3.97
27.583340,3.97
27.625000,3.96
27.666670,3.95
27.708340,3.93
27.750000,3.9
27.791670,3.86
27.833340,3.82
27.875000,3.77
27.916670,3.74
27.958340,3.72
28.000000,3.7
28.041670,3.69
28.083340,3.68
28.125000,3.66
28.166670,3.63
28.208340,3.62
28.250000,3.6
28.291670,3.58
28.333340,3.55
28.375000,3.52
28.416670,3.49
28.458340,3.48
28.500000,3.46
28.541670,3.45
28.583340,3.42
28.625000,3.4
28.666670,3.37
28.708340,3.35
28.750000,3.32
28.791670,3.31
28.833340,3.32
28.875000,3.31
28.916670,3.31
28.958340,3.3
29.000000,3.3
29.041670,3.28
29.083340,3.29
29.125000,3.24
29.166670,3.22
29.208340,3.2
29.250000,3.18
29.291670,3.12
29.333340,3.1
29.375000,3.09
29.416670,3.09
29.458340,3.08
29.500000,3.07
29.541670,3.06
29.583340,3.05
29.625000,3.03
29.666670,3
29.708340,2.97
29.750000,2.97
29.791670,2.97
29.833340,3
29.875000,3
29.916670,3.02
29.958340,3.04
30.000000,3.08
30.041670,3.14
30.083340,3.12
30.125000,3.13
30.166670,3.14
30.208340,3.16
30.250000,3.14
30.291670,3.11
30.333340,3.13
30.375000,3.14
30.416670,3.16
30.458340,3.21
30.500000,3.25
30.541670,3.28
30.583340,3.29
30.625000,3.3
30.666670,3.29
30.708340,3.25
30.750000,3.25
30.791670,3.27
30.833340,3.28
30.875000,3.32
30.916670,3.34
30.958340,3.35
31.000000,3.36
31.041670,3.33
31.083340,3.31
31.125000,3.3
31.166670,3.24
31.208340,3.23
31.250000,3.18
31.291670,3.13
31.333340,3.1
31.375000,3.07
31.416670,3.04
31.458340,3
31.500000,2.97
31.541670,2.96
31.583340,2.94
31.625000,2.94
31.666670,2.95
31.708340,2.95
31.750000,2.96
31.791670,2.98
31.833340,3
31.875000,3.05
31.916670,3.12
31.958340,3.14
32.000000,3.17
32.041670,3.16
32.083340,3.13
32.125000,3.12
32.166670,3.1
32.208340,3.09
32.250000,3.11
32.291670,3.14
32.333340,3.16
32.375000,3.18
32.416670,3.18
32.458340,3.19
32.500000,3.2
32.541670,3.2
32.583340,3.2
32.625000,3.18
32.666670,3.16
32.708340,3.13
32.750000,3.1
32.791670,3.11
32.833340,3.11
32.875000,3.12
32.916670,3.1
32.958340,3.11
33.000000,3.08
33.041670,3.05
33.083340,3
33.125000,2.99
33.166670,2.95
33.208340,2.91
33.250000,2.83
33.291670,2.82
33.333340,2.81
33.375000,2.78
33.416670,2.78
33.458340,2.78
33.500000,2.76
33.541670,2.77
33.583340,2.74
33.625000,2.78
33.666670,2.71
33.708340,2.66
33.750000,2.64
33.791670,2.61
33.833340,2.64
33.875000,2.68
33.916670,2.73
33.958340,2.76
34.000000,2.79
34.041670,2.8
34.083340,2.78
34.125000,2.72
34.166670,2.67
34.208340,2.64
34.250000,2.61
34.291670,2.61
34.333340,2.61
34.375000,2.6
34.416670,2.62
34.458340,2.63
34.500000,2.61
34.541670,2.56
34.583340,2.51
34.625000,2.48
34.666670,2.45
34.708340,2.41
34.750000,2.37
34.791670,2.36
34.833340,2.42
34.875000,2.53
34.916670,2.62
34.958340,2.68
35.000000,2.74
35.041670,2.57
35.083340,2.6
35.125000,2.68
35.166670,2.65
35.208340,2.53
35.250000,2.41
35.291670,2.31
35.333340,2.32
35.375000,2.34
35.416670,2.37
35.458340,2.41
35.500000,2.37
35.541670,2.37
35.583340,2.34
35.625000,2.3
35.666670,2.38
35.708340,2.2
35.750000,2.18
35.791670,2.32
35.833340,2.55
35.875000,2.66
35.916670,3.12
35.958340,3.27
36.000000,3.25
36.041670,3.21
36.083340,3.2
36.125000,3.09
36.166670,3.08
36.208340,3.07
36.250000,2.71
36.291670,2.55
36.333340,2.41
36.375000,2.43
36.416670,2.45
36.458340,2.46
36.500000,2.47
36.541670,2.54
36.583340,2.57
36.625000,2.55
36.666670,2.51
36.708340,2.43
36.750000,2.38
36.791670,2.4
36.833340,2.47
36.875000,2.48
36.916670,2.54
36.958340,2.52
37.000000,2.54
37.041670,2.52
37.083340,2.52
37.125000,2.59
37.166670,2.54
37.208340,2.49
37.250000,2.5
37.291670,2.47
37.333340,2.42
37.375000,2.41
37.416670,2.44
37.458340,2.49
37.500000,2.55
37.541670,2.58
37.583340,2.52
37.625000,2.51
37.666670,2.43
37.708340,2.35
37.750000,2.33
37.791670,2.32
37.833340,2.36
37.875000,2.37
37.916670,2.42
37.958340,2.46
38.000000,2.85
38.041670,2.85
38.083340,2.87
38.125000,2.93
38.166670,2.71
38.208340,2.34
38.250000,2.17
38.291670,2.07
38.333340,2.13
38.375000,2.16
38.416670,2.25
38.458340,2.31
38.500000,2.35
38.541670,2.46
38.583340,2.42
38.625000,2.49
38.666670,2.35
38.708340,2.26
38.750000,2.31
38.791670,2.37
38.833340,2.46
38.875000,2.52
38.916670,2.61
38.958340,2.64
39.000000,2.7
39.041670,2.58
39.083340,2.58
39.125000,2.54
39.166670,2.5
39.208340,2.45
39.250000,2.44
39.291670,2.46
39.333340,2.49
39.375000,2.51
39.416670,2.52
39.458340,2.54
39.500000,2.55
39.541670,2.55
39.583340,2.53
39.625000,2.54
39.666670,2.53
39.708340,2.5
39.750000,2.51
39.791670,2.53
39.833340,2.54
39.875000,2.54
39.916670,2.54
39.958340,2.55
40.000000,2.54
40.041670,2.52
40.083340,2.5
40.125000,2.51
40.166670,2.49
