$ CHIEF JOSEPH-POOLELEV.npt based on $//CHIEF JOSEPH-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41198,291.907
41199,291.755
41200,291.694
41201,291.785
41202,291.846
41203,291.755
41204,291.724
41205,291.663
41206,291.602
41207,291.846
41208,291.633
41209,291.48
41210,292.029
41211,291.846
41212,291.602
41213,291.694
41214,291.663
41215,291.633
41216,291.663
41217,291.694
41218,291.694
41219,291.694
41220,291.723
41221,291.753
41222,291.696
41223,291.664
41224,291.751
41225,291.784
41226,291.727
41227,291.695
41228,291.664
41229,291.605
41230,291.719
41231,292.045
41232,291.826
41233,292.049
41234,291.943
41235,291.821
41236,291.991
41237,291.969
41238,291.822
41239,291.932
41240,292.054
41241,291.913
41242,291.819
41243,291.611
41244,291.69
41245,291.723
41246,291.695
41247,291.343
41248,291.795
41249,291.757
41250,291.579
41251,291.718
41252,291.49
41253,291.509
41254,291.803
41255,291.728
41256,291.607
41257,291.369
41258,291.417
41259,291.595
41260,291.456
41261,291.654
41262,291.78
41263,291.639
41264,291.574
41265,291.484
41266,291.597
41267,291.924
41268,291.791
41269,291.756
41270,291.696
41271,291.402
41272,291.652
41273,291.692
41274,291.256
41275,291.587
41276,291.281
41277,291.267
41278,291.325
41279,291.708
41280,291.899
41281,291.381
41282,291.592
41283,291.777
41284,291.814
41285,291.786
41286,291.785
41287,291.61
41288,291.777
41289,291.814
41290,291.728
41291,291.636
41292,291.691
41293,291.577
41294,291.484
41295,291.626
41296,291.808
41297,291.874
41298,291.789
41299,291.785
41300,291.902
41301,291.79
41302,291.639
41303,291.691
41304,291.635
41305,291.662
41306,291.576
41307,291.601
41308,291.631
41309,291.954
41310,291.501
41311,291.568
41312,291.747
41313,291.755
41314,291.638
41315,291.457
41316,291.216
41317,291.878
41318,291.907
41319,291.878
41320,291.847
41321,291.788
41322,291.697
41323,291.606
41324,291.894
41325,291.673
41326,291.955
41327,291.676
41328,291.751
41329,291.521
41330,291.598
41331,291.661
41332,291.692
41333,291.664
41334,291.634
41335,291.662
41336,291.692
41337,291.752
41338,291.813
41339,291.874
41340,291.877
41341,291.76
41342,291.755
41343,291.755
41344,291.959
41345,291.998
41346,291.877
41347,291.785
41348,291.877
41349,291.846
41350,292.151
41351,291.937
41352,291.846
41353,291.724
41354,291.755
41355,291.968
41356,291.968
41357,291.998
41358,292.151
41359,292.029
41360,292.09
41361,291.816
41362,291.785
41363,291.785
41364,291.541
41365,291.907
41366,291.907
41367,291.572
41368,291.755
41369,291.968
41370,292.212
41371,292.151
41372,292.212
41373,292.364
41374,291.816
41375,291.694
41376,291.785
41377,291.968
41378,292.029
41379,291.755
41380,291.755
41381,291.998
41382,292.151
41383,292.059
41384,292.12
41385,292.029
41386,291.968
41387,292.059
41388,292.212
41389,291.998
41390,291.907
41391,291.968
41392,291.907
41393,292.029
41394,291.846
41395,292.212
41396,292.09
41397,291.816
41398,291.694
41399,291.968
41400,291.937
41401,291.389
41402,291.907
41403,291.724
41404,291.572
41405,291.816
41406,292.151
41407,292.181
41408,292.09
41409,291.877
41410,292.029
41411,291.907
41412,292.181
41413,292.334
41414,292.12
41415,291.998
41416,292.273
41417,292.212
41418,292.242
41419,291.755
41420,291.724
41421,291.694
41422,291.633
41423,291.633
41424,291.45
41425,291.663
41426,291.694
41427,291.328
41428,292.059
41429,291.541
41430,291.907
41431,291.663
41432,291.511
41433,291.633
41434,291.785
41435,291.541
41436,291.572
41437,291.755
41438,291.846
41439,291.602
41440,291.389
41441,291.511
41442,291.572
41443,291.694
41444,291.755
41445,291.633
41446,291.877
41447,291.572
41448,291.816
41449,291.816
41450,291.937
41451,291.877
41452,291.755
41453,291.541
41454,291.694
41455,291.541
41456,291.846
41457,291.846
41458,291.846
41459,291.998
41460,292.12
41461,292.12
41462,292.12
41463,291.937
41464,291.785
41465,291.816
41466,291.633
41467,291.968
41468,292.029
41469,291.755
41470,291.663
41471,291.633
41472,291.511
41473,291.877
41474,291.846
41475,291.877
41476,291.724
41477,291.968
41478,291.846
41479,291.937
41480,291.724
41481,291.937
41482,291.541
41483,291.724
41484,291.785
41485,291.816
41486,292.12
41487,291.907
41488,291.785
41489,291.968
41490,291.785
41491,291.785
41492,291.755
41493,291.968
41494,292.059
41495,291.907
41496,291.907
41497,291.968
41498,291.724
41499,291.937
41500,291.937
41501,291.968
41502,291.907
41503,291.877
41504,291.877
41505,291.907
41506,291.816
41507,291.816
41508,291.907
41509,291.785
41510,291.694
41511,292.12
41512,292.029
41513,291.755
41514,292.029
41515,291.968
41516,291.907
41517,291.755
41518,291.633
41519,291.602
41520,291.785
41521,291.755
41522,291.389
41523,291.602
41524,291.877
41525,292.09
41526,291.998
41527,291.877
41528,291.572
41529,291.328
41530,291.48
41531,291.419
41532,291.816
41533,291.572
41534,291.633
41535,291.541
41536,291.541
41537,291.541
41538,291.877
41539,291.998
41540,292.029
41541,292.029
41542,292.181
41543,292.059
41544,291.937
41545,291.694
41546,291.755
41547,291.846
41548,291.785
41549,291.694
41550,291.694
41551,291.816
41552,291.755
41553,291.633
41554,291.785
41555,291.541
41556,291.937
41557,291.907
41558,291.816
41559,291.846
41560,291.602
41561,291.755
41562,291.755
41563,291.846
41564,291.785
41565,291.663
41566,291.602
41567,291.816
41568,291.602
41569,291.755
41570,291.816
41571,291.907
41572,291.877
41573,291.907
41574,291.846
41575,291.785
41576,291.633
41577,291.846
41578,291.724
41579,291.998
41580,292.151
41581,292.334
41582,291.937
41583,291.382
41584,291.738
41585,291.725
41586,292.075
41587,292.002
41588,291.736
41589,291.783
41590,291.668
41591,291.838
41592,292.051
41593,292.03
41594,291.766
41595,291.842
41596,292.051
41597,292.089
41598,292.002
41599,292.115
41600,291.887
41601,291.935
41602,292.054
41603,291.797
41604,292.019
41605,292.117
41606,291.945
41607,291.762
41608,291.901
41609,292.053
41610,292.001
41611,291.94
41612,291.821
41613,292.02
41614,292.029
41615,291.708
41616,292.132
41617,291.625
41618,291.661
41619,292.131
41620,292.122
41621,292.296
41622,292.07
41623,292.059
41624,291.943
41625,291.791
41626,291.814
41627,291.874
41628,291.73
41629,291.987
41630,291.823
41631,291.962
41632,291.88
41633,291.672
41634,291.955
41635,291.91
41636,292.053
41637,292.059
41638,292.147
41639,292.034
41640,292.058
41641,292.059
41642,291.884
41643,291.993
41644,291.706
41645,291.898
41646,291.878
41647,291.847
41648,291.934
41649,291.879
41650,291.789
41651,291.756
41652,291.93
41653,291.908
41654,292.082
41655,292.178
41656,291.889
41657,291.877
41658,291.906
41659,291.819
41660,292.02
41661,291.824
41662,291.845
41663,291.992
41664,291.911
41665,292.024
41666,291.912
41667,291.936
41668,291.762
41669,291.959
41670,291.88
41671,291.789
41672,291.697
41673,291.577
41674,291.572
41675,291.689
41676,291.781
41677,291.464
41678,291.771
41679,291.902
41680,291.703
41681,291.811
41682,291.874
41683,291.877
41684,291.877
41685,291.935
41686,291.733
41687,292.045
41688,291.943
41689,291.908
41690,291.79
41691,291.785
41692,291.668
41693,291.546
41694,291.892
41695,292.228
41696,292.213
41697,292.066
41698,291.826
41699,291.874
41700,291.818
41701,291.903
41702,291.849
41703,292.051
41704,292.03
41705,291.708
41706,291.752
41707,291.755
41708,291.784
41709,291.633
41710,291.846
41711,291.785
41712,291.724
41713,291.937
41714,291.419
41715,291.907
41716,291.846
41717,291.755
41718,291.785
41719,291.816
41720,291.785
41721,291.724
41722,291.694
41723,291.907
41724,292.12
41725,291.724
41726,291.419
41727,292.029
41728,292.09
41729,291.694
41730,291.755
41731,291.846
41732,291.998
41733,292.151
41734,292.12
41735,291.816
41736,291.816
41737,291.998
41738,291.816
41739,291.937
41740,292.029
41741,291.937
41742,292.059
41743,292.12
41744,292.395
41745,292.029
41746,292.059
41747,292.09
41748,292.029
41749,292.12
41750,291.785
41751,292.181
41752,292.242
41753,292.273
41754,291.998
41755,292.12
41756,292.212
41757,291.998
41758,291.937
41759,291.846
41760,292.059
41761,291.937
41762,291.846
41763,291.816
41764,291.572
41765,291.724
41766,291.968
41767,292.059
41768,291.907
41769,291.694
41770,291.877
41771,291.907
41772,291.663
41773,291.663
41774,291.541
41775,291.816
41776,291.816
41777,292.242
41778,292.242
41779,291.937
41780,291.785
41781,291.663
41782,291.907
41783,292.12
41784,292.12
41785,291.907
41786,291.694
41787,291.785
41788,291.937
41789,291.877
41790,291.663
41791,291.724
41792,292.029
41793,291.785
41794,291.937
41795,291.937
41796,291.816
41797,291.724
41798,291.877
41799,291.907
41800,291.998
41801,292.151
41802,291.937
41803,291.846
41804,291.785
41805,291.724
41806,291.846
41807,291.877
41808,291.968
41809,291.907
41810,291.937
41811,291.846
41812,292.212
41813,291.998
41814,291.907
41815,291.48
41816,291.846
41817,291.755
41818,291.694
41819,291.877
41820,292.242
41821,292.181
41822,292.059
41823,291.907
41824,291.846
41825,292.059
41826,291.846
41827,291.694
41828,291.785
41829,291.755
41830,291.846
41831,291.785
41832,292.12
41833,292.181
41834,291.998
41835,292.12
41836,291.937
41837,291.694
41838,291.846
41839,291.907
41840,291.877
41841,291.755
41842,291.602
41843,291.785
41844,291.48
41845,291.602
41846,292.059
41847,291.602
41848,291.785
41849,291.907
41850,291.694
41851,291.877
41852,291.907
41853,291.816
41854,291.968
41855,291.846
41856,291.816
41857,291.755
41858,291.724
41859,291.633
41860,291.724
41861,291.877
41862,291.846
41863,291.511
41864,291.511
41865,291.633
41866,291.755
41867,291.724
41868,291.755
41869,291.785
41870,291.755
41871,291.907
41872,291.694
41873,291.907
41874,292.151
41875,291.877
41876,291.755
41877,291.755
41878,291.541
41879,291.572
41880,291.541
41881,291.663
41882,291.602
41883,291.755
41884,291.602
41885,291.694
41886,291.633
41887,291.755
41888,291.968
41889,292.09
41890,291.998
41891,291.816
41892,291.846
41893,291.694
41894,291.389
41895,291.48
41896,291.633
41897,291.602
41898,291.816
41899,291.602
41900,291.724
41901,291.633
41902,291.877
41903,291.877
41904,291.907
41905,291.785
41906,291.48
41907,291.48
41908,291.755
41909,291.602
41910,291.663
41911,291.633
41912,291.633
41913,291.48
41914,291.48
41915,291.389
41916,291.48
41917,291.602
41918,291.663
41919,291.419
41920,291.358
41921,291.541
41922,291.45
41923,291.572
41924,291.846
41925,291.236
41926,291.236
41927,291.358
41928,291.419
41929,291.328
41930,291.389
41931,291.633
41932,291.907
41933,291.419
41934,291.297
41935,291.389
41936,291.755
41937,291.846
41938,291.663
41939,291.633
41940,291.511
41941,291.572
41942,291.633
41943,291.633
41944,291.633
41945,291.45
41946,291.511
41947,291.628
41948,291.311
41949,291.473
41950,291.597
41951,291.369
41952,291.709
41953,291.52
41954,291.423
41955,291.536
41956,291.454
41957,291.245
41958,291.47
41959,291.422
41960,291.449
41961,291.859
41962,291.877
41963,291.964
41964,291.734
41965,291.695
41966,291.869
41967,291.877
41968,291.76
41969,291.492
41970,291.422
41971,291.419
41972,291.741
41973,291.725
41974,291.49
41975,291.656
41976,291.751
41977,291.579
41978,291.572
41979,291.455
41980,291.391
41981,291.301
41982,291.619
41983,291.545
41984,291.687
41985,291.723
41986,291.783
41987,291.931
41988,291.967
41989,291.734
41990,291.929
41991,292.084
41992,292.031
41993,292.029
41994,291.971
41995,291.91
41996,291.819
41997,291.64
41998,291.72
41999,291.666
42000,291.809
42001,291.786
42002,291.814
42003,291.874
42004,291.877
42005,291.701
42006,291.84
42007,291.875
42008,291.847
42009,291.642
42010,291.662
42011,291.751
42012,291.463
42013,291.625
42014,291.779
42015,291.727
42016,291.783
42017,291.697
42018,291.518
42019,291.832
42020,291.963
42021,291.617
42022,291.69
42023,291.723
42024,291.812
42025,291.611
42026,291.69
42027,291.84
42028,291.525
42029,291.715
42030,291.695
42031,291.811
42032,292.049
42033,291.913
42034,291.907
42035,291.907
42036,291.703
42037,291.898
42038,291.819
42039,291.728
42040,291.666
42041,291.897
42042,291.703
42043,291.898
42044,291.819
42045,291.553
42046,291.717
42047,291.753
42048,291.579
42049,291.484
42050,291.626
42051,291.72
42052,291.636
42053,291.779
42054,291.873
42055,292.052
42056,292.176
42057,292.006
42058,291.969
42059,291.968
42060,291.851
42061,291.671
42062,291.663
42063,291.634
42064,291.662
42065,291.663
42066,291.838
42067,291.758
42068,291.784
42069,292.019
42070,291.708
42071,291.869
42072,291.789
42073,291.755
42074,291.45
42075,291.968
42076,292.303
42077,292.181
42078,291.846
42079,291.785
42080,291.846
42081,291.694
42082,291.755
42083,291.785
42084,291.358
42085,291.663
42086,291.816
42087,291.572
42088,291.816
42089,291.694
42090,291.358
42091,291.45
42092,291.998
42093,291.755
42094,291.877
42095,291.724
42096,291.724
42097,292.059
42098,292.029
42099,291.907
42100,291.816
42101,291.755
42102,291.846
42103,291.785
42104,291.511
42105,291.206
42106,290.871
42107,290.952
42108,291.033
42109,291.115
42110,291.755
42111,291.663
42112,291.602
42113,291.785
42114,292.059
42115,291.907
42116,291.816
42117,291.785
42118,291.816
42119,291.724
42120,291.724
42121,291.663
42122,291.877
42123,292.212
42124,291.907
42125,291.846
42126,291.816
42127,291.816
42128,291.968
42129,291.724
42130,291.633
42131,292.181
