$ CSV Bathymetry file from Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG:I,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
2,0,179.3319,45.4565,45.4565,34.9809,51.7543,61.9805,65.5347,60.3593,48.6989,25.7525,27.6855,59.6511,160.0145,156.5987,101.6216,139.5417,301.4604,190.8449,172.6502,184.3535,204.8621,214.6813,177.7761,159.858,162.9717,298.9332,209.569,290.5691,187.3131,193.0795,208.8722,308.5231,226.5612,273.5829,303.2871,407.6001,304.4977,396.1294,413.8768,375.4889,556.4048,0
2,0,162.6593,41.2304,41.2304,31.7287,46.9428,56.2182,59.4419,54.7476,44.1714,23.3582,25.1115,54.1053,145.1379,142.0396,92.1737,126.5684,273.4335,173.1019,156.5988,167.2141,185.8159,194.7223,161.2482,144.9959,147.8202,271.1412,190.0852,263.5547,169.8985,175.1288,189.4532,279.8397,205.4977,248.1478,275.0904,369.7053,276.1884,359.3011,375.3984,340.5795,504.6756,0
2,0,150.387,38.1197,38.1197,29.3348,43.401,51.9766,54.9571,50.617,40.8387,21.5959,23.2169,50.0232,134.1875,131.3231,85.2195,117.0191,252.8036,160.0418,144.7838,154.5982,171.7965,180.031,149.0824,134.0564,136.6675,250.6842,175.7438,243.6701,157.08,161.9158,175.1594,258.7264,189.9934,229.4257,254.3354,341.812,255.3507,332.1926,347.0755,314.8836,466.599,0
2,0,147.4239,37.3685,37.3685,28.7569,42.5459,50.9525,53.8743,49.6197,40.0341,21.1704,22.7595,49.0375,131.5435,128.7355,83.5404,114.7134,247.8224,156.8884,141.931,151.552,168.4115,176.4836,146.1449,131.4149,133.9746,245.7448,172.2809,238.8688,153.9849,158.7254,171.7081,253.6284,186.2498,224.9051,249.324,335.0769,250.3193,325.6471,340.2368,308.6791,457.4053,0
2,0,144.519,36.6322,36.6322,28.1902,41.7075,49.9485,52.8127,48.642,39.2452,20.7533,22.311,48.0713,128.9515,126.1988,81.8942,112.4531,242.9393,153.7971,139.1344,148.5658,165.0931,173.0062,143.2653,128.8255,131.3348,240.9026,168.8862,234.1622,150.9508,155.5979,168.3247,248.6309,182.5799,220.4735,244.4114,328.4746,245.387,319.2306,333.5327,302.5969,448.3925,0
2,0,116.225,31.875,31.875,22.1,35.225,44.9,48.525,43.675,23.2,3.825,2.525,20,88.9868,94.0595,62.0866,81.8101,192.804,125.232,113.8108,121.08,133.6169,140.2396,117.4822,105.0192,107.0655,197.3641,137.6123,191.339,123.4249,127.5839,138.0577,204.9228,149.3019,180.4663,200.3733,266.5901,196.7873,262.0159,275.1025,250.671,368.0823,0
2,0,73.5694,0,21.9862,11.4442,14.6575,35.629,43.6907,35.5162,0,0,0,0,55.1895,69.4292,47.287,57.6,163.448,108.552,99.032,105.032,115.224,121.096,102.44,91.12,92.896,171.96,119.352,166.344,107.36,111.24,120.4,179.44,129.88,157.12,174.68,230.44,168.36,228.64,241.04,219.9133,318.5733,0
2,0,57,0,15.9,8.9,9.775,29.5,37.125,29.225,0,0,0,0,40.6379,59.023,41.5423,46.4,129.3414,98.8587,92.2053,96.072,101.7707,107.816,96.5067,83.4534,85.0827,161.2934,109.0587,154.0906,99.76,105.5434,113.3367,173.2167,127.0067,153.72,171.3567,222.4467,160.89,223.96,237.2867,219.0333,313.7733,0
2,0,19.1,0,5.95,5.275,2.75,15.375,23.1125,15.8625,0,0,0,0,0,39.989,29.3549,29.125,71.8358,70.2659,67.8341,68.7625,68.7309,73.8225,72.2559,59.8516,61.0234,119.9841,80.2468,112.4858,73.17,79.9779,84.7946,134.3096,99.5533,120.605,135.0645,170.6883,121.3012,176.185,188.0808,177.4283,251.2658,0
2,0,0,0,0,0,0,2.5,6.4,5.475,0,0,0,0,0,23.8818,18.7832,15,54.1234,48.241,46.471,48.1835,45.922,42.988,50.425,39.6675,40.063,82.1775,57.6648,78.327,52.45,57.428,60.9496,99.8921,73.6084,89.1675,99.8721,122.5208,89.0012,129.9375,136.5233,132.9068,172.4658,0
