$ LOWER MONUMENTAL_OUTFLOW.npt based on $//LOWER MONUMENTAL_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
575.000000,1110.753
576.000000,1162.387
577.000000,1033.471
578.000000,941.271
579.000000,923.191
580.000000,1035.619
581.000000,1002.325
582.000000,903.512
583.000000,979.368
584.000000,908.509
585.000000,885.594
586.000000,770.832
587.000000,839.477
588.000000,889.267
589.000000,747.173
590.000000,845.293
591.000000,850.602
592.000000,821.442
593.000000,722.38
594.000000,742.45
595.000000,751.428
596.000000,701.837
597.000000,759.055
598.000000,782.138
599.000000,682.033
600.000000,676.017
601.000000,724.592
602.000000,740.978
603.000000,723.94
604.000000,672.176
605.000000,675.248
606.000000,739.441
607.000000,722.474
608.000000,688.843
609.000000,615.804
610.000000,719.046
611.000000,753.037
612.000000,598.391
613.000000,560.132
614.000000,452.468
615.000000,389.761
616.000000,784.128
617.000000,951.447
618.000000,878.095
619.000000,699.939
620.000000,701.924
621.000000,767.85
622.000000,825.965
623.000000,812.591
624.000000,747.801
625.000000,664.682
626.000000,624.338
627.000000,579.025
628.000000,777.725
629.000000,717.802
630.000000,627.483
631.000000,661.149
632.000000,530.115
633.000000,407.223
634.000000,486.172
635.000000,608.952
636.000000,493.105
637.000000,509.873
638.000000,398.915
639.000000,401.562
640.000000,341.978
641.000000,465.993
642.000000,847.81
643.000000,466.555
644.000000,447.35
645.000000,660.116
646.000000,599.038
647.000000,490.824
648.000000,445.688
649.000000,454.106
650.000000,442.089
651.000000,527.465
652.000000,501.214
653.000000,549.476
654.000000,387.837
655.000000,374.097
656.000000,434.39
657.000000,425.721
658.000000,494.707
659.000000,600.558
660.000000,578.176
661.000000,452.758
662.000000,391.651
663.000000,534.866
664.000000,511.592
665.000000,565.221
666.000000,565.47
667.000000,502.465
668.000000,453.582
669.000000,639.354
670.000000,768.682
671.000000,807.246
672.000000,732.748
673.000000,750.013
674.000000,632.653
675.000000,614.224
676.000000,677.111
677.000000,569.939
678.000000,543.539
679.000000,630.942
680.000000,608.134
681.000000,704.511
682.000000,595.504
683.000000,414.361
684.000000,487.97
685.000000,477.523
686.000000,677.695
687.000000,726.643
688.000000,687.57
689.000000,593.277
690.000000,465.962
691.000000,678.158
692.000000,824.389
693.000000,666.957
694.000000,546.353
695.000000,651.972
696.000000,647.922
697.000000,558.269
698.000000,582.5
699.000000,664.004
700.000000,752.696
701.000000,759.346
702.000000,697.14
703.000000,828.45
704.000000,988.888
705.000000,1024.691
706.000000,1089.474
