$ QGT_IHR_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_IHR_2011_2015_daily_ave.csv ; all outlets scaled to total flow from ICE HARBOR_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 42038, 42296, 42367 that are  6, 15, 2 days long
"JDAY","POW","SPB1","SPB2.RSW","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","SPB9","SPB10","MISC"
125.000000,1628.199,0,204.288,221.009,0,218.994,0,0,11.097,11.228,48.469,24.831
126.000000,1068.86,0,227.532,156.636,217.926,76.249,213.58,209.771,138.674,134.792,93.374,25.732
127.000000,708.03,0,228.397,152.338,310.104,139.364,271.558,271.788,189.178,189.342,103.418,24.077
128.000000,1435.712,0,215.14,261.107,66.511,164.979,83.261,85.742,105.546,109.725,63.421,22.986
129.000000,1695.692,0,193.112,239.003,0,218.141,1.283,22.273,74.024,73.948,75.353,17.238
130.000000,1750.297,0,211.699,239.004,0,197.899,13.952,82.782,48.899,90.808,65.157,20.542
131.000000,2063.086,0,234.843,258.512,0,256.222,0,51.2,60.941,85.605,84.972,22.593
132.000000,1348.178,0,208.04,135.451,224.231,124.859,201.766,200.336,136.361,138.981,84.985,18.714
133.000000,1309.668,0,205.824,163.235,285.339,142.119,265.495,262.617,191.449,191.153,90.738,21.822
134.000000,1541.777,0,169.929,240.592,86.344,229.478,179.247,228.659,146.92,223.303,73.444,17.701
135.000000,1719.008,0,164.879,273.261,243.072,255.745,247.434,246.077,245.481,245.076,71.756,17.112
136.000000,1769.657,0,166.898,389.256,389.033,372.677,361.573,361.529,355.748,355.735,72.662,14.55
137.000000,2178.936,0,209.899,435.554,435.567,436.355,421.534,421.59,412.123,400.409,95.939,19.835
138.000000,2536.81,0,243.261,428.562,381.399,381.602,376.848,372.023,371.868,371.984,116.339,25.353
139.000000,2651.776,0,260.457,371.035,395.825,375.704,356.749,351.878,351.034,351.243,118.298,27.169
140.000000,2309.219,0,231.261,323.191,250.064,320.141,314.705,312.771,307.864,308.632,102.171,26.012
141.000000,2096.935,0,218.301,351.334,328.842,336.51,333.133,324.308,321.165,320.069,96.157,19.464
142.000000,2087.349,0,199.812,328.177,320.001,290.038,290.006,290.048,289.567,289.889,88.048,23.101
143.000000,2197.636,0,204.947,378.245,357.97,346.241,346.129,341.877,334.469,334.466,90.32,14.993
144.000000,2173.491,0,203.653,391.523,367.036,366.276,364.388,360.968,356.515,352.571,89.716,14.329
145.000000,2293.46,0,214.683,431.49,429.519,416.714,414.572,401.872,397.844,383.947,94.582,22.984
146.000000,2130.242,0,201.089,429.192,429.154,423.165,405.875,395.293,394.836,390.997,88.675,17.646
147.000000,2245.409,0,215,473.368,472.748,471.872,468.786,463.495,453.482,435.463,96.625,24.102
148.000000,2356.025,0,225.137,431.214,407.734,407.247,406.047,399.244,396.207,384.168,113.425,19.725
149.000000,2627.96,0,248.93,413.442,395.7,384.366,380.339,372.606,373.327,375.291,124.807,32.124
150.000000,2567.425,0,250.484,357.776,366.887,337.843,320.457,320.859,319.4,317.579,110.403,26.254
151.000000,2288.489,0,239.204,268.811,343.828,332.354,313.227,308.214,308.342,300.946,105.45,20.582
152.000000,2249.293,0,218.481,312.482,167.702,309.317,302.735,302.545,251.204,291.747,98.259,26.712
153.000000,2263.113,0,217.698,296.291,143.533,286.643,259.879,286.197,254.397,285.23,100.678,22.81
154.000000,2085.626,0,199.759,327.86,298.366,306.691,305.972,300.237,290.784,294.187,88.072,19.435
155.000000,2217.16,0,215.215,308.46,302.302,299.769,293.341,293.55,277.587,261.824,93.699,21.677
156.000000,2197.64,0,225.776,324.342,293.642,301.681,300.487,301.274,287.55,285.532,98.26,25.482
157.000000,2438.489,0,235.1,329.302,218.487,329.319,317.682,329.509,292.045,305.745,102.289,21.109
158.000000,2050.064,0,191.13,355.821,342.319,332.974,324.831,321.703,321.974,321.499,84.467,24.571
159.000000,1988.646,0,187.374,428.414,425.493,418.002,416.056,415.686,406.708,397.091,82.521,18.208
160.000000,2017.28,0,195.545,463.467,462.278,446.095,446.223,444.903,433.819,427.726,86.213,23.99
161.000000,2366.427,0,229.318,507.046,502.545,464.404,461.938,455.923,447.101,445.113,101.052,23.915
162.000000,2472.037,0,239.859,445.387,439.322,434.086,424.827,408.831,400.072,397.395,105.584,22.996
163.000000,2524.211,0,238.874,414.562,394.686,389.143,389.353,380.57,369.663,368.272,105.069,21.181
164.000000,2407.693,0,225.434,412.511,373.295,365.805,365.492,365.781,365.613,365.208,99.118,21.55
165.000000,2263.744,0,213.326,401.634,373.187,388.95,383.313,383.01,371.605,373.554,93.781,22.329
166.000000,2121.596,0,199.875,388.118,384.7,378.899,378.015,377.313,370.897,361.588,87.91,19.111
167.000000,2418.711,0,229.126,411.517,410.556,406.081,402.67,393.053,389.681,365.502,100.848,19.956
168.000000,2439.969,0,232.14,372.942,373.471,373.635,373.42,373.534,359.766,324.91,102.072,27.179
169.000000,2574.482,0,248.589,307.908,293.946,347.126,294.206,346.77,292.913,322.636,109.3,24.305
170.000000,2474.439,0,243.452,241.213,314.137,316.368,298.984,300.188,277.264,284.406,107.06,26.958
171.000000,2329.763,0,220.426,310.305,310.642,290.406,288.314,288.435,274.202,264.818,96.908,21.203
172.000000,2100.666,0,212.632,311.017,261.796,306.091,294.37,306.76,271.593,283.664,93.489,22.16
173.000000,2146.416,0,203.817,290.955,274.056,287.823,288.415,287.65,269.373,267.331,89.617,24.425
174.000000,2149.3,0,200.368,352.675,336.956,319.144,317.475,315.609,315.497,313.552,88.105,20.999
175.000000,2143.093,0,202.398,395.819,391.31,387.972,369.402,362.85,363.487,361.171,88.977,19.447
176.000000,2224.052,0,209.596,393.496,394.197,393.288,376.032,357.717,351.791,351.031,92.169,23.997
177.000000,2522.364,0,240.891,375.281,375.951,367.653,367.26,347.962,334.679,325.359,105.928,25.756
178.000000,2488.678,0,238.363,341.708,342.367,342.574,342.174,342.464,324.438,293.229,104.843,18.956
