$ QGT_JDA_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_JDA_2011_2015_daily_ave.csv ; all outlets scaled to total flow from JOHN DAY_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41754, 41974, 42024, 42055, 42172, 42192, 42223, 42265, 42285, 42296, 42321, 42328 that are  1009, 2, 2, 3, 3, 3, 4, 3, 3, 3, 24, 6, 4 days long
"JDAY","POWER","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","SB19","SB20","MISC"
79.000000,6118.71,0,44.278,45.014,29.379,29.26,30.098,14.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.000000,5936.575,0,14.039,14.375,9.468,9.314,9.53,4.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.000000,4882.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.000000,5552.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83.000000,6248.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84.000000,6231.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85.000000,5970.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.000000,5693.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.000000,6735.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.000000,5993.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89.000000,5857.304,0,37.139,36.341,25.465,24.508,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.000000,6070.962,0,38.514,36.994,25.317,25.826,27.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.000000,5992.064,0,24.401,24.292,22.845,16.314,15.728,15.32,7.355,0,0,0,0,0,0,0,0,0,0,0,0,0
92.000000,6951.651,0,58.378,59.244,58.105,59.831,58.29,55.757,55.796,39.107,37.021,35.223,35.681,34.189,34.361,35.245,36.01,15.955,0,0,0,0
93.000000,8241.689,0,50.676,51.375,43.415,44.42,43.558,28.703,21.781,18.857,18.717,17.993,5.326,5.102,5.137,5.27,5.384,2.367,0,0,0,0
94.000000,8668.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.000000,9770.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96.000000,10287.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.000000,9557.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.000000,8800.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.000000,8069.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.000000,6092.383,0,184.846,163.709,138.692,146.858,130.84,137.571,127.228,129.34,119.113,106.743,102.585,96.68,97.152,100.319,116.543,113.743,256.788,264.007,93.529,0
101.000000,6281.067,0,146.613,118.572,97.705,90.118,71.311,106.348,99.106,106.519,94.843,92.03,91.237,95.91,98.86,107.053,130.5,151.243,438.544,438.544,144.428,0
102.000000,5939.307,0,141.03,105.094,82.089,92.75,73.963,102.33,95.764,104.227,91.946,82.584,81.594,88.047,94.92,103.877,124.97,143.912,416.853,416.853,135.163,0
103.000000,5650.51,0,142.952,97.309,74.952,87.939,82.348,110.865,92.608,109.097,89.366,78.014,85.672,89.905,94.257,105.842,118.12,136.492,360.332,360.332,121.597,0
104.000000,5498.976,0,133.952,98.841,74.858,81.293,52.064,93.816,91.735,95.038,88.169,73.225,80.814,82.99,89.616,93.727,119.093,124.558,390.356,390.356,130.174,0
105.000000,5359.917,0,136.659,112.67,62.36,65.936,68.37,93.309,94.032,98.499,92.316,92.73,94.418,100.567,108.448,111.305,122.497,122.859,417.872,417.872,138.041,0
106.000000,5434.045,0,131.22,103.077,73.633,67.157,59.651,91.092,80.18,87.065,88.749,81.491,82.97,87.305,88.913,96.467,112.461,119.437,389.555,389.555,125.376,0
107.000000,5673.298,0,130.586,103.978,78.225,62.908,54.566,95.979,91.207,91.788,85.145,84.559,86.664,95.468,98.001,101.908,115.792,116.971,430.309,430.309,134.382,0
108.000000,5190.309,0,110.997,88.135,67.858,41.951,44.8,81.38,92.392,92.51,85.404,82.455,81.043,82.931,90.429,93.364,100.533,100.954,396.526,396.526,116.792,0
109.000000,5307.921,0,124.345,99.216,74.334,56.969,47.966,84.396,85.714,88.576,84.761,84.817,82.817,86.474,87.701,90.52,106.181,114.72,387.087,387.087,120.061,0
110.000000,5184.485,0,126.166,100.64,73.785,76.073,53.921,90.509,82.361,88.105,82.727,79.706,81.956,80.654,84.988,90.864,107.625,116.143,354.428,354.428,118.319,0
111.000000,5124.947,0,122.043,105.917,79.014,77.985,54.933,92.701,88.973,88.682,84.54,80.824,84.802,85.464,92.26,94.446,103.693,124.07,376.088,376.088,116.588,0
112.000000,5286.732,0,120.559,106.843,80.292,73.853,51.139,87.347,84.019,87.802,81.605,79.076,83.856,84.505,89.405,93.099,113.924,118.251,378.84,378.84,122.955,0
113.000000,5413.318,0,138.955,126.145,82.257,94.577,84.887,97.781,92.933,102.056,99.984,90.382,96.472,97.055,107.944,110.688,127.71,130.089,375.652,375.652,128.336,0
114.000000,4943.99,0,143.123,131.415,87.266,87.519,74.364,105.621,95.051,102.534,99.161,95.783,105.722,107.092,114.613,118.561,133.623,129.621,381.583,381.583,127.387,0
115.000000,4667.296,0,132.757,132.694,95.012,97.976,75.298,102.564,89.848,90.691,98.606,101.939,102.787,111.017,112.161,112.956,127.729,138.901,364.557,364.557,115.797,0
116.000000,5189.567,0,100.338,106.731,70.386,55.495,0,60.769,67.267,72.583,75.724,71.299,77.347,75.704,76.387,80.067,85.974,110.621,468.19,468.19,125.223,0
117.000000,4818.276,0,131.229,107.049,83.529,90.156,79.231,97.914,91.266,94.162,91.198,82.75,87.348,85.517,92.59,99.823,113.731,125.941,327.805,327.805,112.307,0
118.000000,5175.78,0,128.323,103.471,77.25,78.944,63.155,86.763,77.359,84.876,80.38,76.717,83.35,86.614,87.282,96.497,112.126,115.236,361.514,361.514,118.748,0
