0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1
1.5,0,180.8733,92.65,81.53,0,0,0,329.47,62.6033,0,219.9167,342.66,412.64,504.8633,470.95,385.96,430.6867,335.42,505.3067,628,632.37,670.35,587.4167,688.0367,724.73,700.3667,818.2233,728.0833,545.1167,1313.58,2204.9867,2069.72,1229.66,919.35,807.9167,900.13,1051.4633,795.94,571.1867,682.4,701.9433,872.7667,935.0433,1046.1267,1118.66,1119.1967,988.1467,1014.5167,1110.6667,1214.6867,951.39,948.9033,1215.1233,1261.1233,1206.7233,1278.0267,1255.7233,1224.57,1150.6467,1223.9767,1236.68,1500.4133,1327.82,1057.6767,1067.8233,874.6967,904.9967,1018.89,971.6967,981.4367,953.9933,869.2267,855.65,789.98,776.4033,825.3067,807.5333,1141.2,1299.8833,1293.64,1256.2467,1216.3767,1074.35,1192.4633,1292.4533,1201.9133,1074.7167,1044.6667,1376.24,1318.5967,1286.9633,1123.1733,1040.3867,978.2,937.9533,976.7333,857.9633,950.7133,1128.5833,1070.72,882.2933,0,.,16
2,0,134.47,68.61,71.69,0,0,0,0,0,0,40.645,258.66,302.515,418.555,209.275,254.485,299.215,285.995,469.13,538.43,446.475,452.185,436.055,540.545,587.575,604.34,612.805,474.975,395.715,925.765,1552.765,1519,1018.03,858.755,737.755,841.415,918.01,738.335,513.055,649.925,670.61,825.135,847.13,1005.48,1021.78,1032.66,901.46,979.24,1039.32,1083.925,907.56,896.055,1007.205,1072.6,1111.71,1166.36,1197.355,1131.545,1078.005,1143.1,1144.45,1436.405,1273.28,1019.835,1004.85,782.555,868.84,961.89,950.54,938.285,924.465,831.285,828.325,751.81,755.14,803.775,783.095,1114.5,1274.2,1263.04,1232.025,1168.005,1013.745,1160.97,1263.915,1140.035,984.95,969.34,1333.975,1236.905,1221.32,1080.375,1007.16,944.495,906.005,955.715,839.95,929.935,1109.825,1049.535,843.95,0,.,17
2,0,98.29,57.39,0,0,0,0,0,0,0,0,114.72,208.135,243.18,124.25,188.95,244.175,265.98,412.73,297.09,233.34,194.05,301.585,338.88,365.35,470.29,416.535,286.455,307.705,682.835,1079.89,732.65,807.385,730.495,632.965,775.125,769.135,653.83,449.41,620.05,638.97,781.645,761.28,940.425,886.355,923.4,815.28,945.965,944.3,916.815,838.175,846.02,892.075,888.64,1017.425,1081.575,1086.885,1044.87,1001.14,1085.22,1093.325,1313.185,1196.89,983.075,923.495,652.435,837.51,929.305,925.025,897.105,890.385,795.015,803.825,708.14,727.565,782.425,756.265,1033.79,1217.85,1217.8,1213.82,1127.32,963.385,1127.23,1247.125,1059,865.975,863.605,1292.245,1175.91,1139.72,1052.7,974.99,919.645,885.845,943.205,830.045,920.52,1102.325,1035.08,795.455,0,.,18
2,0,95.5,54.89,0,0,0,0,0,0,0,0,0,72.555,61.225,0,99.49,192.745,252,332.06,79.615,62.565,64.925,228.795,180.015,165.095,315.835,278.89,191.8,227.97,476.715,735.75,265.97,365.06,411.255,434.115,617.235,689.935,594.885,408.395,594.75,602.405,675.57,674.615,818.795,784.27,793.48,710.81,911.52,851.925,806.72,756.565,794.685,814.385,767.185,969.25,1020.05,963.195,965.49,936.485,1034.27,1039.56,1140.8,1103.095,955.685,820.445,574.925,779.715,862.175,891.425,876.28,873.055,772.29,782.755,679.15,692.51,760.195,728.505,920.345,1103.765,1159.225,1189.075,1059.9,898.06,1079.595,1234.07,993.08,728.88,768.5,1225.995,1086.12,1070.255,1022.6,935.965,889.625,867.505,931.165,821.55,912.705,1094.62,1023.285,782.51,0,.,19
2,0,95.5,54.89,0,0,0,0,0,0,0,0,0,0,0,0,0,121.78,236.805,244.505,34.965,0,0,136.105,67.605,62.375,156.02,87.87,70.98,102.24,125.9,229.76,95.165,57.41,184.01,268.315,260.835,368.46,475.995,343.61,565.785,546.465,553.22,554.75,603.46,611.28,566.75,584.245,779.06,703.84,708.375,679.735,739.395,676.72,684.275,850.26,949.03,843.845,889.235,878.74,941.765,922.235,963.01,957.38,927.425,727.56,528.73,700.055,793.535,861.675,854.575,849.61,739.775,760.13,645.92,665.195,745.39,709.44,868.195,1012.6,1057.045,1027.93,913.1,824.375,1018.445,1210.67,953.805,683.515,683.55,1159.55,998.02,1023.465,990.32,899.67,852.65,848.675,916.24,810.44,904.705,1080.42,1006.665,770.725,0,.,20
2,0,47.75,27.445,0,0,0,0,0,0,0,0,0,0,0,0,0,72.15,232.45,80.065,0,0,0,57.985,29.08,0,0,0,0,0,0,0,0,0,34.675,68.535,0,40.355,252.37,309.775,491.55,427.705,378.11,390.34,342.845,379.275,436.435,457.13,584.515,512.595,572.165,586.295,622.535,503.555,620.23,585.085,820.41,684.3,770.47,715.535,797.4,791.795,787.13,832.96,884.335,645.165,490.355,571.855,738.43,831.58,818.835,817.055,695.845,731.16,609.775,642.595,733.185,685.9,831.445,911.59,957.165,886.51,782.57,726.855,908.395,1166.81,915.09,648.52,631.19,1101.19,914.715,929.925,945.665,857.74,799.02,826.735,887.795,793.09,890.55,1047.71,982.495,761.23,0,.,21
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,232.45,50.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.46,309.33,375.67,297.82,186.35,175.55,106.32,132.77,263.96,352.375,323.94,248.35,288.64,383.745,431.535,390.76,517.755,417.4,587.44,454.37,629.43,528.155,621.3,641.38,588.02,670.9,734.52,546.53,459.645,504.17,686.965,805.93,774.5,749.235,639.87,693.745,571.67,623.32,721.145,664.715,789.14,842.41,901.285,794.3,697.725,674.3,728.2,1111.515,880.515,603.285,603.435,1026.015,828.13,813.69,877.26,804.27,761.145,805.015,840.61,761.225,840.77,1013.94,964.635,749.69,0,.,22
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.76,309.33,207.545,122.65,44.36,24.015,0,0,84.8,275.125,52.015,55.58,106.25,239.35,223.565,284.16,333.055,309.4,279.08,233.76,411.305,364.215,506.97,413.875,427.69,504.335,462.145,414.83,430.83,467.29,594.86,714.165,699.13,663.08,593.285,642.545,525.865,601.755,706.49,645.95,726.35,785.07,865.24,701.81,667.725,623.09,602.035,991.39,826.52,539.095,578.775,953.47,760.8,759.535,833.29,764.105,728.54,782.615,813.35,721.84,751.49,956.235,943.815,726.255,0,.,23
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,309.33,142.655,0,0,0,0,0,57.66,261.5,0,0,51.53,233.65,74.19,192.21,178.41,227.26,27.01,108.34,253.415,235.075,268.19,172.07,181.975,269.305,239.95,315.98,379.6,409.32,430.36,511.71,529.095,550.025,512.285,534.065,472.375,574.505,686.705,615.435,629.67,691.51,718.91,625.695,618.935,561.24,549.015,760.325,703.355,504.175,557.28,887.015,707.685,721.065,758.24,730.395,681.885,748.44,791.21,690.095,692.74,854.465,919.235,677.87,0,.,24
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.645,274.96,90.09,0,0,0,0,0,25.63,116.225,0,0,0,0,0,0,0,0,0,48.3,119.61,128.405,96.34,22.2,39.555,86.51,102.545,204.89,271.83,301.305,239.87,148.4,207.275,327.145,334.57,399.495,384.205,441.345,543.08,484.56,455.9,578.575,495.055,452.965,461.61,462.1,466.275,426.86,489.82,423.055,476.255,724.16,579.36,599.34,600.82,609.095,546.735,625.055,683.175,583.64,577.35,713.36,792.555,577.82,0,.,25
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.16,52.595,32.13,0,0,0,0,25.675,117.27,225.555,235.81,130.365,0,43.89,126.32,238.06,294.875,341.16,362.695,287.74,426.355,357.21,495.06,315.175,322.125,373.99,391.915,414.015,338.41,336.885,395.545,451.055,623.42,489.635,550.98,528.04,536.855,497.35,591.12,600.265,536.11,506.78,654.32,741.72,555.325,0,.,26
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.58,24.225,0,0,0,0,0,0,81.86,213.06,157.34,85.37,0,0,48.735,185.845,181.695,283.005,240.685,65.75,263.5,277.825,195.575,222.505,272.45,265.41,319.385,277.4,224.625,252.01,350.62,398.015,518.15,360.165,472.98,463.125,445.72,439.46,505.525,506.425,492.075,436.375,570.41,669.485,529.225,0,.,27
