$Concentration file for segment 317

JDAY,      N2,      DO,
    13.900,   19.9848,   11.9341,
    13.950,   19.9848,   11.9342,
    14.000,   19.9848,   11.9344,
    14.050,   19.9849,   11.9346,
    14.100,   19.9849,   11.9347,
    14.150,   19.9849,   11.9348,
    14.200,   19.9850,   11.9350,
    14.250,   19.9850,   11.9351,
    14.300,   19.9851,   11.9352,
    14.350,   19.9851,   11.9352,
    14.400,   19.9851,   11.9353,
    14.450,   19.9852,   11.9354,
    14.500,   19.9853,   11.9355,
    14.550,   19.9853,   11.9357,
    14.600,   19.9853,   11.9357,
    14.650,   19.9854,   11.9358,
    14.700,   19.9854,   11.9359,
    14.750,   19.9854,   11.9361,
    14.800,   19.9854,   11.9362,
    14.850,   19.9854,   11.9361,
    14.900,   19.9854,   11.9361,
    14.950,   19.9854,   11.9362,
    15.000,   19.9854,   11.9362,
    15.050,   19.9855,   11.9362,
    15.100,   19.9856,   11.9364,
    15.150,   19.9856,   11.9366,
    15.200,   19.9857,   11.9367,
    15.250,   19.9858,   11.9369,
    15.300,   19.9858,   11.9372,
    15.350,   19.9859,   11.9375,
    15.400,   19.9860,   11.9377,
    15.450,   19.9861,   11.9380,
    15.500,   19.9861,   11.9384,
    15.550,   19.9862,   11.9388,
    15.600,   19.9862,   11.9392,
    15.650,   19.9862,   11.9396,
    15.700,   19.9863,   11.9399,
    15.750,   19.9864,   11.9404,
    15.800,   19.9864,   11.9409,
    15.850,   19.9865,   11.9413,
    15.900,   19.9865,   11.9414,
    15.950,   19.9865,   11.9415,
    16.000,   19.9865,   11.9420,
    16.050,   19.9866,   11.9426,
    16.100,   19.9866,   11.9431,
    16.150,   19.9866,   11.9433,
    16.200,   19.9867,   11.9434,
    16.250,   19.9867,   11.9435,
    16.300,   19.9867,   11.9436,
    16.350,   19.9868,   11.9438,
    16.400,   19.9868,   11.9439,
    16.450,   19.9869,   11.9440,
    16.500,   19.9869,   11.9441,
    16.550,   19.9869,   11.9442,
    16.600,   19.9869,   11.9442,
    16.650,   19.9869,   11.9442,
    16.700,   19.9870,   11.9444,
    16.750,   19.9870,   11.9446,
    16.800,   19.9870,   11.9446,
    16.850,   19.9870,   11.9446,
    16.900,   19.9871,   11.9449,
    16.950,   19.9872,   11.9451,
    17.000,   19.9873,   11.9456,
    17.050,   19.9872,   11.9450,
    17.100,   19.9872,   11.9452,
    17.150,   19.9872,   11.9453,
    17.200,   19.9873,   11.9455,
    17.250,   19.9873,   11.9456,
    17.300,   19.9873,   11.9458,
    17.350,   19.9873,   11.9459,
    17.400,   19.9873,   11.9461,
    17.450,   19.9873,   11.9462,
    17.500,   19.9873,   11.9464,
    17.550,   19.9872,   11.9470,
    17.600,   19.9871,   11.9473,
    17.650,   19.9870,   11.9477,
    17.700,   19.9870,   11.9479,
    17.750,   19.9870,   11.9478,
    17.800,   19.9870,   11.9478,
    17.850,   19.9870,   11.9477,
    17.900,   19.9871,   11.9475,
    17.950,   19.9870,   11.9480,
    18.000,   19.9871,   11.9476,
    18.050,   19.9871,   11.9477,
    18.100,   19.9871,   11.9479,
    18.150,   19.9871,   11.9481,
    18.200,   19.9871,   11.9482,
    18.250,   19.9871,   11.9483,
    18.300,   19.9870,   11.9485,
    18.350,   19.9870,   11.9488,
    18.400,   19.9869,   11.9490,
    18.450,   19.9869,   11.9494,
    18.500,   19.9883,   11.9514,
    18.550,   19.9917,   11.9558,
    18.600,   19.9957,   11.9610,
    18.650,   19.9985,   11.9648,
    18.700,   20.0002,   11.9673,
    18.750,   20.0019,   11.9694,
    18.800,   20.0031,   11.9710,
    18.850,   20.0040,   11.9722,
    18.900,   20.0037,   11.9720,
    18.950,   20.0018,   11.9699,
    19.000,   20.0009,   11.9688,
    19.050,   19.9992,   11.9672,
    19.100,   19.9989,   11.9670,
    19.150,   19.9990,   11.9671,
    19.200,   19.9988,   11.9671,
    19.250,   19.9982,   11.9664,
