$Lake Roosevelt Model year 2011-2015,,,
Constituent input file for Columbia River (usbc of branch 1),,,
jday,N2,DO,
564,19.22,11.75,
565,18.88,11.53,
566,19.04,11.61,
567,19.45,11.9,
568,19.49,11.88,
569,19.7,12.04,
570,19.04,11.56,
571,19.55,11.91,
572,19.42,11.86,
573,19.14,11.69,
574,18.88,11.52,
575,18.76,11.4,
576,18.56,11.29,
577,18.53,11.25,
578,18.42,11.19,
579,18.27,11.11,
580,17.99,10.92,
581,17.86,10.81,
582,17.8,10.81,
583,17.72,10.78,
584,17.81,10.87,
585,17.78,10.85,
586,17.75,10.79,
587,17.76,10.73,
588,17.92,10.88,
589,17.79,10.78,
590,17.96,10.9,
591,17.83,10.82,
592,17.93,10.88,
593,17.83,10.78,
594,17.56,10.63,
595,17.34,10.5,
596,17.69,10.73,
597,17.59,10.68,
598,17.48,10.61,
599,17.73,10.75,
600,17.8,10.84,
601,17.72,10.74,
602,17.87,10.81,
603,17.35,10.48,
604,17.17,10.38,
605,17.2,10.41,
606,17.25,10.44,
607,17.46,10.59,
608,17.2,10.39,
609,17.24,10.42,
610,17.33,10.46,
611,16.75,10.11,
612,16.5,9.973,
613,16.38,9.895,
614,16.36,9.883,
615,16.25,9.855,
616,16.28,9.844,
617,16.43,9.936,
618,16.46,10,
619,16.5,9.963,
620,16.39,9.872,
621,16.31,9.835,
622,16.38,9.889,
623,16.52,9.979,
624,16.45,9.947,
625,16.36,9.907,
626,16.25,9.794,
627,16.33,9.866,
628,16.38,9.901,
629,16.32,9.868,
630,16.38,9.915,
631,16.31,9.889,
632,16.34,9.926,
633,16.61,10.07,
634,16.36,9.912,
635,16.45,9.966,
636,16.47,9.972,
637,16.48,9.972,
638,16.42,9.94,
639,16.28,9.856,
640,16.32,9.843,
641,16.32,9.866,
642,16.49,9.938,
643,16.34,9.848,
644,16.31,9.831,
645,16.41,9.889,
646,16.59,10.02,
647,16.56,10,
648,16.55,10.01,
649,16.77,10.15,
650,16.76,10.15,
651,16.85,10.2,
652,16.72,10.15,
653,16.74,10.18,
654,16.83,10.26,
655,16.76,10.24,
656,16.8,10.16,
657,16.86,10.21,
658,17.04,10.34,
659,17.04,10.36,
660,17.03,10.31,
661,17.13,10.38,
662,17.14,10.41,
663,17.26,10.49,
664,17.11,10.41,
665,17.21,10.46,
666,17.28,10.51,
667,17.34,10.56,
668,17.38,10.6,
669,17.57,10.74,
670,17.58,10.76,
671,17.58,10.76,
672,17.42,10.66,
673,17.54,10.74,
674,17.63,10.8,
675,17.7,10.86,
676,17.82,10.89,
677,18,11.01,
678,18.12,11.03,
679,18,10.97,
680,17.91,10.91,
681,17.88,10.88,
682,18,10.98,
683,18.02,11.01,
684,17.92,10.96,
685,18.14,11.11,
686,18.4,11.27,
687,18.62,11.42,
688,18.6,11.43,
689,19.17,11.75,
690,19.06,11.73,
691,18.84,11.59,
692,18.82,11.56,
693,19,11.69,
694,19.51,12,
695,19.49,11.98,
696,19.74,12.13,
697,19.69,12.09,
698,19.03,11.69,
699,19.02,11.7,
700,19.27,11.87,
701,19.29,11.9,
702,19.45,11.98,
703,19.26,11.86,
704,19.27,11.88,
705,19.17,11.83,
706,19.41,11.94,
707,19.69,12.12,
708,19.58,12.05,
709,20.03,12.31,
710,19.79,12.19,
711,20.09,12.39,
712,19.99,12.34,
713,19.86,12.26,
714,19.95,12.32,
715,19.94,12.31,
716,19.79,12.22,
717,19.7,12.16,
718,19.47,12.02,
719,19.6,12.1,
720,19.6,12.11,
721,19.74,12.22,
722,19.96,12.36,
723,19.89,12.32,
724,19.71,12.19,
725,19.68,12.16,
726,19.9,12.31,
727,19.83,12.28,
728,19.75,12.22,
729,19.85,12.29,
730,19.82,12.26,
731,19.7,12.18,
732,19.64,12.14,
733,19.62,12.13,
734,19.59,12.1,
735,19.61,12.11,
736,19.69,12.18,
737,19.81,12.28,
738,19.98,12.39,
739,20.38,12.64,
740,20.28,12.58,
741,20.19,12.54,
742,20.14,12.47,
743,20.2,12.52,
744,20.27,12.56,
745,20.21,12.52,
746,20.28,12.58,
747,21.04,13.07,
748,21.11,13.12,
749,21.28,13.24,
750,21.22,13.19,
751,21.21,13.18,
752,21.17,13.15,
753,21.24,13.19,
754,21.31,13.23,
755,20.32,12.65,
756,20.32,12.64,
757,20.57,12.83,
758,20.46,12.74,
759,20.32,12.63,
760,20.27,12.6,
761,20.34,12.68,
762,20.22,12.6,
763,20.17,12.57,
764,20.15,12.55,
765,20.34,12.66,
766,20.18,12.54,
767,20.47,12.75,
768,20.3,12.63,
769,20.24,12.59,
770,20.27,12.62,
771,20.23,12.56,
772,20.17,12.52,
773,20.16,12.52,
774,20.12,12.51,
775,20.13,12.51,
776,20.03,12.44,
777,19.98,12.41,
778,20.33,12.63,
779,20.28,12.62,
780,20.41,12.69,
781,20.57,12.79,
782,20.45,12.73,
783,20.51,12.74,
784,20.59,12.8,
785,20.37,12.67,
