SEGMENT#, BRANCH#, XC, YC, UTMZONE
149, 12,   415958.05090,  5414157.89744, 11
148, 12,   416379.70034,  5415065.28190, 11
147, 12,   416814.70042,  5415965.80051, 11
146, 12,   417207.64213,  5416882.39054, 11
145, 12,   417488.87466,  5417842.30845, 11
144, 12,   417848.20552,  5418768.74564, 11
143, 12,   418576.00878,  5419300.28591, 11
142, 12,   419563.05291,  5419465.45038, 11
273, 13,   397657.06592,  5320939.06091, 11
272, 13,   397464.88775,  5319957.83661, 11
271, 13,   397587.32903,  5319032.75664, 11
270, 13,   398274.30870,  5318367.67491, 11
269, 13,   399213.09144,  5318052.18651, 11
268, 13,   400205.84916,  5317973.39168, 11
267, 13,   401187.02125,  5318122.48066, 11
266, 13,   402148.70184,  5318399.84544, 11
265, 13,   403080.33511,  5318321.21264, 11
264, 13,   403689.30621,  5317629.11341, 11
263, 13,   403863.29203,  5316654.13910, 11
262, 13,   404018.16505,  5315673.21914, 11
261, 13,   404448.65198,  5314785.65577, 11
260, 13,   405174.56292,  5314130.50937, 11
259, 13,   406084.21287,  5313725.15336, 11
258, 13,   407048.90220,  5313464.17823, 11
257, 13,   408018.08830,  5313217.52642, 11
256, 13,   408993.23361,  5313145.03402, 11
255, 13,   409854.61615,  5313556.67238, 11
254, 13,   410550.49325,  5314274.31682, 11
253, 13,   411056.76785,  5315118.91067, 11
252, 13,   411352.01588,  5316073.36726, 11
251, 13,   411555.63739,  5317052.68968, 11
250, 13,   411754.39208,  5318033.17734, 11
249, 13,   412049.44799,  5318987.01285, 11
248, 13,   412255.42639,  5319953.40133, 11
247, 13,   412150.24474,  5320936.42386, 11
246, 13,   411894.69691,  5321904.11753, 11
245, 13,   411697.93118,  5322883.92199, 11
244, 13,   411604.91501,  5323879.21414, 11
243, 13,   411588.31427,  5324879.60254, 11
242, 13,   411623.32697,  5325879.55700, 11
241, 13,   411718.20947,  5326875.31372, 11
240, 13,   411756.48008,  5327871.26333, 11
239, 13,   411492.95125,  5328811.79792, 11
238, 13,   410885.66157,  5329589.15687, 11
237, 13,   410328.19442,  5330389.86093, 11
236, 13,   409926.49340,  5331306.10095, 11
235, 13,   409510.95415,  5332216.51983, 11
234, 13,   409213.93576,  5333165.97670, 11
233, 13,   409106.25671,  5334157.41287, 11
232, 13,   409303.27383,  5335112.60120, 11
231, 13,   409900.77044,  5335882.46698, 11
230, 13,   410733.35181,  5336428.89610, 11
229, 13,   411653.51948,  5336813.38529, 11
228, 13,   412630.21019,  5336951.81573, 11
227, 13,   413618.90176,  5336828.38132, 11
226, 13,   414594.71903,  5336605.85854, 11
225, 13,   415580.52161,  5336447.57574, 11
