$USGS 12399500 - Columbia River at International Boundary   1/1/2011-12/31/2015,,
,,
JDAY,QIN,
368.041666666664,2440.90987605728,
368.052083333336,2395.60296420471,
368.0625,2358.79109832449,
368.072916666664,2327.64259642585,
368.083333333336,2299.32577651799,
368.09375,2279.50400258249,
368.104166666664,2259.68222864699,
368.114583333336,2248.35550068385,
368.125,2237.02877272071,
368.135416666664,2228.53372674835,
368.145833333336,2225.70204475757,
368.15625,2220.03868077599,
368.166666666664,2217.20699878521,
368.177083333336,2217.20699878521,
368.1875,2217.20699878521,
368.197916666664,2217.20699878521,
368.208333333336,2217.20699878521,
368.21875,2214.37531679442,
368.229166666664,2214.37531679442,
368.239583333336,2214.37531679442,
368.25,2214.37531679442,
368.260416666664,2211.54363480364,
368.270833333336,2211.54363480364,
368.28125,2211.54363480364,
368.291666666664,2211.54363480364,
368.302083333336,2222.87036276678,
368.3125,2242.69213670228,
368.322916666664,2259.68222864699,
368.333333333336,2282.33568457328,
368.34375,2302.15745850878,
368.354166666664,2319.14755045349,
368.364583333336,2333.30596040742,
368.375,2347.46437036135,
368.385416666664,2355.95941633371,
368.395833333336,2361.62278031528,
368.40625,2367.28614429685,
368.416666666664,2367.28614429685,
368.427083333336,2370.11782628764,
368.4375,2389.93960022314,
368.447916666664,2423.91978411256,
368.458333333336,2463.56333198356,
368.46875,2500.37519786378,
368.479166666664,2534.35538175321,
368.489583333336,2576.83061161499,
368.5,2619.30584147678,
368.510416666664,2653.28602536621,
368.520833333336,2681.60284527406,
368.53125,2707.08798319114,
368.541666666664,2732.57312110821,
368.552083333336,2755.22657703449,
368.5625,2769.38498698842,
368.572916666664,2783.54339694235,
368.583333333336,2794.87012490549,
368.59375,2803.36517087785,
368.604166666664,2809.02853485942,
368.614583333336,2814.69189884099,
368.625,2817.52358083178,
368.635416666664,2820.35526282256,
368.645833333336,2823.18694481335,
368.65625,2826.01862680414,
368.666666666664,2831.68199078571,
368.677083333336,2859.99881069356,
368.6875,2888.31563060142,
368.697916666664,2916.63245050928,
368.708333333336,2916.63245050928,
368.71875,2944.94927041713,
368.729166666664,2973.26609032499,
368.739583333336,2973.26609032499,
368.75,3001.58291023285,
368.760416666664,3001.58291023285,
368.770833333336,3001.58291023285,
368.78125,3001.58291023285,
368.791666666664,3029.89973014071,
368.802083333336,3029.89973014071,
368.8125,3029.89973014071,
368.822916666664,3029.89973014071,
368.833333333336,3029.89973014071,
368.84375,3001.58291023285,
368.854166666664,2973.26609032499,
368.864583333336,2944.94927041713,
368.875,2916.63245050928,
368.885416666664,2888.31563060142,
368.895833333336,2828.85030879492,
368.90625,2789.20676092392,
368.916666666664,2738.23648508978,
368.927083333336,2678.77116328328,
368.9375,2616.47415948599,
368.947916666664,2557.00883767949,
368.958333333336,2500.37519786378,
368.96875,2449.40492202964,
368.979166666664,2404.09801017707,
368.989583333336,2364.45446230607,
369,2327.64259642585,
369.010416666664,2299.32577651799,
369.020833333336,2276.67232059171,
369.03125,2259.68222864699,
369.041666666664,2242.69213670228,
369.052083333336,2231.36540873914,
369.0625,2222.87036276678,
369.072916666664,2217.20699878521,
369.083333333336,2214.37531679442,
369.09375,2211.54363480364,
369.104166666664,2208.71195281285,
369.114583333336,2205.88027082207,
369.125,2203.04858883128,
369.135416666664,2203.04858883128,
369.145833333336,2203.04858883128,
369.15625,2200.21690684049,
369.166666666664,2200.21690684049,
369.177083333336,2200.21690684049,
369.1875,2200.21690684049,
369.197916666664,2197.38522484971,
369.208333333336,2197.38522484971,
369.21875,2211.54363480364,
369.229166666664,2228.53372674835,
369.239583333336,2248.35550068385,
369.25,2273.84063860092,
369.260416666664,2304.98914049957,
369.270833333336,2347.46437036135,
369.28125,2367.28614429685,
369.291666666664,2395.60296420471,
369.302083333336,2435.24651207571,
369.3125,2486.21678790985,
369.322916666664,2531.52369976242,
369.333333333336,2579.66229360578,
369.34375,2619.30584147678,
369.354166666664,2644.79097939385,
369.364583333336,2670.27611731092,
369.375,2690.09789124642,
369.385416666664,2712.75134717271,
369.395833333336,2741.06816708056,
369.40625,2772.21666897921,
369.416666666664,2803.36517087785,
369.427083333336,2831.68199078571,
369.4375,2859.99881069356,
369.447916666664,2888.31563060142,
369.458333333336,2916.63245050928,
369.46875,2916.63245050928,
369.479166666664,2944.94927041713,
369.489583333336,2973.26609032499,
369.5,2973.26609032499,
369.510416666664,3001.58291023285,
369.520833333336,3001.58291023285,
369.53125,3001.58291023285,
369.541666666664,3001.58291023285,
369.552083333336,3001.58291023285,
369.5625,2973.26609032499,
369.572916666664,2944.94927041713,
369.583333333336,2916.63245050928,
369.59375,2888.31563060142,
369.604166666664,2859.99881069356,
369.614583333336,2859.99881069356,
369.625,2831.68199078571,
369.635416666664,2823.18694481335,
369.645833333336,2814.69189884099,
369.65625,2806.19685286864,
369.666666666664,2803.36517087785,
369.677083333336,2814.69189884099,
369.6875,2831.68199078571,
369.697916666664,2859.99881069356,
369.708333333336,2888.31563060142,
369.71875,2916.63245050928,
369.729166666664,2916.63245050928,
369.739583333336,2944.94927041713,
369.75,2973.26609032499,
369.760416666664,2973.26609032499,
369.770833333336,3001.58291023285,
369.78125,3001.58291023285,
369.791666666664,3029.89973014071,
369.802083333336,3029.89973014071,
369.8125,3029.89973014071,
369.822916666664,3029.89973014071,
369.833333333336,3029.89973014071,
369.84375,3001.58291023285,
369.854166666664,2973.26609032499,
369.864583333336,2944.94927041713,
369.875,2944.94927041713,
369.885416666664,2916.63245050928,
369.895833333336,2888.31563060142,
369.90625,2888.31563060142,
369.916666666664,2859.99881069356,
369.927083333336,2831.68199078571,
369.9375,2828.85030879492,
369.947916666664,2806.19685286864,
369.958333333336,2769.38498698842,
369.96875,2709.91966518192,
369.979166666664,2647.62266138464,
369.989583333336,2585.32565758735,
370,2523.02865379006,
370.010416666664,2469.22669596514,
370.020833333336,2418.25642013099,
370.03125,2372.94950827842,
370.041666666664,2333.30596040742,
370.052083333336,2299.32577651799,
370.0625,2271.00895661014,
370.072916666664,2248.35550068385,
370.083333333336,2228.53372674835,
370.09375,2217.20699878521,
370.104166666664,2203.04858883128,
370.114583333336,2194.55354285892,
370.125,2191.72186086814,
370.135416666664,2186.05849688657,
370.145833333336,2186.05849688657,
370.15625,2186.05849688657,
370.166666666664,2186.05849688657,
370.177083333336,2186.05849688657,
370.1875,2186.05849688657,
370.197916666664,2183.22681489578,
370.208333333336,2183.22681489578,
370.21875,2180.39513290499,
370.229166666664,2180.39513290499,
370.239583333336,2180.39513290499,
370.25,2180.39513290499,
370.260416666664,2188.89017887735,
370.270833333336,2208.71195281285,
370.28125,2228.53372674835,
370.291666666664,2254.01886466542,
370.302083333336,2287.99904855485,
370.3125,2319.14755045349,
370.322916666664,2353.12773434292,
370.333333333336,2381.44455425078,
370.34375,2409.76137415864,
370.354166666664,2432.41483008492,
370.364583333336,2455.06828601121,
