$Spokane River at Long Lake (USGS 12433000)   1/1/2011 - 12/31/2015,,
,,
JDAY,QIN,
557,150.362313710721,
558,144.982117928228,
559,142.150435937442,
560,160.273200678471,
561,131.956380770614,
562,135.071230960478,
563,158.007855085842,
564,148.096968118092,
565,157.441518687685,
566,145.548454326385,
567,119.496980011157,
568,120.91282100655,
569,114.399952427743,
570,100.524710672893,
571,110.718765839721,
572,104.772233659071,
573,108.736588446171,
574,68.8098723760927,
575,90.6138237051426,
576,78.4375911447641,
577,79.0039275429212,
578,70.2257133714855,
579,78.7207593438426,
580,73.0573953622712,
581,67.3940313806998,
582,74.1900681585855,
583,69.3762087742498,
584,78.4375911447641,
585,58.3326490101856,
586,75.3227409548998,
587,79.2870957419998,
588,62.013835598207,
589,68.8098723760927,
590,73.3405635613498,
591,64.5623493899141,
592,62.2970037972855,
593,58.049480811107,
594,57.7663126120284,
595,68.2435359779355,
596,54.9346306212427,
597,50.120771236907,
598,64.5623493899141,
599,45.8732482507284,
600,53.2356214267713,
601,51.2534440332213,
602,53.8019578249284,
603,53.8019578249284,
604,54.6514624221641,
605,48.9880984405927,
606,50.120771236907,
607,52.102948630457,
608,53.5187896258499,
609,48.138593843357,
610,52.6692850286141,
611,47.2890892461213,
612,35.3960248848213,
613,51.5366122322999,
614,56.6336398157141,
615,59.1821536074213,
616,56.9168080147927,
617,56.6336398157141,
618,57.1999762138713,
619,47.5722574451999,
620,50.4039394359856,
621,52.3861168295356,
622,48.138593843357,
623,52.3861168295356,
624,56.6336398157141,
625,65.4118539871498,
626,50.4039394359856,
627,59.7484900055784,
628,57.4831444129498,
629,55.7841352184784,
630,62.8633401954427,
631,59.4653218064998,
632,60.3148264037356,
633,64.5623493899141,
634,63.7128447926784,
635,62.2970037972855,
636,66.2613585843855,
637,65.4118539871498,
638,60.031658204657,
639,57.4831444129498,
640,67.3940313806998,
641,60.3148264037356,
642,61.1643310009713,
643,68.2435359779355,
644,65.4118539871498,
645,60.031658204657,
646,60.5979946028141,
647,62.8633401954427,
648,67.6771995797784,
649,62.2970037972855,
650,70.7920497696427,
651,63.7128447926784,
652,52.9524532276927,
653,56.067303417557,
654,67.6771995797784,
655,66.5445267834641,
656,70.2257133714855,
657,63.7128447926784,
658,69.0930405751712,
659,62.2970037972855,
660,92.8791692977712,
661,88.9148145106712,
662,88.348478112514,
663,86.9326371171212,
664,63.996012991757,
665,58.049480811107,
666,61.4474992000498,
667,87.7821417143569,
668,92.312832899614,
669,95.7108512885569,
670,116.94846621945,
671,97.4098604830283,
672,121.195989205628,
673,129.974203377064,
674,106.754411052621,
675,120.629652807471,
676,127.142521386278,
677,105.338570057228,
678,120.91282100655,
679,119.780148210235,
680,121.195989205628,
681,118.081139015764,
682,121.195989205628,
683,122.328662001943,
684,120.91282100655,
685,116.382129821293,
686,119.780148210235,
687,108.736588446171,
688,113.267279631428,
689,120.346484608393,
690,122.045493802864,
691,135.354399159557,
692,143.566276932835,
693,140.451426742971,
694,140.168258543892,
695,129.407866978907,
696,130.257371576143,
697,130.257371576143,
698,141.300931340207,
699,188.590020586328,
700,230.215745850878,
701,236.162278031528,
702,240.692969216785,
703,241.825642013099,
704,288.831563060142,
705,297.326609032499,
706,308.653336995642,
707,317.148382967999,
708,314.316700977213,
709,314.316700977213,
710,317.148382967999,
711,311.485018986428,
712,311.485018986428,
713,311.485018986428,
714,311.485018986428,
715,311.485018986428,
716,311.485018986428,
717,305.821655004856,
718,288.831563060142,
719,280.619685286864,
720,280.336517087785,
721,241.542473814021,
722,220.304858883128,
723,227.667232059171,
724,218.039513290499,
725,206.712785327357,
726,205.580112531042,
727,191.138534378035,
728,190.289029780799,
729,178.679133618578,
730,180.37814281305,
731,186.041506794621,
732,185.758338595542,
733,150.079145511642,
734,132.239548969692,
735,132.239548969692,
736,132.239548969692,
737,132.239548969692,
738,138.7524175485,
739,137.619744752185,
740,138.7524175485,
741,167.918742053592,
742,159.990032479392,
743,146.6811271227,
744,146.6811271227,
745,144.415781530071,
746,138.7524175485,
747,137.619744752185,
748,131.390044372457,
749,143.566276932835,
750,133.089053566928,
751,124.310839395493,
752,127.142521386278,
753,127.142521386278,
754,169.900919447142,
755,174.714778831478,
756,172.44943323885,
757,173.582106035164,
758,174.714778831478,
759,173.865274234242,
760,173.298937836085,
761,173.298937836085,
762,173.298937836085,
763,173.298937836085,
764,178.679133618578,
765,178.3959654195,
766,178.679133618578,
767,186.041506794621,
768,189.439525183564,
769,189.439525183564,
770,189.439525183564,
771,189.439525183564,
772,189.439525183564,
773,189.439525183564,
774,189.439525183564,
775,189.439525183564,
776,189.439525183564,
777,189.439525183564,
778,189.439525183564,
779,189.439525183564,
780,186.041506794621,
781,185.192002197385,
782,185.475170396464,
783,185.475170396464,
784,185.758338595542,
785,165.936564660042,
786,184.34249760015,
787,184.34249760015,
788,184.34249760015,
789,184.34249760015,
790,184.34249760015,
791,184.059329401071,
792,184.059329401071,
793,184.059329401071,
794,184.059329401071,
795,184.059329401071,
796,184.059329401071,
797,184.059329401071,
798,184.059329401071,
799,184.059329401071,
800,184.059329401071,
801,184.059329401071,
802,184.059329401071,
803,184.059329401071,
804,184.059329401071,
805,184.908833998307,
806,185.475170396464,
807,185.758338595542,
808,186.891011391857,
809,188.306852387249,
810,189.722693382642,
811,189.722693382642,
812,227.100895661014,
813,342.63352088507,
814,356.791930838999,
815,356.791930838999,
816,345.465202875856,
817,345.465202875856,
818,328.475110931142,
819,314.316700977213,
820,314.316700977213,
821,305.821655004856,
822,314.316700977213,
823,314.316700977213,
824,351.128566857428,
825,365.286976811356,
826,396.435478709999,
827,424.752298617856,
828,489.880984405927,
829,506.871076350641,
830,563.504716166356,
831,566.336398157141,
832,574.831444129498,
833,560.67303417557,
834,560.67303417557,
835,549.346306212427,
836,535.187896258499,
837,487.049302415142,
838,407.762206673142,
839,396.435478709999,
840,399.267160700785,
841,430.415662599427,
842,416.257252645499,
843,387.940432737642,
844,407.762206673142,
845,404.930524682356,
846,404.930524682356,
847,430.415662599427,
848,438.910708571785,
849,438.910708571785,
850,430.415662599427,
851,441.74239056257,
852,438.910708571785,
853,438.910708571785,
854,433.247344590213,
855,421.92061662707,
856,407.762206673142,
857,402.09884269157,
858,407.762206673142,
859,407.762206673142,
860,424.752298617856,
861,447.405754544142,
862,472.890892461213,
863,492.712666396713,
864,506.871076350641,
865,523.861168295356,
866,521.02948630457,
867,532.356214267713,
868,492.712666396713,
869,402.09884269157,
870,370.950340792928,
871,356.791930838999,
872,317.148382967999,
873,317.148382967999,
874,297.326609032499,
875,263.912761541228,
876,238.144455425078,
877,212.376149308928,
878,199.633580350392,
879,194.819720966057,
880,195.102889165135,
881,196.801898359607,
882,203.031598739335,
883,215.490999498792,
884,208.411794521828,
885,209.827635517221,
886,193.120711771585,
887,189.722693382642,
888,180.944479211207,
889,174.148442433321,
890,173.298937836085,
891,182.3603202066,
892,189.722693382642,
893,189.722693382642,
894,173.865274234242,
895,164.237555465571,
896,149.512809113485,
897,139.035585747578,
898,138.469249349421,
899,135.920735557714,
900,117.231634418528,
901,121.195989205628,
902,164.803891863728,
903,223.702877272071,
904,203.031598739335,
905,188.306852387249,
906,173.865274234242,
907,161.689041673864,
908,166.786069257278,
909,148.096968118092,
910,151.494986507035,
911,115.532625224057,
912,135.071230960478,
913,118.930643613,
914,116.665298020371,
915,115.249457024978,
916,111.851438636035,
917,117.797970816685,
918,104.772233659071,
919,95.9940194876355,
920,84.9504597235712,
921,80.7029367373926,
922,74.1900681585855,
923,77.3049183484498,
924,69.6593769733284,
925,73.9068999595069,
926,77.8712547466069,
927,80.4197685383141,
928,68.8098723760927,
929,54.085126024007,
930,62.5801719963641,
931,62.013835598207,
932,55.5009670193999,
933,51.8197804313784,
934,56.067303417557,
935,58.6158172092641,
936,59.4653218064998,
937,59.1821536074213,
938,45.0237436534927,
939,48.7049302415142,
940,58.3326490101856,
941,49.5544348387499,
942,44.7405754544142,
943,53.5187896258499,
944,49.2712666396713,
945,64.2791811908355,
946,66.2613585843855,
947,89.4811509088283,
948,69.6593769733284,
949,71.3583861677998,
950,48.7049302415142,
951,73.9068999595069,
952,54.9346306212427,
953,43.3247344590213,
954,47.2890892461213,
955,49.5544348387499,
956,49.2712666396713,
957,49.8376030378284,
958,46.7227528479642,
959,43.0415662599427,
960,52.9524532276927,
961,42.192061662707,
962,51.2534440332213,
963,53.2356214267713,
964,51.2534440332213,
965,42.192061662707,
966,52.6692850286141,
967,37.6613704774499,
968,38.5108750746856,
969,48.4217620424356,
970,48.138593843357,
971,48.4217620424356,
972,46.7227528479642,
973,49.5544348387499,
974,37.0950340792928,
975,41.6257252645499,
976,36.8118658802142,
977,48.138593843357,
978,48.138593843357,
979,45.3069118525713,
980,48.4217620424356,
981,58.8989854083427,
982,59.7484900055784,
983,56.067303417557,
984,65.6950221862284,
985,58.049480811107,
986,47.8554256442784,
987,54.9346306212427,
988,54.085126024007,
989,52.6692850286141,
990,58.3326490101856,
991,50.6871076350642,
992,57.1999762138713,
993,62.013835598207,
994,60.8811628018927,
995,60.031658204657,
996,54.3682942230856,
997,37.3782022783713,
998,62.8633401954427,
999,62.013835598207,
1000,62.5801719963641,
1001,64.2791811908355,
1002,73.6237317604284,
1003,51.5366122322999,
1004,56.3504716166356,
1005,56.9168080147927,
1006,53.2356214267713,
1007,67.960367778857,
1008,53.5187896258499,
1009,85.5167961217283,
1010,71.3583861677998,
1011,73.6237317604284,
1012,72.2078907650355,
1013,23.9277128221392,
1014,81.2692731355498,
1015,81.5524413346284,
1016,98.5425332793426,
1017,91.4633283023783,
1018,98.8257014784212,
1019,80.4197685383141,
1020,86.9326371171212,
1021,96.277187686714,
1022,84.1009551263355,
1023,108.170252048014,
1024,84.1009551263355,
1025,92.0296647005355,
1026,100.241542473814,
1027,91.7464965014569,
1028,95.9940194876355,
1029,98.5425332793426,
1030,87.4989735152783,
1031,73.6237317604284,
1032,72.7742271631927,
1033,83.2514505290998,
1034,86.0831325198855,
1035,99.3920378765783,
1036,100.524710672893,
1037,93.4455056959283,
1038,90.6138237051426,
1039,105.904906455385,
1040,101.09104707105,
1041,97.4098604830283,
1042,97.6930286821069,
1043,106.471242853543,
1044,91.4633283023783,
1045,97.6930286821069,
1046,103.356392663678,
1047,101.657383469207,
1048,100.807878871971,
1049,102.223719867364,
1050,100.241542473814,
1051,88.6316463115926,
1052,101.940551668285,
1053,99.3920378765783,
1054,99.1088696774997,
1055,109.302924844328,
1056,100.524710672893,
