$USGS 12409000 - Colville River at Kettle Falls  1/1/2011-12/31/2015,,
,,
JDAY,QIN,
368.21875,4.27583980608642,
368.229166666664,4.27583980608642,
368.239583333336,4.27583980608642,
368.25,4.33247344590213,
368.260416666664,4.33247344590213,
368.270833333336,4.50237436534927,
368.28125,4.98376030378284,
368.291666666664,4.8138593843357,
368.302083333336,4.72890892461213,
368.3125,4.64395846488856,
368.322916666664,4.58732482507284,
368.333333333336,4.58732482507284,
368.34375,4.33247344590213,
368.354166666664,4.33247344590213,
368.364583333336,4.33247344590213,
368.375,4.33247344590213,
368.385416666664,4.33247344590213,
368.395833333336,4.33247344590213,
368.40625,4.33247344590213,
368.416666666664,4.27583980608642,
368.427083333336,4.27583980608642,
368.4375,4.27583980608642,
368.447916666664,4.27583980608642,
368.458333333336,4.27583980608642,
368.46875,4.27583980608642,
368.479166666664,4.27583980608642,
368.489583333336,4.27583980608642,
368.5,4.27583980608642,
368.510416666664,4.27583980608642,
368.520833333336,4.27583980608642,
368.53125,4.33247344590213,
368.541666666664,4.4174239056257,
368.552083333336,4.50237436534927,
368.5625,4.58732482507284,
368.572916666664,4.58732482507284,
368.583333333336,4.58732482507284,
368.59375,4.64395846488856,
368.604166666664,4.8138593843357,
368.614583333336,4.8138593843357,
368.625,4.8138593843357,
368.635416666664,4.8138593843357,
368.645833333336,4.8138593843357,
368.65625,4.8138593843357,
368.666666666664,4.8138593843357,
368.677083333336,4.8138593843357,
368.6875,4.8138593843357,
368.697916666664,4.8138593843357,
368.708333333336,4.72890892461213,
368.71875,4.72890892461213,
368.729166666664,4.72890892461213,
368.739583333336,4.72890892461213,
368.75,4.72890892461213,
368.760416666664,4.72890892461213,
368.770833333336,4.72890892461213,
368.78125,4.72890892461213,
368.791666666664,4.64395846488856,
368.802083333336,4.64395846488856,
368.8125,4.64395846488856,
368.822916666664,4.64395846488856,
368.833333333336,4.50237436534927,
368.84375,4.58732482507284,
368.854166666664,4.58732482507284,
368.864583333336,4.58732482507284,
