Derived constituent file for segment 317

JDAY,     %DO,  TDG(%),
    21.600,   96.5108,   99.2166,
    21.650,   96.5229,   99.2219,
    21.700,   96.5268,   99.2400,
    21.750,   96.5215,   99.2315,
    21.800,   96.5117,   99.2178,
    21.850,   96.5071,   99.1768,
    21.900,   96.5091,   99.2020,
    21.950,   96.5235,   99.1870,
    22.000,   96.5540,   99.1891,
    22.050,   96.5776,   99.1859,
    22.100,   96.5601,   99.1626,
    22.150,   96.5259,   99.1335,
    22.200,   96.4939,   99.1159,
    22.250,   96.4492,   99.1174,
    22.300,   96.4031,   99.0895,
    22.350,   96.3697,   99.0765,
    22.400,   96.3741,   99.0989,
    22.450,   96.3573,   99.1034,
    22.500,   96.3454,   99.0995,
    22.550,   96.3406,   99.1001,
    22.600,   96.3355,   99.1233,
    22.650,   96.3295,   99.1294,
    22.700,   96.3220,   99.1447,
    22.750,   96.3116,   99.1151,
    22.800,   96.2993,   99.0807,
    22.850,   96.2867,   99.1028,
    22.900,   96.2738,   99.0775,
    22.950,   96.2583,   99.0403,
    23.000,   96.2456,   99.0668,
    23.050,   96.2323,   99.0602,
    23.100,   96.2216,   99.0363,
    23.150,   96.2119,   99.0306,
    23.200,   96.2024,   99.0409,
    23.250,   96.1932,   99.0373,
    23.300,   96.1884,   99.0241,
    23.350,   96.1800,   99.0183,
    23.400,   96.1702,   99.0195,
    23.450,   96.1687,   99.0108,
    23.500,   96.1771,   99.0500,
    23.550,   96.1865,   99.0724,
    23.600,   96.1928,   99.0843,
    23.650,   96.1980,   99.0918,
    23.700,   96.1980,   99.0868,
    23.750,   96.1922,   99.0654,
    23.800,   96.1821,   99.0328,
    23.850,   96.1717,   99.0407,
    23.900,   96.1623,   99.0197,
    23.950,   96.1540,   99.0139,
    24.000,   96.1419,   98.9867,
    24.050,   96.1359,   98.9800,
    24.100,   96.1307,   98.9465,
    24.150,   96.1255,   98.9336,
    24.200,   96.1207,   98.9332,
    24.250,   96.1150,   98.9071,
    24.300,   96.1089,   98.8949,
    24.350,   96.1081,   98.9074,
    24.400,   96.1111,   98.9079,
    24.450,   96.1149,   98.9322,
    24.500,   96.1201,   98.9494,
    24.550,   96.1295,   98.9642,
    24.600,   96.1358,   98.9867,
    24.650,   96.1381,   98.9998,
    24.700,   96.1409,   99.0163,
    24.750,   96.1593,   99.0049,
    24.800,   96.2059,   99.0216,
    24.850,   96.2034,   99.0215,
    24.900,   96.1832,   99.0062,
    24.950,   96.1616,   99.0041,
    25.000,   96.1440,   98.9973,
    25.050,   96.1324,   98.9825,
    25.100,   96.1206,   98.9801,
    25.150,   96.1106,   98.9782,
    25.200,   96.1007,   98.9759,
    25.250,   96.0907,   98.9698,
    25.300,   96.0848,   98.9624,
    25.350,   96.0791,   98.9584,
    25.400,   96.0773,   98.9655,
    25.450,   96.0800,   98.9603,
    25.500,   96.1025,   98.9703,
    25.550,   96.1413,   98.9548,
    25.600,   96.1720,   98.9484,
    25.650,   96.1970,   98.9446,
    25.700,   96.2309,   98.9546,
    25.750,   96.2553,   98.9770,
    25.800,   96.2694,   98.9767,
    25.850,   96.2040,   98.9492,
    25.900,   96.1635,   98.9348,
    25.950,   96.1338,   98.9043,
    26.000,   96.1121,   98.8975,
    26.050,   96.0923,   98.8822,
    26.100,   96.0757,   98.8699,
    26.150,   96.0618,   98.8888,
    26.200,   96.0517,   98.8915,
    26.250,   96.0484,   98.8876,
    26.300,   96.0670,   98.8951,
    26.350,   96.0975,   98.9164,
    26.400,   96.1230,   98.9161,
    26.450,   96.1608,   98.9399,
    26.500,   96.1872,   98.9592,
    26.550,   96.2062,   98.9692,
    26.600,   96.2209,   98.9406,
    26.650,   96.2307,   98.9470,
    26.700,   96.2365,   98.9527,
    26.750,   96.2375,   98.9499,
    26.800,   96.2342,   98.9447,
    26.850,   96.2312,   98.9505,
    26.900,   96.2289,   98.9464,
    26.950,   96.2327,   98.9474,
    27.000,   96.2265,   98.9420,
    27.050,   96.1846,   98.9136,
    27.100,   96.1311,   98.8952,
    27.150,   96.0866,   98.8749,
    27.200,   96.0592,   98.8567,
    27.250,   96.0548,   98.8428,
    27.300,   96.0804,   98.8506,
    27.350,   96.1070,   98.8483,
    27.400,   96.1038,   98.8472,
    27.450,   96.0670,   98.8344,
    27.500,   96.0476,   98.8336,
    27.550,   96.0443,   98.8552,
    27.600,   96.0480,   98.8422,
    27.650,   96.0383,   98.8155,
    27.700,   96.0257,   98.7705,
    27.750,   96.0070,   98.7225,
    27.800,   95.9843,   98.6723,
    27.850,   95.9632,   98.6245,
    27.900,   95.9444,   98.5749,
    27.950,   95.9309,   98.5620,
    28.000,   95.9197,   98.5383,
    28.050,   95.9099,   98.5483,
    28.100,   95.9013,   98.5344,
    28.150,   95.8924,   98.5062,
    28.200,   95.8853,   98.4871,
    28.250,   95.8803,   98.4612,
    28.300,   95.9245,   98.4581,
    28.350,   95.9846,   98.4688,
    28.400,   96.0249,   98.4742,
    28.450,   96.0232,   98.4618,
    28.500,   95.9826,   98.4036,
    28.550,   95.9545,   98.3546,
    28.600,   95.9340,   98.3244,
    28.650,   95.9182,   98.2860,
    28.700,   95.9061,   98.2781,
    28.750,   95.8995,   98.2490,
    28.800,   95.8965,   98.2261,
    28.850,   95.8934,   98.2411,
    28.900,   95.8892,   98.2437,
    28.950,   95.8759,   98.2422,
    29.000,   95.8640,   98.2274,
    29.050,   95.8528,   98.2188,
    29.100,   95.8444,   98.2179,
    29.150,   95.8340,   98.1826,
    29.201,   95.8269,   98.1771,
    29.250,   95.8208,   98.1602,
    29.300,   95.8084,   98.1169,
    29.350,   95.8023,   98.1033,
    29.400,   95.7996,   98.1034,
    29.450,   95.8010,   98.1130,
    29.500,   95.8042,   98.1215,
    29.550,   95.8094,   98.1304,
    29.600,   95.8150,   98.1476,
    29.650,   95.8191,   98.1458,
    29.700,   95.8214,   98.1190,
    29.750,   95.8246,   98.1082,
    29.800,   95.8275,   98.1275,
    29.850,   95.8283,   98.1145,
    29.900,   95.8289,   98.0988,
    29.950,   95.8286,   98.0820,
    30.000,   95.8276,   98.0864,
    30.050,   95.8248,   98.0573,
    30.100,   95.8235,   98.0180,
    30.150,   95.8158,   97.9990,
    30.200,   95.8165,   97.9826,
    30.250,   95.8084,   97.8852,
    30.300,   95.8056,   97.8636,
    30.350,   95.8015,   97.8704,
    30.400,   95.7984,   97.8666,
    30.450,   95.8032,   97.9064,
    30.500,   95.8142,   97.9488,
    30.550,   95.8238,   97.9668,
    30.600,   95.8314,   97.9840,
    30.650,   95.8334,   97.9910,
    30.700,   95.8373,   97.9686,
    30.750,   95.8429,   97.9742,
    30.800,   95.8459,   97.9866,
    30.850,   95.8352,   97.9884,
    30.900,   95.8246,   98.0016,
    30.950,   95.8161,   98.0071,
    31.000,   95.8094,   98.0015,
    31.050,   95.8020,   97.9739,
    31.100,   95.7971,   97.9592,
    31.150,   95.7915,   97.9294,
    31.200,   95.7879,   97.9294,
    31.250,   95.7852,   97.9015,
    31.300,   95.7838,   97.8731,
    31.350,   95.7857,   97.8584,
    31.400,   95.7898,   97.8546,
    31.450,   95.7987,   97.8388,
    31.500,   95.8113,   97.8451,
    31.550,   95.8259,   97.8572,
    31.600,   95.8357,   97.8595,
    31.650,   95.8411,   97.8682,
    31.700,   95.8446,   97.8616,
    31.750,   95.8482,   97.8788,
    31.800,   95.8570,   97.8929,
    31.850,   95.8599,   97.8946,
    31.900,   95.8437,   97.9066,
    31.950,   95.8284,   97.9417,
    32.000,   95.8107,   97.9652,
    32.050,   95.7998,   97.9583,
    32.100,   95.7880,   97.9390,
    32.150,   95.7752,   97.9056,
    32.200,   95.7630,   97.8872,
    32.250,   95.7611,   97.9024,
    32.300,   95.7784,   97.9166,
    32.350,   95.8012,   97.9494,
    32.400,   95.8428,   97.9704,
    32.450,   95.8907,   98.0257,
    32.500,   95.9326,   98.0501,
    32.550,   95.9666,   98.0789,
    32.600,   95.9961,   98.0728,
    32.650,   96.0227,   98.0770,
    32.700,   96.0432,   98.0650,
    32.750,   96.0364,   98.0356,
    32.800,   95.9701,   98.0118,
    32.850,   95.8958,   97.9605,
    32.900,   95.8462,   97.9705,
    32.950,   95.8151,   97.9613,
    33.000,   95.7914,   97.9362,
    33.050,   95.7698,   97.9030,
    33.100,   95.7468,   97.8681,
    33.150,   95.7289,   97.8450,
    33.200,   95.7100,   97.8042,
    33.250,   95.6813,   97.7539,
    33.300,   95.6695,   97.7361,
    33.350,   95.6605,   97.7290,
    33.400,   95.6842,   97.7263,
    33.450,   95.7003,   97.7207,
    33.500,   95.6722,   97.6790,
    33.550,   95.6617,   97.6596,
    33.600,   95.6566,   97.6477,
    33.650,   95.6555,   97.6776,
    33.700,   95.6656,   97.6580,
    33.750,   95.7313,   97.6805,
    33.800,   95.7785,   97.6746,
    33.850,   95.8186,   97.7226,
    33.900,   95.8470,   97.7832,
    33.950,   95.8755,   97.8186,
    34.000,   95.8555,   97.8229,
    34.050,   95.8119,   97.8068,
    34.100,   95.7672,   97.7696,
    34.150,   95.7177,   97.7090,
    34.200,   95.6702,   97.6584,
    34.250,   95.6290,   97.6043,
    34.300,   95.6244,   97.6092,
    34.350,   95.6700,   97.6384,
    34.400,   95.7208,   97.6733,
    34.450,   95.7400,   97.6735,
    34.500,   95.7133,   97.6735,
    34.550,   95.6883,   97.6337,
    34.600,   95.6694,   97.6018,
    34.650,   95.6578,   97.5922,
    34.700,   95.6461,   97.5973,
    34.750,   95.6351,   97.5742,
    34.800,   95.6288,   97.5699,
    34.850,   95.6330,   97.6176,
    34.900,   95.6429,   97.6956,
    34.950,   95.6478,   97.7496,
    35.000,   95.6440,   97.7774,
    35.050,   95.6155,   97.6886,
    35.100,   95.6212,   97.7086,
    35.150,   95.6191,   97.7152,
    35.200,   95.5982,   97.6533,
    35.250,   95.5732,   97.5608,
    35.300,   95.5610,   97.5067,
    35.350,   95.5599,   97.5321,
    35.400,   95.5616,   97.5558,
    35.450,   95.5699,   97.6167,
    35.500,   95.5640,   97.6069,
    35.550,   95.5633,   97.6344,
    35.600,   95.5568,   97.6601,
    35.650,   95.5586,   97.6491,
    35.700,   95.5379,   97.6159,
    35.750,   95.5271,   97.5749,
    35.800,   95.5519,   97.6727,
    35.850,   95.5810,   97.7905,
    35.900,   95.6422,   98.0417,
    35.950,   95.6595,   98.1523,
    36.000,   95.6543,   98.1280,
    36.050,   95.6492,   98.1051,
    36.100,   95.6383,   98.0681,
    36.150,   95.6273,   98.0190,
    36.200,   95.6248,   98.0122,
    36.250,   95.5805,   97.8054,
    36.300,   95.5552,   97.7000,
    36.350,   95.5436,   97.6562,
    36.400,   95.5507,   97.6752,
    36.450,   95.5604,   97.7101,
    36.500,   95.5709,   97.7421,
    36.550,   95.5802,   97.8006,
    36.600,   95.5853,   97.8133,
    36.650,   95.5804,   97.7814,
    36.700,   95.5724,   97.7426,
    36.750,   95.5630,   97.7019,
    36.800,   95.5601,   97.7081,
    36.850,   95.5597,   97.7381,
    36.900,   95.5571,   97.7507,
    36.950,   95.5525,   97.7725,
    37.000,   95.5452,   97.7684,
    37.050,   95.5373,   97.7587,
    37.100,   95.5356,   97.7765,
    37.150,   95.5303,   97.7787,
    37.200,   95.5221,   97.7692,
    37.250,   95.5197,   97.7633,
    37.300,   95.5108,   97.7370,
    37.350,   95.5027,   97.7103,
    37.400,   95.5057,   97.7267,
    37.450,   95.5155,   97.7923,
    37.500,   95.5302,   97.8464,
    37.550,   95.5333,   97.8663,
    37.600,   95.5319,   97.8397,
    37.650,   95.5271,   97.8119,
    37.700,   95.5239,   97.7735,
    37.750,   95.5301,   97.7597,
    37.800,   95.5337,   97.7866,
    37.850,   95.5394,   97.8028,
    37.900,   95.5448,   97.8386,
    37.950,   95.5470,   97.8869,
    38.000,   95.5743,   98.0905,
    38.050,   95.5698,   98.0826,
    38.100,   95.5712,   98.0863,
    38.150,   95.5484,   98.0273,
    38.200,   95.5359,   97.8329,
    38.250,   95.5324,   97.7284,
    38.300,   95.5319,   97.6743,
    38.350,   95.5383,   97.7389,
    38.400,   95.5450,   97.8035,
