$JDAY,Temp_C
12.28125,4.3
12.29166667,4.3
12.30208333,4.3
12.3125,4.3
12.32291667,4.3
12.33333333,4.3
12.34375,4.3
12.35416667,4.3
12.36458333,4.3
12.375,4.3
12.38541667,4.3
12.39583333,4.3
12.40625,4.3
12.41666667,4.3
12.42708333,4.3
12.4375,4.3
12.44791667,4.3
12.45833333,4.4
12.46875,4.3
12.47916667,4.3
12.48958333,4.4
12.5,4.3
12.51041667,4.3
12.52083333,4.4
12.53125,4.4
12.54166667,4.3
12.55208333,4.3
12.5625,4.3
12.57291667,4.3
12.58333333,4.3
12.59375,4.3
12.60416667,4.3
12.61458333,4.3
12.625,4.3
12.63541667,4.3
12.64583333,4.3
12.65625,4.3
12.66666667,4.3
12.67708333,4.4
12.6875,4.3
12.69791667,4.3
12.70833333,4.3
12.71875,4.3
12.72916667,4.3
12.73958333,4.3
12.75,4.3
12.76041667,4.3
12.77083333,4.3
12.78125,4.4
12.79166667,4.4
12.80208333,4.4
12.8125,4.4
12.82291667,4.4
12.83333333,4.4
12.84375,4.4
12.85416667,4.4
12.86458333,4.4
12.875,4.3
12.88541667,4.4
12.89583333,4.3
12.90625,4.3
12.91666667,4.4
12.92708333,4.3
12.9375,4.3
12.94791667,4.4
12.95833333,4.4
12.96875,4.4
12.97916667,4.4
12.98958333,4.3
13,4.3
13.01041667,4.4
13.02083333,4.3
13.03125,4.3
13.04166667,4.3
13.05208333,4.3
13.0625,4.3
13.07291667,4.3
13.08333333,4.3
13.09375,4.3
13.10416667,4.3
13.11458333,4.3
13.125,4.3
13.13541667,4.3
13.14583333,4.3
13.15625,4.3
13.16666667,4.3
13.17708333,4.3
13.1875,4.2
13.19791667,4.3
13.20833333,4.3
13.21875,4.3
13.22916667,4.3
13.23958333,4.3
13.25,4.3
13.26041667,4.2
13.27083333,4.3
13.28125,4.2
13.29166667,4.2
13.30208333,4.2
13.3125,4.3
13.32291667,4.2
13.33333333,4.2
13.34375,4.3
13.35416667,4.3
13.36458333,4.3
13.375,4.3
13.38541667,4.3
13.39583333,4.3
13.40625,4.3
13.41666667,4.2
13.42708333,4.2
13.4375,4.2
13.44791667,4.3
13.45833333,4.3
13.46875,4.3
13.47916667,4.3
13.48958333,4.3
13.5,4.3
13.51041667,4.3
13.52083333,4.3
13.53125,4.3
13.54166667,4.3
13.55208333,4.2
13.5625,4.2
13.57291667,4.3
13.58333333,4.3
13.59375,4.2
13.60416667,4.2
13.61458333,4.2
13.625,4.3
13.63541667,4.3
13.64583333,4.3
13.65625,4.3
13.66666667,4.2
13.67708333,4.2
13.6875,4.2
13.69791667,4.2
13.70833333,4.2
13.71875,4.2
13.72916667,4.2
13.73958333,4.2
13.75,4.2
13.76041667,4.2
13.77083333,4.2
13.78125,4.2
13.79166667,4.2
13.80208333,4.2
13.8125,4.2
13.82291667,4.3
13.83333333,4.2
13.84375,4.2
13.85416667,4.2
13.86458333,4.2
13.875,4.2
13.88541667,4.2
13.89583333,4.2
13.90625,4.2
13.91666667,4.2
13.92708333,4.2
13.9375,4.2
13.94791667,4.2
13.95833333,4.2
13.96875,4.2
13.97916667,4.2
13.98958333,4.2
14,4.2
14.01041667,4.2
14.02083333,4.2
14.03125,4.2
14.04166667,4.2
14.05208333,4.2
14.0625,4.2
14.07291667,4.2
14.08333333,4.2
14.09375,4.2
14.10416667,4.2
14.11458333,4.2
14.125,4.2
14.13541667,4.2
14.14583333,4.2
14.15625,4.2
14.16666667,4.2
14.17708333,4.2
14.1875,4.2
14.19791667,4.1
14.20833333,4.1
14.21875,4.2
14.22916667,4.1
14.23958333,4.1
14.25,4.2
14.26041667,4.1
14.27083333,4.2
14.28125,4.1
14.29166667,4.1
14.30208333,4.1
14.3125,4.2
14.32291667,4.1
14.33333333,4.1
14.34375,4.2
14.35416667,4.2
14.36458333,4.1
14.375,4.2
14.38541667,4.2
14.39583333,4.1
14.40625,4.2
14.41666667,4.1
14.42708333,4.2
14.4375,4.1
14.44791667,4.1
14.45833333,4.1
14.46875,4.1
14.47916667,4.2
14.48958333,4.2
14.5,4.2
14.51041667,4.2
14.52083333,4.2
14.53125,4.2
14.54166667,4.2
14.55208333,4.2
14.5625,4.2
14.57291667,4.2
14.58333333,4.2
14.59375,4.2
14.60416667,4.2
14.61458333,4.2
14.625,4.2
14.63541667,4.2
14.64583333,4.2
14.65625,4.2
14.66666667,4.2
14.67708333,4.2
14.6875,4.2
14.69791667,4.1
14.70833333,4.2
14.71875,4.1
14.72916667,4.1
14.73958333,4.1
14.75,4.1
14.76041667,4.1
14.77083333,4.2
14.78125,4.2
14.79166667,4.2
14.80208333,4.2
14.8125,4.2
14.82291667,4.1
14.83333333,4.1
14.84375,4.1
14.85416667,4.1
14.86458333,4.1
14.875,4.2
14.88541667,4.1
14.89583333,4.1
14.90625,4.1
14.91666667,4.1
14.92708333,4.1
14.9375,4.1
14.94791667,4.1
14.95833333,4.1
14.96875,4.1
14.97916667,4.1
14.98958333,4.1
15,4.1
15.01041667,4.1
15.02083333,4.1
15.03125,4.1
15.04166667,4.1
15.05208333,4.1
15.0625,4.1
15.07291667,4.1
15.08333333,4.1
15.09375,4.1
15.10416667,4.1
15.11458333,4
15.125,4.1
15.13541667,4
15.14583333,4
15.15625,4
15.16666667,4.1
15.17708333,4
15.1875,4.1
15.19791667,4.1
15.20833333,4.1
15.21875,4.1
15.22916667,4.1
15.23958333,4.1
15.25,4.1
15.26041667,4.1
15.27083333,4.1
15.28125,4
15.29166667,4.1
15.30208333,4
15.3125,4.1
15.32291667,4
15.33333333,4.1
15.34375,4.1
15.35416667,4.1
15.36458333,4.1
15.375,4
15.38541667,4.1
15.39583333,4.1
15.40625,4.1
15.41666667,4
15.42708333,4
15.4375,4
15.44791667,4
15.45833333,4.1
15.46875,4.1
15.47916667,4.1
15.48958333,4.1
15.5,4
15.51041667,4.1
15.52083333,4.1
15.53125,4.1
15.54166667,4.1
15.55208333,4.1
15.5625,4.1
15.57291667,4.1
15.58333333,4.1
15.59375,4.1
15.60416667,4.1
15.61458333,4.1
15.625,4.1
15.63541667,4
15.64583333,4
15.65625,4
15.66666667,4
15.67708333,4
15.6875,4
15.69791667,4
15.70833333,4
15.71875,4
15.72916667,4
15.73958333,4
15.75,4
15.76041667,3.9
15.77083333,3.9
15.78125,4
15.79166667,4
15.80208333,4
15.8125,4
15.82291667,4
15.83333333,4
15.84375,4
15.85416667,4
15.86458333,4
15.875,4
15.88541667,4
15.89583333,4
15.90625,4
15.91666667,4
15.92708333,3.9
15.9375,3.9
15.94791667,4
15.95833333,4
15.96875,4
15.97916667,3.9
15.98958333,3.9
16,3.9
16.01041667,3.9
16.02083333,3.9
16.03125,3.9
16.04166667,3.9
16.05208333,3.9
16.0625,3.9
16.07291667,3.9
16.08333333,3.9
16.09375,3.9
16.10416667,4
16.11458333,4
16.125,4
16.13541667,4
16.14583333,4
16.15625,4
16.16666667,4
16.17708333,4
16.1875,4
16.19791667,4
16.20833333,4
16.21875,4
16.22916667,4
16.23958333,4
16.25,4
16.26041667,4
16.27083333,4
16.28125,3.9
16.29166667,4
16.30208333,4
16.3125,4
16.32291667,4
16.33333333,4
16.34375,4
16.35416667,4
16.36458333,4
16.375,4
16.38541667,4
16.39583333,4
16.40625,4
16.41666667,4
16.42708333,4
16.4375,4
16.44791667,4
16.45833333,4
16.46875,4
16.47916667,4
16.48958333,4
16.5,4
16.51041667,4
16.52083333,4
16.53125,4.1
16.54166667,4
16.55208333,4
16.5625,4.1
16.57291667,4
16.58333333,4.1
16.59375,4.1
16.60416667,4.1
16.61458333,4.1
