$GATE WITHDRAWAL AT SEG317                                   ELEV OF WITHDRAWAL CENTERLINE:316.     

JDAY,     %DO,  TDG(%),
    13.450,   96.4683,   99.4416,
    13.500,   96.4651,   99.4610,
    13.550,   96.4639,   99.5087,
    13.600,   96.4630,   99.5314,
    13.650,   96.4606,   99.5096,
    13.700,   96.4576,   99.5178,
    13.750,   96.4525,   99.5266,
    13.800,   96.4478,   99.5215,
    13.850,   96.4434,   99.5152,
    13.900,   96.4389,   99.5412,
    13.950,   96.4351,   99.5364,
    14.000,   96.4315,   99.5508,
    14.050,   96.4288,   99.5477,
    14.100,   96.4256,   99.5190,
    14.150,   96.4223,   99.5185,
    14.200,   96.4196,   99.5367,
    14.250,   96.4166,   99.5383,
    14.300,   96.4129,   99.4979,
    14.350,   96.4089,   99.5097,
    14.400,   96.4069,   99.5302,
    14.450,   96.4074,   99.5339,
    14.500,   96.4101,   99.5625,
    14.550,   96.4155,   99.6014,
    14.600,   96.4220,   99.6193,
    14.650,   96.4276,   99.6299,
    14.700,   96.4276,   99.6093,
    14.750,   96.4253,   99.6006,
    14.800,   96.4228,   99.5572,
    14.850,   96.4207,   99.4814,
    14.900,   96.4207,   99.4688,
    14.950,   96.4194,   99.4673,
    15.000,   96.4169,   99.4264,
    15.050,   96.4145,   99.4277,
    15.100,   96.4137,   99.4216,
    15.150,   96.4128,   99.4399,
    15.200,   96.4111,   99.4489,
    15.250,   96.4110,   99.4490,
    15.300,   96.4117,   99.4319,
    15.350,   96.4113,   99.4373,
    15.400,   96.4108,   99.4553,
    15.450,   96.4141,   99.4395,
    15.500,   96.4222,   99.4822,
    15.550,   96.4302,   99.4737,
    15.600,   96.4369,   99.5035,
    15.650,   96.4412,   99.5140,
    15.700,   96.4429,   99.5280,
    15.750,   96.4437,   99.5323,
    15.800,   96.4455,   99.5804,
    15.850,   96.4476,   99.5891,
    15.900,   96.4490,   99.5605,
    15.950,   96.4508,   99.6020,
    16.000,   96.4532,   99.6046,
    16.050,   96.4553,   99.5898,
    16.100,   96.4576,   99.6081,
    16.150,   96.4568,   99.5703,
    16.200,   96.4551,   99.5880,
    16.250,   96.4532,   99.5472,
    16.300,   96.4512,   99.5651,
    16.350,   96.4492,   99.5362,
    16.400,   96.4475,   99.5663,
    16.450,   96.4486,   99.5984,
    16.500,   96.4537,   99.5965,
    16.550,   96.4595,   99.6171,
    16.600,   96.4655,   99.6479,
    16.650,   96.4694,   99.6422,
    16.700,   96.4675,   99.6119,
    16.750,   96.4685,   99.5938,
    16.800,   96.4656,   99.5611,
    16.850,   96.4637,   99.5610,
    16.900,   96.4609,   99.5788,
    16.950,   96.4587,   99.5495,
    17.000,   96.4552,   99.5253,
    17.050,   96.4557,   99.5141,
    17.100,   96.4532,   99.5077,
    17.150,   96.4508,   99.5252,
    17.200,   96.4495,   99.5107,
    17.250,   96.4474,   99.4999,
    17.300,   96.4451,   99.4936,
    17.350,   96.4429,   99.4963,
    17.400,   96.4411,   99.5050,
    17.450,   96.4425,   99.5061,
    17.500,   96.4484,   99.4541,
    17.550,   96.4598,   99.4613,
    17.600,   96.4696,   99.4610,
    17.650,   96.4717,   99.4561,
    17.700,   96.4701,   99.4326,
    17.750,   96.4675,   99.4116,
    17.800,   96.4622,   99.3918,
    17.850,   96.4585,   99.3509,
    17.900,   96.4551,   99.3277,
    17.950,   96.4511,   99.3538,
    18.000,   96.4478,   99.3756,
    18.050,   96.4437,   99.3884,
    18.100,   96.4403,   99.3254,
    18.150,   96.4369,   99.3686,
    18.200,   96.4330,   99.3317,
    18.250,   96.4289,   99.3337,
    18.300,   96.4253,   99.3381,
    18.350,   96.4229,   99.3308,
    18.400,   96.4220,   99.3372,
    18.450,   96.4239,   99.3410,
    18.500,   96.4341,   99.3418,
    18.550,   96.4541,   99.2898,
    18.600,   96.4776,   99.3147,
    18.650,   96.4931,   99.3704,
    18.700,   96.5009,   99.3846,
    18.750,   96.5055,   99.3698,
    18.800,   96.5087,   99.3542,
    18.850,   96.5095,   99.3201,
    18.900,   96.5045,   99.2889,
    18.950,   96.4906,   99.2640,
    19.000,   96.4784,   99.2436,
    19.050,   96.4702,   99.2320,
    19.100,   96.4624,   99.2168,
    19.150,   96.4570,   99.1874,
    19.200,   96.4509,   99.1625,
    19.250,   96.4426,   99.1408,
    19.300,   96.4293,   99.1207,
    19.350,   96.4191,   99.1173,
    19.400,   96.4548,   99.1660,
    19.450,   96.4978,   99.1630,
    19.500,   96.5145,   99.1504,
    19.550,   96.4986,   99.1722,
