$Branch 1 water balance flow
 
JDAY,QDT,
 402.000,  -9.097,
 403.000, -13.484,
 404.000, -15.680,
 405.000, -18.758,
 406.000,  -2.256,
 407.000,   3.292,
 408.000,   5.488,
 409.000,   8.566,
 410.000,   4.788,
 411.000,  -0.760,
 412.000,  -6.837,
 413.000,  -6.403,
 414.000,   1.306,
 415.000,   1.306,
 416.000,  -1.324,
 417.000,  -1.758,
 418.000,  -2.807,
 419.000,  -2.807,
 420.000,   6.378,
 421.000,  14.888,
 422.000,   8.665,
 423.000,   8.665,
 424.000,   0.050,
 425.000,  -8.460,
 426.000, -12.544,
 427.000, -12.544,
 428.000,   2.229,
 429.000,   2.229,
 430.000,  -3.555,
 431.000,  -9.472,
 432.000, -16.715,
 433.000, -16.086,
 434.000,  -3.838,
 435.000,   2.080,
 436.000,   2.687,
 437.000,   2.057,
 438.000,   0.000,
 439.000,   0.000,
 440.000,   0.000,
 441.000,   0.000,
 442.000,   0.000,
 443.000,   0.000,
 444.000,  -8.943,
 445.000, -16.576,
 446.000, -16.576,
 447.000, -16.576,
 448.000, -10.113,
 449.000,  -3.944,
 450.000,  -4.156,
 451.000,  -4.855,
 452.000,  -4.445,
 453.000,  -2.757,
 454.000,  -3.389,
 455.000,  -2.691,
 456.000,   1.133,
 457.000,   0.907,
 458.000,   1.753,
 459.000,   1.753,
 460.000,   0.000,
 461.000,  -3.858,
 462.000,  -4.730,
 463.000,  -7.295,
 464.000, -12.551,
 465.000, -16.111,
 466.000, -15.623,
 467.000, -12.390,
 468.000,  -8.044,
 469.000,  -0.577,
 470.000,  -0.193,
 471.000,  -0.861,
 472.000,   0.050,
 473.000,   0.000,
 474.000,   2.287,
 475.000,   2.287,
 476.000,   2.287,
 477.000,   2.287,
 478.000,   0.000,
 479.000,   0.000,
 480.000,   9.740,
 481.000,  24.942,
 482.000,  38.677,
 483.000,  49.844,
 484.000,  39.015,
 485.000,   4.757,
 486.000,  -8.978,
 487.000, -19.674,
 488.000, -20.846,
 489.000,  -1.791,
 490.000,  -1.791,
 491.000,  -3.601,
 492.000,  -2.531,
 493.000,  -3.558,
 494.000,  -4.388,
 495.000,  -3.049,
 496.000,  -1.858,
 497.000,   2.618,
 498.000,   3.448,
