$Grand Coulee Dam Outflow Constituents
 
JDAY,      N2,      DO,
    27.250, 20.02    , 12.02    ,
    27.300, 20.02    , 12.02    ,
    27.350, 20.03    , 12.03    ,
    27.400, 20.03    , 12.03    ,
    27.450, 20.02    , 12.03    ,
    27.500, 20.02    , 12.02    ,
    27.550, 20.02    , 12.02    ,
    27.600, 20.02    , 12.02    ,
    27.650, 20.02    , 12.03    ,
    27.700, 20.03    , 12.03    ,
    27.750, 20.03    , 12.04    ,
    27.800, 20.05    , 12.05    ,
    27.850, 20.06    , 12.07    ,
    27.900, 20.07    , 12.08    ,
    27.950, 20.07    , 12.09    ,
    28.000, 20.08    , 12.09    ,
    28.050, 20.08    , 12.10    ,
    28.100, 20.09    , 12.10    ,
    28.150, 20.09    , 12.11    ,
    28.200, 20.10    , 12.11    ,
    28.250, 20.11    , 12.12    ,
    28.300, 20.12    , 12.14    ,
    28.350, 20.13    , 12.15    ,
    28.400, 20.15    , 12.17    ,
    28.450, 20.15    , 12.18    ,
    28.500, 20.15    , 12.18    ,
    28.550, 20.16    , 12.18    ,
    28.600, 20.17    , 12.19    ,
    28.650, 20.17    , 12.20    ,
    28.700, 20.18    , 12.20    ,
    28.750, 20.19    , 12.21    ,
    28.800, 20.19    , 12.22    ,
    28.850, 20.19    , 12.21    ,
    28.900, 20.19    , 12.22    ,
    28.950, 20.19    , 12.22    ,
    29.000, 20.19    , 12.22    ,
    29.050, 20.20    , 12.22    ,
    29.100, 20.20    , 12.22    ,
    29.150, 20.21    , 12.24    ,
    29.201, 20.22    , 12.24    ,
    29.250, 20.22    , 12.25    ,
    29.300, 20.24    , 12.27    ,
    29.350, 20.25    , 12.27    ,
    29.400, 20.25    , 12.28    ,
    29.450, 20.25    , 12.28    ,
    29.500, 20.26    , 12.28    ,
    29.550, 20.26    , 12.29    ,
    29.600, 20.27    , 12.29    ,
    29.650, 20.28    , 12.31    ,
    29.700, 20.29    , 12.32    ,
    29.750, 20.30    , 12.32    ,
    29.800, 20.29    , 12.32    ,
    29.850, 20.29    , 12.31    ,
    29.900, 20.28    , 12.31    ,
    29.950, 20.28    , 12.30    ,
    30.000, 20.27    , 12.28    ,
    30.050, 20.25    , 12.27    ,
    30.100, 20.25    , 12.27    ,
    30.150, 20.26    , 12.27    ,
    30.200, 20.24    , 12.26    ,
    30.250, 20.25    , 12.26    ,
    30.300, 20.25    , 12.27    ,
    30.350, 20.25    , 12.26    ,
    30.400, 20.24    , 12.26    ,
    30.450, 20.23    , 12.24    ,
    30.500, 20.22    , 12.23    ,
    30.550, 20.21    , 12.22    ,
    30.600, 20.21    , 12.21    ,
    30.650, 20.21    , 12.21    ,
    30.700, 20.22    , 12.23    ,
    30.750, 20.22    , 12.23    ,
    30.800, 20.22    , 12.22    ,
    30.850, 20.21    , 12.21    ,
    30.900, 20.20    , 12.20    ,
