$USGS 12434590 - SANPOIL RIVER ABOVE JACK CREEK AT KELLER WA  1/1/2012-12/31/2015,,
,,
JDAY,QIN,
418.5625,1.33938558164164,
418.572916666664,1.33938558164164,
418.583333333336,1.3677024015495,
418.59375,1.3677024015495,
418.604166666664,1.3677024015495,
418.614583333336,1.33938558164164,
418.625,1.33938558164164,
418.635416666664,1.3677024015495,
418.645833333336,1.3677024015495,
418.65625,1.3677024015495,
418.666666666664,1.3677024015495,
418.677083333336,1.3677024015495,
418.6875,1.3677024015495,
418.697916666664,1.3677024015495,
418.708333333336,1.3677024015495,
418.71875,1.39885090344814,
418.729166666664,1.39885090344814,
418.739583333336,1.39885090344814,
418.75,1.39885090344814,
418.760416666664,1.39885090344814,
418.770833333336,1.39885090344814,
418.78125,1.39885090344814,
418.791666666664,1.39885090344814,
418.802083333336,1.39885090344814,
418.8125,1.39885090344814,
418.822916666664,1.39885090344814,
418.833333333336,1.39885090344814,
418.84375,1.39885090344814,
418.854166666664,1.427167723356,
418.864583333336,1.39885090344814,
418.875,1.39885090344814,
418.885416666664,1.39885090344814,
418.895833333336,1.427167723356,
418.90625,1.427167723356,
418.916666666664,1.427167723356,
418.927083333336,1.427167723356,
418.9375,1.427167723356,
418.947916666664,1.427167723356,
418.958333333336,1.427167723356,
418.96875,1.45548454326385,
418.979166666664,1.45548454326385,
418.989583333336,1.45548454326385,
419,1.45548454326385,
419.010416666664,1.45548454326385,
419.020833333336,1.45548454326385,
419.03125,1.45548454326385,
419.041666666664,1.45548454326385,
419.052083333336,1.45548454326385,
419.0625,1.427167723356,
419.072916666664,1.45548454326385,
419.083333333336,1.45548454326385,
419.09375,1.427167723356,
419.104166666664,1.427167723356,
419.114583333336,1.427167723356,
419.125,1.427167723356,
419.135416666664,1.427167723356,
419.145833333336,1.427167723356,
419.15625,1.427167723356,
419.166666666664,1.427167723356,
419.177083333336,1.427167723356,
419.1875,1.427167723356,
419.197916666664,1.427167723356,
419.208333333336,1.427167723356,
419.21875,1.427167723356,
419.229166666664,1.427167723356,
419.239583333336,1.427167723356,
419.25,1.427167723356,
419.260416666664,1.39885090344814,
419.270833333336,1.39885090344814,
419.28125,1.39885090344814,
419.291666666664,1.39885090344814,
419.302083333336,1.39885090344814,
419.3125,1.39885090344814,
419.322916666664,1.39885090344814,
419.333333333336,1.39885090344814,
419.34375,1.39885090344814,
419.354166666664,1.39885090344814,
419.364583333336,1.39885090344814,
419.375,1.3677024015495,
419.385416666664,1.3677024015495,
419.395833333336,1.39885090344814,
419.40625,1.3677024015495,
419.416666666664,1.3677024015495,
419.427083333336,1.39885090344814,
419.4375,1.39885090344814,
419.447916666664,1.3677024015495,
419.458333333336,1.39885090344814,
419.46875,1.3677024015495,
419.479166666664,1.3677024015495,
419.489583333336,1.3677024015495,
419.5,1.3677024015495,
419.510416666664,1.3677024015495,
419.520833333336,1.3677024015495,
419.53125,1.3677024015495,
419.541666666664,1.3677024015495,
419.552083333336,1.3677024015495,
419.5625,1.3677024015495,
419.572916666664,1.3677024015495,
419.583333333336,1.3677024015495,
419.59375,1.39885090344814,
419.604166666664,1.3677024015495,
419.614583333336,1.3677024015495,
419.625,1.3677024015495,
419.635416666664,1.39885090344814,
419.645833333336,1.3677024015495,
419.65625,1.39885090344814,
419.666666666664,1.3677024015495,
419.677083333336,1.3677024015495,
419.6875,1.3677024015495,
419.697916666664,1.39885090344814,
419.708333333336,1.3677024015495,
419.71875,1.3677024015495,
419.729166666664,1.39885090344814,
419.739583333336,1.3677024015495,
419.75,1.39885090344814,
419.760416666664,1.3677024015495,
419.770833333336,1.3677024015495,
419.78125,1.39885090344814,
419.791666666664,1.3677024015495,
419.802083333336,1.3677024015495,
419.8125,1.3677024015495,
419.822916666664,1.39885090344814,
419.833333333336,1.3677024015495,
419.84375,1.3677024015495,
419.854166666664,1.3677024015495,
419.864583333336,1.3677024015495,
419.875,1.3677024015495,
419.885416666664,1.39885090344814,
419.895833333336,1.39885090344814,
419.90625,1.3677024015495,
419.916666666664,1.3677024015495,
419.927083333336,1.3677024015495,
419.9375,1.39885090344814,
419.947916666664,1.39885090344814,
419.958333333336,1.3677024015495,
419.96875,1.3677024015495,
419.979166666664,1.3677024015495,
419.989583333336,1.39885090344814,
420,1.39885090344814,
420.010416666664,1.39885090344814,
420.020833333336,1.3677024015495,
420.03125,1.39885090344814,
420.041666666664,1.39885090344814,
420.052083333336,1.39885090344814,
420.0625,1.3677024015495,
420.072916666664,1.3677024015495,
420.083333333336,1.39885090344814,
420.09375,1.3677024015495,
420.104166666664,1.39885090344814,
420.114583333336,1.3677024015495,
420.125,1.3677024015495,
420.135416666664,1.3677024015495,
420.145833333336,1.3677024015495,
420.15625,1.3677024015495,
420.166666666664,1.3677024015495,
420.177083333336,1.3677024015495,
420.1875,1.3677024015495,
420.197916666664,1.3677024015495,
420.208333333336,1.3677024015495,
420.21875,1.3677024015495,
420.229166666664,1.3677024015495,
420.239583333336,1.3677024015495,
420.25,1.3677024015495,
420.260416666664,1.33938558164164,
420.270833333336,1.3677024015495,
420.28125,1.3677024015495,
420.291666666664,1.33938558164164,
420.302083333336,1.33938558164164,
420.3125,1.33938558164164,
420.322916666664,1.33938558164164,
420.333333333336,1.33938558164164,
420.34375,1.33938558164164,
420.354166666664,1.33938558164164,
420.364583333336,1.33938558164164,
420.375,1.33938558164164,
420.385416666664,1.3677024015495,
420.395833333336,1.33938558164164,
420.40625,1.33938558164164,
420.416666666664,1.33938558164164,
420.427083333336,1.33938558164164,
420.4375,1.33938558164164,
420.447916666664,1.33938558164164,
420.458333333336,1.33938558164164,
420.46875,1.33938558164164,
420.479166666664,1.33938558164164,
420.489583333336,1.33938558164164,
420.5,1.33938558164164,
420.510416666664,1.33938558164164,
420.520833333336,1.31106876173378,
420.53125,1.31106876173378,
420.541666666664,1.33938558164164,
420.552083333336,1.33938558164164,
420.5625,1.33938558164164,
420.572916666664,1.33938558164164,
420.583333333336,1.33938558164164,
420.59375,1.33938558164164,
420.604166666664,1.33938558164164,
420.614583333336,1.33938558164164,
420.625,1.33938558164164,
420.635416666664,1.33938558164164,
420.645833333336,1.33938558164164,
420.65625,1.33938558164164,
420.666666666664,1.33938558164164,
420.677083333336,1.33938558164164,
420.6875,1.33938558164164,
420.697916666664,1.33938558164164,
420.708333333336,1.33938558164164,
420.71875,1.33938558164164,
420.729166666664,1.3677024015495,
420.739583333336,1.3677024015495,
420.75,1.3677024015495,
420.760416666664,1.3677024015495,
420.770833333336,1.3677024015495,
420.78125,1.3677024015495,
420.791666666664,1.3677024015495,
420.802083333336,1.3677024015495,
420.8125,1.39885090344814,
420.822916666664,1.39885090344814,
420.833333333336,1.39885090344814,
420.84375,1.39885090344814,
420.854166666664,1.39885090344814,
420.864583333336,1.427167723356,
420.875,1.427167723356,
420.885416666664,1.427167723356,
420.895833333336,1.45548454326385,
420.90625,1.45548454326385,
420.916666666664,1.45548454326385,
420.927083333336,1.45548454326385,
420.9375,1.4866330451625,
420.947916666664,1.45548454326385,
420.958333333336,1.45548454326385,
420.96875,1.45548454326385,
420.979166666664,1.45548454326385,
420.989583333336,1.45548454326385,
421,1.45548454326385,
421.010416666664,1.45548454326385,
421.020833333336,1.4866330451625,
421.03125,1.4866330451625,
421.041666666664,1.4866330451625,
421.052083333336,1.4866330451625,
421.0625,1.427167723356,
421.072916666664,1.45548454326385,
421.083333333336,1.45548454326385,
421.09375,1.45548454326385,
421.104166666664,1.45548454326385,
421.114583333336,1.45548454326385,
421.125,1.45548454326385,
421.135416666664,1.427167723356,
421.145833333336,1.45548454326385,
421.15625,1.45548454326385,
421.166666666664,1.427167723356,
421.177083333336,1.427167723356,
421.1875,1.45548454326385,
421.197916666664,1.45548454326385,
421.208333333336,1.45548454326385,
421.21875,1.45548454326385,
421.229166666664,1.427167723356,
421.239583333336,1.45548454326385,
421.25,1.45548454326385,
421.260416666664,1.45548454326385,
421.270833333336,1.45548454326385,
421.28125,1.45548454326385,
421.291666666664,1.427167723356,
421.302083333336,1.45548454326385,
421.3125,1.45548454326385,
421.322916666664,1.45548454326385,
421.333333333336,1.427167723356,
421.34375,1.427167723356,
421.354166666664,1.45548454326385,
421.364583333336,1.45548454326385,
421.375,1.45548454326385,
421.385416666664,1.45548454326385,
421.395833333336,1.427167723356,
421.40625,1.45548454326385,
421.416666666664,1.45548454326385,
421.427083333336,1.45548454326385,
421.4375,1.45548454326385,
421.447916666664,1.45548454326385,
421.458333333336,1.45548454326385,
421.46875,1.45548454326385,
421.479166666664,1.45548454326385,
421.489583333336,1.45548454326385,
421.5,1.45548454326385,
421.510416666664,1.45548454326385,
421.520833333336,1.45548454326385,
421.53125,1.45548454326385,
421.541666666664,1.45548454326385,
421.552083333336,1.45548454326385,
421.5625,1.45548454326385,
421.572916666664,1.45548454326385,
421.583333333336,1.45548454326385,
421.59375,1.45548454326385,
421.604166666664,1.4866330451625,
421.614583333336,1.45548454326385,
421.625,1.4866330451625,
421.635416666664,1.4866330451625,
421.645833333336,1.4866330451625,
421.65625,1.4866330451625,
421.666666666664,1.4866330451625,
421.677083333336,1.4866330451625,
421.6875,1.4866330451625,
421.697916666664,1.4866330451625,
421.708333333336,1.4866330451625,
421.71875,1.4866330451625,
421.729166666664,1.4866330451625,
421.739583333336,1.4866330451625,
421.75,1.4866330451625,
421.760416666664,1.4866330451625,
421.770833333336,1.4866330451625,
421.78125,1.4866330451625,
421.791666666664,1.4866330451625,
421.802083333336,1.51778154706114,
421.8125,1.4866330451625,
421.822916666664,1.51778154706114,
421.833333333336,1.51778154706114,
421.84375,1.4866330451625,
421.854166666664,1.51778154706114,
421.864583333336,1.51778154706114,
421.875,1.51778154706114,
421.885416666664,1.51778154706114,
421.895833333336,1.51778154706114,
421.90625,1.51778154706114,
421.916666666664,1.54893004895978,
