$Grand Coulee Dam Flows
 
JDAY,QWO,
    22.550,   4303.16,
    22.600,   4161.71,
    22.650,   3927.19,
    22.700,   3949.69,
    22.750,   4135.63,
    22.800,   4604.21,
    22.850,   4453.01,
    22.900,   4206.18,
    22.950,   3138.11,
    23.000,   2747.82,
    23.050,   2363.68,
    23.100,   1763.67,
    23.150,   1753.31,
    23.200,   1771.49,
    23.250,   1975.52,
    23.300,   2678.50,
    23.350,   3540.55,
    23.400,   3971.33,
    23.450,   3907.13,
    23.500,   4054.61,
    23.550,   3621.57,
    23.600,   3254.74,
    23.650,   3386.05,
    23.700,   3500.51,
    23.750,   4113.22,
    23.800,   4487.83,
    23.850,   4167.38,
    23.900,   3390.67,
    23.950,   2816.19,
    24.000,   2081.12,
    24.050,   1723.50,
    24.100,   1828.74,
    24.150,   2025.70,
    24.200,   2419.46,
    24.250,   3480.90,
    24.300,   4869.19,
    24.350,   5073.51,
    24.400,   5122.70,
    24.450,   4946.83,
    24.500,   5020.36,
    24.550,   4906.59,
    24.600,   4522.92,
    24.650,   4228.52,
    24.700,   4236.15,
    24.750,   4895.97,
    24.800,   4862.07,
    24.850,   4756.05,
    24.900,   4235.02,
    24.950,   3616.48,
    25.000,   2795.32,
    25.050,   2215.76,
    25.100,   1923.89,
    25.150,   2183.28,
    25.200,   2877.88,
    25.250,   4524.73,
    25.300,   4206.51,
    25.350,   4483.71,
    25.400,   4410.84,
    25.450,   4330.75,
    25.500,   4363.36,
    25.550,   4473.40,
    25.600,   4487.10,
    25.650,   4500.59,
    25.700,   4498.43,
    25.750,   4558.94,
    25.800,   4635.21,
    25.850,   4705.95,
    25.900,   4406.03,
    25.950,   3764.51,
    26.000,   3506.92,
    26.050,   4023.18,
    26.100,   3993.51,
    26.150,   3990.31,
    26.200,   4854.46,
    26.250,   5170.54,
    26.300,   4849.96,
    26.350,   4954.85,
    26.400,   5054.16,
    26.450,   5058.60,
    26.500,   5145.07,
    26.550,   5047.98,
    26.600,   4766.44,
    26.650,   4614.22,
    26.700,   4529.02,
    26.750,   4727.55,
    26.800,   4916.91,
    26.850,   4818.40,
    26.900,   4536.89,
    26.950,   3997.63,
    27.000,   3702.63,
    27.050,   3724.38,
    27.100,   4130.09,
    27.150,   4421.49,
    27.200,   4722.34,
    27.250,   4645.12,
    27.300,   4658.07,
    27.350,   4788.47,
    27.400,   4826.74,
    27.450,   4494.48,
    27.500,   4265.05,
    27.550,   4033.15,
    27.600,   3931.46,
    27.650,   3825.24,
    27.700,   4011.73,
    27.750,   4926.35,
    27.800,   5427.39,
    27.850,   5182.82,
    27.900,   4439.96,
    27.950,   3930.08,
    28.000,   3726.63,
    28.050,   3149.29,
    28.100,   3190.47,
    28.150,   3385.99,
    28.200,   3904.92,
    28.250,   4577.14,
    28.300,   4962.34,
    28.350,   4752.33,
    28.400,   4639.97,
    28.450,   4550.43,
    28.500,   4414.77,
    28.550,   4323.89,
    28.600,   4167.69,
    28.650,   4134.18,
    28.700,   4277.81,
    28.750,   4792.80,
    28.800,   4810.22,
    28.850,   4123.51,
    28.900,   3810.17,
    28.950,   3716.30,
    29.000,   3458.28,
    29.050,   3068.45,
