$LGS.Elev-Tailwater.Ave.~1Day.1Day.CBT-REV [ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,TWElev,
41062,540.622887,
41063,540.662887,
41064,540.612887,
41065,540.602887,
41066,540.692887,
41067,540.662887,
41068,540.642887,
41069,540.652887,
41070,540.582887,
41071,540.712887,
41072,540.672887,
41073,540.742887,
41074,540.702887,
41075,540.692887,
41076,540.602887,
41077,540.712887,
41078,540.682887,
41079,540.722887,
41080,540.652887,
41081,540.652887,
41082,540.592887,
41083,540.692887,
41084,540.602887,
41085,540.602887,
41086,540.612887,
41087,540.652887,
41088,540.622887,
41089,540.642887,
41090,540.682887,
41091,540.682887,
41092,540.612887,
41093,540.582887,
41094,540.632887,
41095,540.732887,
41096,540.662887,
41097,540.692887,
41098,540.652887,
41099,540.642887,
41100,540.642887,
41101,540.592887,
41102,540.622887,
41103,540.642887,
41104,540.622887,
41105,540.592887,
41106,540.722887,
41107,540.682887,
41108,540.672887,
41109,540.672887,
41110,540.642887,
41111,540.582887,
41112,540.702887,
41113,540.512887,
41114,540.642887,
41115,540.632887,
41116,540.692887,
41117,540.692887,
41118,540.642887,
41119,540.712887,
41120,540.792887,
41121,540.912887,
41122,540.942887,
41123,540.862887,
41124,540.962887,
41125,540.852887,
41126,540.802887,
41127,540.862887,
41128,540.892887,
41129,540.952887,
41130,540.802887,
41131,540.962887,
41132,540.862887,
41133,540.792887,
41134,540.872887,
41135,540.862887,
41136,540.892887,
41137,540.892887,
41138,540.952887,
41139,540.912887,
41140,540.902887,
41141,540.912887,
41142,540.922887,
41143,540.922887,
41144,540.902887,
41145,540.872887,
41146,540.982887,
41147,540.982887,
41148,540.872887,
41149,540.852887,
41150,540.932887,
41151,541.012887,
41152,540.952887,
41153,540.882887,
41154,540.842887,
41155,540.972887,
41156,541.392887,
41157,542.222887,
41158,542.262887,
41159,542.092887,
41160,542.012887,
41161,542.052887,
41162,542.082887,
41163,541.912887,
41164,541.572887,
41165,541.352887,
41166,541.122887,
41167,541.052887,
41168,541.192887,
41169,541.412887,
41170,541.062887,
41171,540.852887,
41172,540.912887,
41173,540.842887,
41174,540.872887,
41175,541.172887,
41176,541.242887,
41177,541.112887,
41178,540.972887,
41179,540.852887,
41180,540.772887,
41181,540.952887,
41182,541.402887,
41183,541.692887,
41184,541.352887,
41185,541.232887,
41186,541.422887,
41187,541.262887,
41188,541.152887,
41189,541.122887,
41190,541.082887,
41191,541.172887,
41192,541.432887,
41193,541.592887,
41194,541.492887,
41195,541.232887,
41196,541.322887,
41197,541.502887,
41198,541.732887,
41199,541.952887,
41200,542.132887,
41201,542.142887,
41202,542.112887,
41203,542.252887,
41204,542.282887,
41205,542.202887,
41206,542.192887,
41207,542.162887,
41208,542.242887,
41209,542.322887,
41210,542.332887,
41211,542.332887,
41212,542.242887,
41213,542.212887,
41214,542.152887,
41215,542.082887,
41216,542.192887,
41217,542.332887,
41218,542.312887,
41219,542.222887,
41220,542.202887,
41221,542.162887,
