$ LITTLE GOOSE-POOLELEV.npt based on $//LITTLE GOOSE-POOL/ELEV//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,ELEV
41221,195.103
41222,195.085
41223,195.084
41224,195.073
41225,195.166
41226,195.21
41227,195.177
41228,195.141
41229,195.008
41230,194.871
41231,194.725
41232,194.657
41233,194.657
41234,194.806
41235,194.474
41236,194.608
41237,194.951
41238,195.009
41239,195.011
41240,195.119
41241,195.124
41242,195.086
41243,194.929
41244,194.768
41245,194.682
41246,194.699
41247,194.668
41248,194.635
41249,194.77
41250,194.735
41251,194.631
41252,194.574
41253,194.639
41254,194.692
41255,194.793
41256,194.777
41257,194.73
41258,194.701
41259,194.434
41260,194.537
41261,194.758
41262,194.907
41263,194.949
41264,194.921
41265,194.946
41266,195.087
41267,194.977
41268,195.059
41269,195.194
41270,195.127
41271,195.1
41272,195.091
41273,194.985
41274,194.878
41275,194.903
41276,194.89
41277,194.749
41278,194.901
41279,194.624
41280,194.428
41281,194.548
41282,194.571
41283,194.782
41284,194.944
41285,195.125
41286,195.124
41287,195.083
41288,195.034
41289,195.149
41290,195.093
41291,194.941
41292,194.757
41293,194.752
41294,194.688
41295,194.662
41296,194.815
41297,194.805
41298,194.713
41299,194.674
41300,194.585
41301,194.684
41302,194.901
41303,194.978
41304,195.022
41305,195.061
41306,195.057
41307,195.089
41308,195.122
41309,195.092
41310,195.225
41311,195.207
41312,195.168
41313,195.152
41314,195.175
41315,195.117
41316,195.08
41317,195.066
41318,195.127
41319,195.159
41320,195.122
41321,195.068
41322,195.107
41323,194.992
41324,194.902
41325,195.001
41326,194.955
41327,194.895
41328,194.883
41329,194.944
41330,194.938
41331,195.037
41332,195.027
41333,195.058
41334,195.101
41335,195.088
41336,195.146
41337,195.116
41338,195.167
41339,195.076
41340,195.017
41341,194.973
41342,195.053
41343,195.098
41344,195.102
41345,195.115
41346,195.185
41347,195.072
41348,195.023
41349,194.996
41350,194.941
41351,194.877
41352,194.813
41353,194.898
41354,194.597
41355,194.389
41356,194.548
41357,194.587
41358,194.456
41359,194.456
41360,194.533
41361,194.542
41362,194.731
41363,195.163
41364,195.06
41365,195.069
41366,194.962
41367,194.414
41368,194.136
41369,194.24
41370,194.121
41371,194.054
41372,194.03
41373,194.039
41374,194.078
41375,194.063
41376,194.045
41377,194.094
41378,194.033
41379,194.1
41380,194.1
41381,194.042
41382,194.139
41383,194.161
41384,194.094
41385,194.121
41386,194.139
41387,194.088
41388,194.085
41389,194.048
41390,194.069
41391,194.109
41392,194.045
41393,194.081
41394,194.133
41395,194.054
41396,194.03
41397,194.057
41398,194.1
41399,194.106
41400,194.1
41401,194.085
41402,194.109
41403,194.112
41404,194.069
41405,194.091
41406,194.017
41407,194.033
41408,194.036
41409,194.085
41410,194.027
41411,193.996
41412,194.017
41413,194.005
41414,193.993
41415,194.036
41416,194.1
41417,194.008
41418,194.075
41419,194.121
41420,194.081
41421,194.103
41422,193.99
41423,194.048
41424,194.103
41425,194.078
41426,194.011
41427,194.06
41428,194.002
41429,194.042
41430,194.1
41431,194.097
41432,194.048
41433,194.078
41434,194.078
41435,194.069
41436,194.027
41437,194.036
41438,194.002
41439,194.072
41440,194.063
41441,194.094
41442,194.057
41443,194.039
41444,194.039
41445,193.999
41446,194.03
41447,194.088
41448,194.091
41449,194.063
41450,194.057
41451,194.1
41452,194.02
41453,194.097
41454,194.081
41455,194.118
41456,194.066
41457,194.057
41458,194.036
41459,194.078
41460,194.042
41461,194.057
41462,194.002
41463,194.075
41464,194.033
41465,194.091
41466,194.066
41467,194.014
41468,194.097
41469,194.179
41470,194.188
41471,194.237
41472,194.173
41473,194.142
41474,194.182
41475,194.194
41476,194.234
41477,194.219
41478,194.203
41479,194.197
41480,194.219
41481,194.28
41482,194.258
41483,194.167
41484,194.249
41485,194.283
41486,194.216
41487,194.203
41488,194.225
41489,194.289
41490,194.307
41491,194.203
41492,194.27
41493,194.292
41494,194.158
41495,194.216
41496,194.24
41497,194.267
41498,194.273
41499,194.289
41500,194.331
41501,194.267
41502,194.246
41503,194.27
41504,194.289
41505,194.344
41506,194.289
41507,194.328
41508,194.27
41509,194.304
41510,194.435
41511,194.365
41512,194.304
41513,194.389
41514,194.398
41515,194.353
41516,194.334
41517,194.316
41518,194.337
41519,194.405
41520,194.6
41521,194.965
41522,195.151
41523,195.121
41524,194.99
41525,194.938
41526,195.103
41527,195.173
41528,195.121
41529,194.99
41530,194.917
41531,194.889
41532,194.664
41533,194.597
41534,194.901
41535,194.95
41536,194.883
41537,195.081
41538,194.968
41539,194.536
41540,194.7
41541,194.965
41542,195.17
41543,195.191
41544,195.188
41545,195.118
41546,195.096
41547,195.008
41548,194.923
41549,194.993
41550,195.039
41551,195.136
41552,195.069
41553,195.096
41554,195.121
41555,195.142
41556,195.16
41557,195.118
41558,195.096
41559,195.072
41560,194.975
41561,195.06
41562,195.057
41563,195.002
41564,194.883
41565,194.85
41566,194.85
41567,194.978
41568,195.136
41569,195.151
41570,195.087
41571,195.002
41572,195.008
41573,194.932
41574,194.901
41575,194.88
