$ QGT_LGS_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_LGS_2011_2015_daily_ave.csv ; all outlets scaled to total flow from LITTLE GOOSE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40565, 40952, 41182, 41731, 41865, 42153, 42296 that are  2, 2, 2, 2, 7, 3, 34 days long
"JDAY","POW","SPB1TSW1","SPB1TSW2","SPB2","SPB3","SPB4","SPB5","SPB6","SPB7","SPB8","MISC"
152.000000,973.796,295.986,372.313,372.313,357.123,344.5,344.175,344.016,333.909,295.986,18.286
153.000000,2277.963,287.517,205.539,160.88,157.673,157.673,157.673,154.622,153.174,287.517,16.255
154.000000,2128.562,268.399,213.964,213.814,213.514,213.365,208.563,186.573,181.822,268.399,12.077
155.000000,2340.807,301.028,222.365,222.197,208.175,200.632,200.464,194.784,186.737,301.028,14.279
156.000000,2296.391,303.924,219.441,210.46,207.593,207.593,184.199,184.199,184.199,303.924,15.259
157.000000,2380.289,299.139,211.773,202.333,202.168,198.668,197.839,197.839,123.016,299.139,14.931
158.000000,2071.083,261.755,260.576,260.576,260.576,248.653,243.935,243.935,240.917,261.755,15.845
159.000000,2089.445,265.832,340.218,340.074,340.074,339.353,337.924,337.924,323.931,265.832,16.585
160.000000,2371.112,300.097,368.579,368.416,368.416,353.107,353.107,353.107,338.814,300.097,16.855
161.000000,2507.52,316.845,373.032,373.032,373.032,356.699,327.287,327.287,327.287,316.845,17.324
162.000000,2543.92,319.998,302.99,302.99,302.814,287.846,284.173,284.173,274.511,319.998,15.264
163.000000,2500.13,314.954,288.556,288.556,288.556,255.147,255.147,255.147,255.147,314.954,20.955
164.000000,2374.699,307.916,282.58,282.58,280.088,275.217,274.538,273.329,245.592,307.916,14.326
165.000000,2234.277,285.82,311.292,311.292,299.726,295.494,268.945,268.945,267.689,285.82,16.352
166.000000,2283.84,287.627,307.941,307.941,307.941,291.842,272.494,268.716,265.712,287.627,14.563
167.000000,2472.5,309.891,308.232,305.185,305.185,276.555,271.475,259.217,259.217,309.891,17.645
168.000000,2521.262,316.415,277.947,277.947,277.947,256.328,240.574,240.574,240.574,316.415,19.894
169.000000,2620.966,329.221,212.723,202.51,202.51,202.51,196.123,196.123,185.836,329.221,17.555
170.000000,2540.391,318.161,193.965,172.62,172.62,172.62,172.62,172.62,142.692,318.161,19.375
171.000000,2333.178,291.392,202.138,191.784,191.784,191.784,191.784,189.519,155.323,291.392,26.977
172.000000,1984.892,288.374,240.114,239.639,238.828,238.828,230.898,215.526,211.527,288.374,14.41
173.000000,2654.432,280.796,149.121,149.121,140.117,128.484,127.852,103.683,103.683,280.796,15.769
174.000000,2623.439,274.029,192.698,192.698,192.698,163.181,163.181,163.181,163.181,274.029,15.486
175.000000,2689.735,280.14,226.944,226.944,226.944,226.944,191.559,191.559,191.559,280.14,16.175
176.000000,2963.806,306.649,216.509,216.509,216.509,216.509,199.476,199.476,167.338,306.649,15.426
177.000000,3120.939,325.374,169.648,169.648,163.424,163.424,158.482,158.482,148.157,325.374,19.582
178.000000,2971.897,313.45,157.653,157.653,137.406,137.406,135.117,130.91,130.91,313.45,15.727
179.000000,2880.814,304.579,149.122,149.122,102.868,99.78,99.78,99.78,99.78,304.579,18.682
180.000000,2699.175,291.371,161.353,161.353,144.165,114.291,114.291,114.291,114.291,291.371,14.622
181.000000,2741.013,289.419,173.042,159.157,149.566,147.463,143.732,143.732,143.732,289.419,19.321
182.000000,2865.841,297.885,167.819,167.819,167.819,167.819,138.072,137.905,132.424,297.885,18.298
183.000000,2941.814,322.83,150.062,149.88,110.299,110.299,105.761,105.761,97.696,322.83,13.003
184.000000,2685.977,315.983,154.76,154.76,103.511,103.511,103.511,103.511,103.511,315.983,13.212
185.000000,2462.172,297.35,147.603,129.374,99.589,99.589,99.421,99.421,99.421,297.35,15.057
186.000000,2410.916,299.166,146.431,134.666,134.666,98.016,98.016,98.016,98.016,299.166,19.985
187.000000,2350.879,293.941,143.882,143.056,110.015,96.3,96.3,96.3,96.3,293.941,14.868
188.000000,2315.881,304.294,118.166,100.885,100.372,100.372,100.372,87.955,100.033,304.294,15.397
189.000000,2261.391,314.542,128.684,103.047,103.047,85.751,103.047,71.078,103.047,314.542,18.128
190.000000,2085.232,315.94,117.181,88.595,103.506,78.222,103.506,66.029,103.506,315.94,13.405
191.000000,1886.868,311.048,123.202,88.839,102.383,72.549,82.788,72.374,106.275,311.048,14.126
192.000000,1775.095,308.752,90.575,63.589,84.149,57.162,57.513,57.162,101.145,308.752,16.327
193.000000,1699.222,302.41,74.385,49.646,57.037,49.646,49.646,49.646,99.078,302.41,15.624
194.000000,1652.453,292.822,66.033,51.391,56.211,48.074,51.391,48.074,95.942,292.822,14.888
195.000000,1504.058,274.188,49.052,46.717,48.741,45.002,47.029,45.002,89.82,274.188,15.743
