$ LOWER GRANITE_OUTFLOW.npt based on $//LOWER GRANITE_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
593.000000,715.88
594.000000,742.398
595.000000,721.157
596.000000,713.983
597.000000,712.953
598.000000,749.854
599.000000,665.871
600.000000,670.87
601.000000,694.43
602.000000,715.838
603.000000,693.156
604.000000,686.808
605.000000,662.674
606.000000,679.967
607.000000,688.943
608.000000,675.726
609.000000,625.102
610.000000,691.322
611.000000,724.033
612.000000,662.87
613.000000,703.729
614.000000,701.047
615.000000,729.279
616.000000,824.396
617.000000,883.84
618.000000,827.045
619.000000,736.519
620.000000,747.343
621.000000,691.55
622.000000,672.407
623.000000,764.076
624.000000,696.31
625.000000,636.684
626.000000,715.741
627.000000,680.607
628.000000,652.482
629.000000,653.452
630.000000,608.674
631.000000,593.307
632.000000,582.288
633.000000,565.497
634.000000,510.326
635.000000,567.744
636.000000,446.783
637.000000,483.856
638.000000,466.432
639.000000,539.397
640.000000,557.3
641.000000,555.406
642.000000,636.124
643.000000,526.917
644.000000,562.706
645.000000,610.702
646.000000,572.276
647.000000,492.229
648.000000,482.763
649.000000,477.324
650.000000,560.24
651.000000,559.577
652.000000,470.383
653.000000,454.116
654.000000,436.201
655.000000,474.209
656.000000,519.227
657.000000,557.679
658.000000,568.836
659.000000,606.521
660.000000,554.282
661.000000,521.122
662.000000,480.625
663.000000,543.386
664.000000,543.857
665.000000,573.084
666.000000,595.465
667.000000,533.469
668.000000,490.458
669.000000,599.799
670.000000,809.572
671.000000,774.439
672.000000,708.116
673.000000,672.153
674.000000,673.556
675.000000,671.241
676.000000,664.119
677.000000,589.416
678.000000,601.855
679.000000,616.265
680.000000,653.275
681.000000,668.408
682.000000,596.285
683.000000,456.87
684.000000,531.871
685.000000,558.347
686.000000,633.929
687.000000,652.315
688.000000,581.753
689.000000,512.126
690.000000,563.872
691.000000,734.845
692.000000,683.817
693.000000,763.663
694.000000,719.514
695.000000,609.924
696.000000,649.031
697.000000,625.152
698.000000,628.126
699.000000,659.544
700.000000,665.015
701.000000,692.755
702.000000,675.656
703.000000,855.82
704.000000,1048.952
705.000000,1083.26
706.000000,1069.964
707.000000,1182.637
708.000000,1137.638
709.000000,1136.294
710.000000,1045.053
711.000000,984.689
712.000000,880.908
713.000000,969.918
714.000000,915.016
715.000000,849.229
716.000000,844.007
717.000000,761.791
718.000000,745.727
719.000000,774.659
720.000000,843.372
721.000000,665.666
722.000000,695.946
723.000000,736.8
724.000000,789.489
725.000000,762.413
726.000000,702.244
727.000000,642.584
728.000000,670.817
729.000000,714.107
730.000000,740.499
731.000000,750.493
732.000000,684.711
733.000000,784.854
734.000000,663.238
735.000000,692.777
736.000000,670.953
737.000000,607.954
738.000000,599.952
739.000000,627.503
740.000000,675.298
741.000000,763.256
742.000000,795.14
743.000000,788.701
744.000000,730.08
745.000000,769.105
746.000000,710.44
747.000000,730.54
748.000000,796.207
749.000000,716.668
750.000000,698.278
751.000000,698.104
752.000000,634.45
753.000000,583.279
754.000000,595.782
755.000000,621.368
756.000000,637.458
757.000000,632.223
758.000000,603.976
759.000000,683.999
760.000000,664.379
761.000000,768.772
762.000000,673.803
763.000000,714.698
764.000000,794.871
765.000000,853.558
766.000000,832.889
767.000000,777.337
768.000000,834.839
769.000000,821.091
770.000000,818.617
771.000000,838.22
772.000000,833.982
773.000000,800.386
774.000000,829.699
775.000000,774.434
776.000000,740.461
777.000000,801.165
778.000000,853.374
779.000000,801.265
780.000000,788.958
781.000000,822.641
782.000000,765.574
783.000000,823.852
784.000000,748.405
785.000000,760.723
786.000000,703.469
787.000000,658.904
788.000000,730.103
789.000000,760.629
790.000000,755.462
791.000000,771.688
792.000000,649.109
793.000000,777.756
794.000000,877.529
795.000000,936.025
796.000000,943.769
797.000000,885.088
798.000000,948.113
799.000000,849.896
800.000000,812.365
801.000000,784.993
802.000000,691.514
803.000000,767.708
804.000000,853.444
805.000000,918.885
806.000000,1006.464
807.000000,1068.781
808.000000,1107.074
809.000000,1043.519
810.000000,1115.902
811.000000,932.128
812.000000,1121.085
813.000000,1122.514
814.000000,1012.361
815.000000,1021.958
816.000000,879.374
817.000000,941.109
818.000000,910.702
819.000000,941.448
820.000000,952.83
821.000000,1008.207
822.000000,1168.574
823.000000,1229.595
824.000000,1365.635
825.000000,1636.706
826.000000,1726.671
827.000000,1810.36
828.000000,2149.705
829.000000,2064.872
830.000000,2132.797
831.000000,1953.424
832.000000,1801.091
833.000000,1771.445
834.000000,1689.083
835.000000,1722.601
836.000000,1670.245
837.000000,1524.434
838.000000,1542.359
839.000000,1387.641
840.000000,1340.118
841.000000,1318.864
842.000000,1326.169
843.000000,1442.89
844.000000,1457.746
845.000000,1486.736
846.000000,1359.573
847.000000,1303.762
848.000000,1277.685
849.000000,1409.171
850.000000,1507.744
851.000000,1743.802
852.000000,1830.655
853.000000,1736.314
854.000000,1623.038
855.000000,1546.161
