$ Bathymetry: Little Goose.  Original provided by Mike Schneider - unknown/undocumented source.  Adjusted to NAVD88 Datum provided by Res-Ops team.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,
DLX,0,1277.7,1722,1423.3,1664.5,2516.1,1920.8,2601.9,2951,2435,2966.9,2781,3042.3,2660.1,1029.9,1080.7,1859.5,1487.8,2543.7,1550,2229,2097,2592.6,2567.3,2638.1,2249.6,1665.8,1526.9,1320.1,0,,,,,,,,
ELWS,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,195.079,,,,,,,,
PHIO,3.142,2.27,2.767,2.81,2.1,0.75,1.05,1.7,1.32,1.8,2.471,1.7,1.5,0.9,0.591,0.211,0.276,0.249,0.95,1.376,1.8,1,0.1,1.25,1.85,1.442,1.48,1.69,1.305,3.142,,,,,,,,
FRICT,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,Area,Volume (m^3),Volume(af),Bottom Elevation(m),Bottom Elevation(ft),MULT
1,0,0,0,0,0,0,0,0,0,0,0,26.46,48.24,33.66,79.2,102.6,109.44,112.5,112.5,187.92,229.86,362.88,272.88,518.04,582.66,532.8,608.76,410.76,434.52,0,,27,9711980.118,162917332.8,132079.428,175.375,575.378,0.9
1,0,0,0,0,0,0,0,0,0,0,0,23.22,44.28,28.62,74.7,94.5,104.58,112.5,112.5,185.94,223.92,362.16,272.16,504.18,578.52,529.2,597.42,409.32,432.54,0,,28,9557098.326,153205352.7,124205.786,174.375,572.098,0.9
1,0,0,0,0,0,0,0,0,0,0,0,19.98,40.32,23.58,70.2,86.4,99.72,112.5,112.5,183.96,217.98,361.44,271.44,490.32,574.38,525.6,586.08,407.88,430.56,0,,29,9402216.534,143648254.4,116457.709,173.375,568.817,0.9
1,0,0,0,0,0,0,0,0,0,0,0,19.98,40.32,23.58,70.2,86.4,99.72,112.5,112.5,183.96,217.98,361.44,271.44,490.32,574.38,525.6,586.08,407.88,430.56,0,,30,9402216.534,134246037.9,108835.196,172.375,565.536,0.9
1,0,0,0,0,0,0,0,0,0,0,0,16.74,36.36,18.54,65.7,78.3,94.86,112.5,112.5,181.98,212.04,360.72,270.72,476.46,570.24,522,574.74,406.44,428.58,0,,31,9247334.742,124843821.3,101212.684,171.375,562.255,0.9
1,0,0,0,0,0,0,0,0,0,0,0,16.74,36.36,18.54,65.7,78.3,94.86,112.5,112.5,181.98,212.04,360.72,270.72,476.46,570.24,522,574.74,406.44,428.58,0,,32,9247334.742,115596486.6,93715.736,170.375,558.974,0.9
1,0,0,0,0,0,0,0,0,0,0,0,13.5,32.4,13.5,56.4,63.6,85.14,111,111,181.32,201.36,352.98,262.98,449.64,561.96,514.8,552.06,403.26,424.32,0,,33,8947002.63,106349151.8,86218.789,169.375,555.693,0.9
1,0,0,0,0,0,0,0,0,0,0,0,13.5,32.4,13.5,56.4,63.6,85.14,111,111,181.32,201.36,352.98,262.98,449.64,561.96,514.8,552.06,403.26,424.32,0,,34,8947002.63,97402149.22,78965.325,168.375,552.413,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1,48.9,75.42,109.5,109.5,180.66,190.68,345.24,255.24,422.82,553.68,507.6,529.38,400.08,420.06,0,,35,8509110,88455146.59,71711.861,167.375,549.132,0.9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.867,43.467,67.04,97.333,97.333,160.587,169.493,306.88,226.88,375.84,492.16,451.2,470.56,355.627,373.387,0,,36,7563653.333,79946036.59,64813.403,166.375,545.851,0.8
